# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-21T16:10:12
# Time [ps]	THz Signal [a.u.]
-65.06666593	0.00000000
-65.03333259	0.00000002
-64.99999926	0.00000008
-64.96666593	0.00000013
-64.93333260	0.00000021
-64.89999926	0.00000031
-64.86666593	0.00000064
-64.83333260	0.00000071
-64.79999926	0.00000072
-64.76666593	0.00000071
-64.73333260	0.00000096
-64.69999926	0.00000110
-64.66666593	0.00000054
-64.63333260	0.00000049
-64.59999927	0.00000060
-64.56666593	-0.00000028
-64.53333260	-0.00000169
-64.49999927	-0.00000258
-64.46666593	-0.00000161
-64.43333260	-0.00000270
-64.39999927	-0.00000381
-64.36666593	-0.00000492
-64.33333260	-0.00000784
-64.29999927	-0.00000943
-64.26666594	-0.00000653
-64.23333260	-0.00000899
-64.19999927	-0.00000919
-64.16666594	-0.00000872
-64.13333260	-0.00001488
-64.09999927	-0.00001613
-64.06666594	-0.00001725
-64.03333260	-0.00001539
-63.99999927	-0.00001442
-63.96666594	-0.00001630
-63.93333260	-0.00001947
-63.89999927	-0.00002044
-63.86666594	-0.00002059
-63.83333261	-0.00002973
-63.79999927	-0.00002461
-63.76666594	-0.00003223
-63.73333261	-0.00003692
-63.69999927	-0.00003646
-63.66666594	-0.00003517
-63.63333261	-0.00003210
-63.59999927	-0.00003341
-63.56666594	-0.00003597
-63.53333261	-0.00004126
-63.49999928	-0.00003891
-63.46666594	-0.00003718
-63.43333261	-0.00004745
-63.39999928	-0.00006168
-63.36666594	-0.00005255
-63.33333261	-0.00004710
-63.29999928	-0.00005780
-63.26666594	-0.00005353
-63.23333261	-0.00004909
-63.19999928	-0.00004282
-63.16666595	-0.00005273
-63.13333261	-0.00005203
-63.09999928	-0.00004742
-63.06666595	-0.00006029
-63.03333261	-0.00004561
-62.99999928	-0.00003271
-62.96666595	-0.00003208
-62.93333261	-0.00004078
-62.89999928	-0.00003085
-62.86666595	-0.00003715
-62.83333262	-0.00002133
-62.79999928	-0.00000591
-62.76666595	0.00000681
-62.73333262	0.00001372
-62.69999928	0.00000547
-62.66666595	-0.00000586
-62.63333262	0.00001355
-62.59999928	0.00003555
-62.56666595	0.00005487
-62.53333262	0.00006488
-62.49999928	0.00007565
-62.46666595	0.00008352
-62.43333262	0.00007592
-62.39999929	0.00013464
-62.36666595	0.00009146
-62.33333262	0.00013806
-62.29999929	0.00013981
-62.26666595	0.00013267
-62.23333262	0.00018362
-62.19999929	0.00017945
-62.16666595	0.00021092
-62.13333262	0.00022111
-62.09999929	0.00021654
-62.06666596	0.00025381
-62.03333262	0.00028845
-61.99999929	0.00033551
-61.96666596	0.00037724
-61.93333262	0.00035752
-61.89999929	0.00041207
-61.86666596	0.00042945
-61.83333262	0.00040941
-61.79999929	0.00042870
-61.76666596	0.00050032
-61.73333263	0.00050780
-61.69999929	0.00050385
-61.66666596	0.00056919
-61.63333263	0.00062464
-61.59999929	0.00061736
-61.56666596	0.00067918
-61.53333263	0.00070356
-61.49999929	0.00071366
-61.46666596	0.00074085
-61.43333263	0.00076537
-61.39999930	0.00084167
-61.36666596	0.00085785
-61.33333263	0.00088622
-61.29999930	0.00091006
-61.26666596	0.00098350
-61.23333263	0.00095974
-61.19999930	0.00103026
-61.16666596	0.00104023
-61.13333263	0.00111714
-61.09999930	0.00110022
-61.06666596	0.00115385
-61.03333263	0.00116258
-60.99999930	0.00115745
-60.96666597	0.00117432
-60.93333263	0.00118135
-60.89999930	0.00123942
-60.86666597	0.00127168
