# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-27T14:42:02
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-31.31588442
0.00732601	-29.96028210
0.01465201	-22.70732639
0.02197802	-20.68065943
0.02930403	-26.19011128
0.03663004	-25.07439489
0.04395604	-16.95212555
0.05128205	-12.97469763
0.05860806	-14.19780750
0.06593407	-13.84156258
0.07326007	-8.81388093
0.08058608	-10.67954138
0.08791209	-25.55758727
0.09523810	-10.41830012
0.10256410	-10.23740217
0.10989011	-19.42159835
0.11721612	-12.87869096
0.12454213	-9.71472881
0.13186813	-12.44390070
0.13919414	-13.62632652
0.14652015	-8.37720812
0.15384616	-8.68357365
0.16117216	-9.17898429
0.16849817	-4.16400413
0.17582418	-3.74189295
0.18315018	-8.00485428
0.19047619	-6.63463600
0.19780220	-4.96335138
0.20512821	-8.21861568
0.21245421	-9.39822195
0.21978022	-7.24088716
0.22710623	-7.80677147
0.23443224	-8.97717832
0.24175824	-8.20474638
0.24908425	-6.74049779
0.25641026	-6.85835195
0.26373627	-6.43270579
0.27106227	-4.14712451
0.27838828	-3.09891319
0.28571429	-3.01089771
0.29304030	-1.89621574
0.30036630	-0.62445444
0.30769231	-0.64824059
0.31501832	-0.90762944
0.32234433	-0.07720206
0.32967033	0.00000000
0.33699634	-1.17237581
0.34432235	-1.72275464
0.35164835	-1.90516879
0.35897436	-2.78729080
0.36630037	-3.44569470
0.37362638	-3.95241825
0.38095238	-4.49134482
0.38827839	-4.53189086
0.39560440	-4.71283537
0.40293041	-5.02085069
0.41025641	-4.71494798
0.41758242	-4.37063382
0.42490843	-4.13150819
0.43223444	-3.77470918
0.43956044	-3.87558512
0.44688645	-4.15685429
0.45421246	-4.41136049
0.46153847	-5.26793330
0.46886447	-6.22247910
0.47619048	-7.04841554
0.48351649	-7.85667137
0.49084250	-8.23507727
0.49816850	-9.14087670
0.50549451	-9.26099839
0.51282052	-9.03132214
0.52014652	-9.54254235
0.52747253	-9.06460530
0.53479854	-8.80944333
0.54212455	-8.22559163
0.54945055	-8.96885386
0.55677656	-13.47075074
0.56410257	-9.12595353
0.57142858	-5.91903980
0.57875458	-5.99427238
0.58608059	-5.89247599
0.59340660	-5.37856051
0.60073261	-5.70124378
0.60805861	-5.70291889
0.61538462	-5.61616630
0.62271063	-6.09244027
0.63003664	-6.12771385
0.63736264	-6.18085518
0.64468865	-6.80930692
0.65201466	-7.11752552
0.65934067	-7.53005892
0.66666667	-8.15576410
0.67399268	-8.57648046
0.68131869	-9.28276396
0.68864469	-9.76885887
0.69597070	-10.30556306
0.70329671	-11.22785574
0.71062272	-11.77686145
0.71794872	-12.34330501
0.72527473	-13.23591105
0.73260074	-13.92316131
0.73992675	-14.54669824
0.74725275	-17.27140419
0.75457876	-19.93895759
0.76190477	-16.92367389
0.76923078	-16.51244599
0.77655678	-16.99570709
0.78388279	-16.86909132
0.79120880	-17.22768404
0.79853481	-17.03374258
0.80586081	-17.07654969
0.81318682	-17.07566682
0.82051283	-16.90533473
0.82783884	-17.03396410
0.83516484	-16.89570029
0.84249085	-17.01591959
0.84981686	-17.18849086
0.85714286	-17.29634266
0.86446887	-17.63041638
0.87179488	-17.65287231
0.87912089	-17.76821531
0.88644689	-18.08015643
0.89377290	-18.22148445
0.90109891	-18.53544656
0.90842492	-18.87409496
0.91575092	-19.11175069
0.92307693	-19.46194664
0.93040294	-19.55605326
0.93772895	-19.72250336
0.94505495	-20.30444085
0.95238096	-20.53851686
0.95970697	-21.02702055
0.96703298	-21.79272039
0.97435898	-21.87524239
0.98168499	-23.46911572
0.98901100	-25.91042227
0.99633701	-24.36610205
1.00366301	-23.73456240
1.01098902	-24.27540631
1.01831503	-24.61558561
1.02564103	-25.16149906
1.03296704	-25.63585705
1.04029305	-26.20645820
1.04761906	-26.72460319
1.05494506	-27.36790199
1.06227107	-27.91969946
1.06959708	-28.38487944
1.07692309	-29.50034879
1.08424909	-30.57384694
1.09157510	-34.80656616
1.09890111	-51.08066982
1.10622712	-37.30626948
1.11355312	-38.69684568
1.12087913	-35.05715189
1.12820514	-32.60728839
1.13553115	-33.40350972
1.14285715	-34.07450940
1.15018316	-36.78104340
1.15750917	-44.15580227
1.16483518	-69.97774619
1.17216118	-40.52112394
1.17948719	-35.88681679
1.18681320	-36.26970001
1.19413920	-36.48236124
1.20146521	-37.62992066
1.20879122	-45.24936759
1.21611723	-39.31638595
1.22344323	-39.07787975
1.23076924	-44.79349652
1.23809525	-39.27341641
1.24542126	-38.41880482
1.25274726	-39.14370466
1.26007327	-38.68373050
1.26739928	-39.41395313
1.27472529	-39.73405456
1.28205129	-40.08960731
1.28937730	-40.59608719
1.29670331	-40.82583230
1.30402932	-41.47171051
1.31135532	-41.74726181
1.31868133	-42.92859898
1.32600734	-43.57903955
1.33333335	-43.19821342
1.34065935	-44.03413629
1.34798536	-44.17778170
1.35531137	-44.49893932
1.36263737	-45.48489570
1.36996338	-45.65511743
1.37728939	-46.30960886
1.38461540	-46.91772601
1.39194140	-47.53707392
1.39926741	-48.97247795
1.40659342	-52.97986992
1.41391943	-80.70833266
1.42124543	-52.95113227
1.42857144	-50.76912054
1.43589745	-51.38418721
1.44322346	-51.18305084
1.45054946	-51.65892200
1.45787547	-52.49665911
1.46520148	-53.07128685
1.47252749	-52.98107304
1.47985349	-52.94864759
1.48717950	-53.55149543
1.49450551	-53.80813337
1.50183152	-53.96688141
1.50915752	-54.23494709
1.51648353	-54.98766329
1.52380954	-55.92119273
1.53113554	-56.82509107
1.53846155	-57.26550923
1.54578756	-56.80159111
1.55311357	-57.13373765
1.56043957	-57.01303024
1.56776558	-57.00041835
1.57509159	-58.85371110
1.58241760	-58.77728216
1.58974360	-58.71818937
1.59706961	-63.02182675
1.60439562	-69.25714378
1.61172163	-64.06234699
1.61904763	-62.26585798
1.62637364	-62.73999223
1.63369965	-63.67493663
1.64102566	-63.77495940
1.64835166	-65.71083793
1.65567767	-72.20566239
1.66300368	-78.79240178
1.67032969	-80.48963702
1.67765569	-86.45109899
1.68498170	-79.17709940
1.69230771	-76.78417044
1.69963371	-76.92942339
1.70695972	-82.27550966
1.71428573	-81.81132071
1.72161174	-73.59737573
1.72893774	-72.51540806
1.73626375	-75.29342937
1.74358976	-79.97885476
1.75091577	-79.96361130
1.75824177	-76.05613921
1.76556778	-72.91881261
1.77289379	-70.31757862
1.78021980	-69.56319815
1.78754580	-73.98305881
1.79487181	-90.18584779
1.80219782	-80.09888548
1.80952383	-78.41215917
1.81684983	-77.53259176
1.82417584	-72.91262956
1.83150185	-74.12443205
1.83882786	-77.53373709
1.84615386	-77.31471015
1.85347987	-76.69037233
1.86080588	-74.64967404
1.86813188	-79.80255990
1.87545789	-83.05726403
1.88278390	-84.85421479
1.89010991	-96.31006067
1.89743591	-79.54814210
1.90476192	-74.92878618
1.91208793	-74.25711381
1.91941394	-76.33379077
1.92673994	-83.48577204
1.93406595	-89.77419916
1.94139196	-91.01976888
