# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-27T15:01:37
# Time [ps]	THz Signal [a.u.]
-65.06666598	0.00000000
-65.03333264	0.00000002
-64.99999931	0.00000008
-64.96666598	0.00000020
-64.93333265	0.00000034
-64.89999931	0.00000047
-64.86666598	0.00000065
-64.83333265	0.00000080
-64.79999931	0.00000109
-64.76666598	0.00000116
-64.73333265	0.00000125
-64.69999931	0.00000184
-64.66666598	0.00000083
-64.63333265	0.00000108
-64.59999932	0.00000051
-64.56666598	-0.00000001
-64.53333265	-0.00000144
-64.49999932	-0.00000105
-64.46666598	-0.00000259
-64.43333265	-0.00000415
-64.39999932	-0.00000578
-64.36666598	-0.00000510
-64.33333265	-0.00000848
-64.29999932	-0.00000917
-64.26666598	-0.00001227
-64.23333265	-0.00001463
-64.19999932	-0.00001550
-64.16666599	-0.00001822
-64.13333265	-0.00002200
-64.09999932	-0.00002410
-64.06666599	-0.00002685
-64.03333265	-0.00003234
-63.99999932	-0.00003809
-63.96666599	-0.00003739
-63.93333265	-0.00004551
-63.89999932	-0.00004456
-63.86666599	-0.00005128
-63.83333266	-0.00005870
-63.79999932	-0.00006805
-63.76666599	-0.00006595
-63.73333266	-0.00006975
-63.69999932	-0.00007918
-63.66666599	-0.00008776
-63.63333266	-0.00008672
-63.59999932	-0.00009264
-63.56666599	-0.00010471
-63.53333266	-0.00010944
-63.49999932	-0.00012191
-63.46666599	-0.00012102
-63.43333266	-0.00012519
-63.39999933	-0.00013928
-63.36666599	-0.00014063
-63.33333266	-0.00015256
-63.29999933	-0.00014920
-63.26666599	-0.00015516
-63.23333266	-0.00015695
-63.19999933	-0.00015542
-63.16666599	-0.00015316
-63.13333266	-0.00015997
-63.09999933	-0.00017595
-63.06666600	-0.00016288
-63.03333266	-0.00015030
-62.99999933	-0.00015518
-62.96666600	-0.00016547
-62.93333266	-0.00016381
-62.89999933	-0.00016928
-62.86666600	-0.00016144
-62.83333266	-0.00017295
-62.79999933	-0.00016107
-62.76666600	-0.00013296
-62.73333266	-0.00013116
-62.69999933	-0.00012116
-62.66666600	-0.00008299
-62.63333267	-0.00008934
-62.59999933	-0.00008705
-62.56666600	-0.00006573
-62.53333267	-0.00007605
-62.49999933	-0.00003352
-62.46666600	-0.00002402
-62.43333267	-0.00000508
-62.39999933	-0.00000917
-62.36666600	0.00002952
-62.33333267	0.00000841
-62.29999933	0.00002248
-62.26666600	0.00004248
-62.23333267	0.00008412
-62.19999934	0.00009094
-62.16666600	0.00011578
-62.13333267	0.00010449
-62.09999934	0.00013552
-62.06666600	0.00015387
-62.03333267	0.00016554
-61.99999934	0.00022887
-61.96666600	0.00020701
-61.93333267	0.00025351
-61.89999934	0.00022462
-61.86666601	0.00030445
-61.83333267	0.00033079
-61.79999934	0.00036086
-61.76666601	0.00037290
-61.73333267	0.00041876
-61.69999934	0.00043640
-61.66666601	0.00045781
-61.63333267	0.00052411
-61.59999934	0.00053363
-61.56666601	0.00058055
-61.53333267	0.00059251
-61.49999934	0.00060538
-61.46666601	0.00062825
-61.43333268	0.00068867
-61.39999934	0.00065895
-61.36666601	0.00065210
-61.33333268	0.00072586
-61.29999934	0.00079437
-61.26666601	0.00080467
-61.23333268	0.00083870
-61.19999934	0.00085772
-61.16666601	0.00088724
-61.13333268	0.00090943
-61.09999935	0.00095034
-61.06666601	0.00095825
-61.03333268	0.00098128
-60.99999935	0.00096531
-60.96666601	0.00100555
-60.93333268	0.00102083
-60.89999935	0.00104229
-60.86666601	0.00100392
-60.83333268	0.00104434
-60.79999935	0.00100571
-60.76666601	0.00100006
-60.73333268	0.00100833
-60.69999935	0.00096129
-60.66666602	0.00097008
-60.63333268	0.00098534
-60.59999935	0.00096698
-60.56666602	0.00098909
-60.53333268	0.00094110
-60.49999935	0.00088929
-60.46666602	0.00091679
-60.43333268	0.00090133
-60.39999935	0.00079572
-60.36666602	0.00071096
-60.33333269	0.00074017
-60.29999935	0.00070413
-60.26666602	0.00054276
-60.23333269	0.00047224
-60.19999935	0.00041909
-60.16666602	0.00032627
-60.13333269	0.00023689
-60.09999935	0.00013289
-60.06666602	0.00000832
