# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-27T14:06:42
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-26.52082342
0.00732601	-27.76130713
0.01465201	-21.76899903
0.02197802	-20.03405613
0.02930403	-26.36754001
0.03663004	-22.75636039
0.04395604	-15.15280561
0.05128205	-11.52478541
0.05860806	-12.97517875
0.06593407	-13.31593789
0.07326007	-8.41595773
0.08058608	-10.04250029
0.08791209	-29.60724135
0.09523810	-11.50268161
0.10256410	-10.27270273
0.10989011	-18.65696728
0.11721612	-11.39823389
0.12454213	-7.13446294
0.13186813	-8.74032702
0.13919414	-10.26943098
0.14652015	-7.88563143
0.15384616	-9.35094218
0.16117216	-12.81747956
0.16849817	-9.63076203
0.17582418	-8.86111105
0.18315018	-13.58728343
0.19047619	-10.86310666
0.19780220	-6.85303611
0.20512821	-8.49995429
0.21245421	-9.36866461
0.21978022	-4.38414698
0.22710623	-3.18890473
0.23443224	-4.58628452
0.24175824	-2.35611396
0.24908425	-0.33186454
0.25641026	-1.76890233
0.26373627	-2.75399214
0.27106227	-0.62634208
0.27838828	-0.99108356
0.28571429	-2.56100303
0.29304030	-1.15151170
0.30036630	-0.15593714
0.30769231	-1.06390215
0.31501832	-1.26073658
0.32234433	0.00000000
0.32967033	-0.19313824
0.33699634	-1.12333237
0.34432235	-0.97628039
0.35164835	-1.33136344
0.35897436	-2.19434438
0.36630037	-2.62382508
0.37362638	-3.38454564
0.38095238	-4.23159970
0.38827839	-4.80699494
0.39560440	-5.37503073
0.40293041	-5.92741320
0.41025641	-6.24525836
0.41758242	-5.98999995
0.42490843	-5.40439877
0.43223444	-4.88521322
0.43956044	-4.65591247
0.44688645	-4.09310612
0.45421246	-3.83101614
0.46153847	-4.83830448
0.46886447	-5.98960473
0.47619048	-6.71425747
0.48351649	-7.65308360
0.49084250	-7.96848840
0.49816850	-8.43364020
0.50549451	-8.59802197
0.51282052	-8.45575210
0.52014652	-8.55057710
0.52747253	-8.09837830
0.53479854	-7.71929747
0.54212455	-7.00645717
0.54945055	-8.09240119
0.55677656	-12.93445602
0.56410257	-9.53251252
0.57142858	-6.91580950
0.57875458	-7.65926386
0.58608059	-7.79439115
0.59340660	-7.57529312
0.60073261	-8.13383038
0.60805861	-7.80582600
0.61538462	-7.71822478
0.62271063	-8.16832910
0.63003664	-8.04164258
0.63736264	-8.16017903
0.64468865	-8.62500889
0.65201466	-8.68810208
0.65934067	-9.10387147
0.66666667	-9.88399590
0.67399268	-10.44967191
0.68131869	-11.18502569
0.68864470	-11.62708915
0.69597070	-11.93694653
0.70329671	-12.65815704
0.71062272	-13.01872517
0.71794872	-13.30431535
0.72527473	-14.08719357
0.73260074	-14.64049441
0.73992675	-15.39273989
0.74725275	-18.41329247
0.75457876	-21.70563579
0.76190477	-19.51494440
0.76923078	-19.59634134
0.77655678	-20.51795860
0.78388279	-20.46846486
0.79120880	-21.07658804
0.79853481	-21.19349822
0.80586081	-21.55548579
0.81318682	-21.65749982
0.82051283	-21.33357350
0.82783884	-21.43596049
0.83516484	-21.16422395
0.84249085	-21.05462785
0.84981686	-20.77756698
0.85714287	-20.36528982
0.86446887	-20.29515439
0.87179488	-20.09048662
0.87912089	-20.10733656
0.88644689	-20.25147104
0.89377290	-20.14198135
0.90109891	-20.30037123
0.90842492	-20.62401668
0.91575092	-20.87944046
0.92307693	-21.22856767
0.93040294	-21.29602742
0.93772895	-21.45954956
0.94505495	-21.97817521
0.95238096	-22.05149920
0.95970697	-22.58286424
0.96703298	-23.48281575
0.97435898	-23.43091591
0.98168499	-24.83837813
0.98901100	-27.17547809
0.99633701	-25.69881057
1.00366301	-24.92023892
1.01098902	-25.25898300
1.01831503	-25.46677887
1.02564104	-25.67608278
1.03296704	-25.94700910
1.04029305	-26.51410996
1.04761906	-26.81563401
1.05494506	-27.20213114
1.06227107	-27.71000772
1.06959708	-28.21979613
1.07692309	-29.35942002
1.08424909	-30.58362258
1.09157510	-34.87033239
1.09890111	-53.73774402
1.10622712	-37.49978923
1.11355312	-38.23642512
1.12087913	-34.95674257
1.12820514	-32.54601552
1.13553115	-32.93288912
1.14285715	-33.53696660
1.15018316	-36.27177026
1.15750917	-42.96046524
1.16483518	-67.28703282
1.17216118	-39.74771779
1.17948719	-35.43376570
1.18681320	-36.06415825
1.19413921	-36.36639642
1.20146521	-37.79327600
1.20879122	-45.69644159
1.21611723	-39.33344925
1.22344323	-39.47438414
1.23076924	-45.06957134
1.23809525	-39.91865931
1.24542126	-39.10235831
1.25274726	-39.47949793
1.26007327	-39.44088113
1.26739928	-40.16622712
1.27472529	-40.17850801
1.28205129	-40.79310612
1.28937730	-40.98797471
1.29670331	-41.18643514
1.30402932	-42.00219566
1.31135532	-42.02429965
1.31868133	-43.05839073
1.32600734	-43.90292259
1.33333335	-43.70702748
1.34065935	-44.52966197
1.34798536	-45.11466442
1.35531137	-45.47811924
1.36263738	-46.27015370
1.36996338	-46.80925827
1.37728939	-47.27517449
1.38461540	-48.09289626
1.39194140	-48.84909500
1.39926741	-49.89484638
1.40659342	-54.38748326
1.41391943	-73.23747195
1.42124543	-54.39791037
1.42857144	-51.61862826
1.43589745	-51.18366849
1.44322346	-50.95272090
1.45054946	-51.34309175
1.45787547	-51.77023571
1.46520148	-51.90014432
1.47252749	-52.73543325
1.47985349	-53.85075100
1.48717950	-54.45274753
1.49450551	-54.29941220
1.50183152	-54.72890886
1.50915752	-55.91256106
1.51648353	-56.06006468
1.52380954	-56.38522664
1.53113555	-56.71806392
1.53846155	-57.65920232
1.54578756	-58.97456299
1.55311357	-58.20117855
1.56043957	-58.95180742
1.56776558	-59.67724750
1.57509159	-58.77411900
1.58241760	-59.87520697
1.58974360	-59.87265440
1.59706961	-61.27092088
1.60439562	-67.60978559
1.61172163	-64.79076366
1.61904763	-64.99602747
1.62637364	-68.63537289
1.63369965	-66.58632594
1.64102566	-67.26285066
1.64835166	-68.32984058
