# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-06-27T13:28:39
# Time [ps]	THz Signal [a.u.]
-65.06666597	0.00000000
-65.03333263	0.00000001
-64.99999930	0.00000005
-64.96666597	0.00000014
-64.93333263	0.00000026
-64.89999930	0.00000026
-64.86666597	0.00000050
-64.83333264	0.00000070
-64.79999930	0.00000065
-64.76666597	0.00000052
-64.73333264	0.00000100
-64.69999930	0.00000072
-64.66666597	0.00000058
-64.63333264	0.00000031
-64.59999930	0.00000029
-64.56666597	-0.00000018
-64.53333264	-0.00000048
-64.49999930	-0.00000129
-64.46666597	-0.00000184
-64.43333264	-0.00000264
-64.39999931	-0.00000323
-64.36666597	-0.00000424
-64.33333264	-0.00000438
-64.29999931	-0.00000570
-64.26666597	-0.00000739
-64.23333264	-0.00000890
-64.19999931	-0.00001233
-64.16666597	-0.00001020
-64.13333264	-0.00001316
-64.09999931	-0.00001520
-64.06666598	-0.00001851
-64.03333264	-0.00001927
-63.99999931	-0.00002006
-63.96666598	-0.00002633
-63.93333264	-0.00002157
-63.89999931	-0.00002657
-63.86666598	-0.00002707
-63.83333264	-0.00003744
-63.79999931	-0.00003292
-63.76666598	-0.00003186
-63.73333264	-0.00003585
-63.69999931	-0.00004453
-63.66666598	-0.00005266
-63.63333265	-0.00005255
-63.59999931	-0.00005062
-63.56666598	-0.00005221
-63.53333265	-0.00005440
-63.49999931	-0.00005535
-63.46666598	-0.00006507
-63.43333265	-0.00006810
-63.39999931	-0.00006971
-63.36666598	-0.00008037
-63.33333265	-0.00007923
-63.29999932	-0.00008088
-63.26666598	-0.00009872
-63.23333265	-0.00009077
-63.19999932	-0.00009899
-63.16666598	-0.00008632
-63.13333265	-0.00009023
-63.09999932	-0.00008880
-63.06666598	-0.00009215
-63.03333265	-0.00008388
-62.99999932	-0.00009811
-62.96666598	-0.00008810
-62.93333265	-0.00009826
-62.89999932	-0.00008303
-62.86666599	-0.00008425
-62.83333265	-0.00007964
-62.79999932	-0.00007713
-62.76666599	-0.00007627
-62.73333265	-0.00006653
-62.69999932	-0.00007985
-62.66666599	-0.00005533
-62.63333265	-0.00003667
-62.59999932	-0.00000115
-62.56666599	-0.00002330
-62.53333266	0.00000526
-62.49999932	0.00000089
-62.46666599	-0.00000245
-62.43333266	0.00002383
-62.39999932	0.00001615
-62.36666599	0.00004772
-62.33333266	0.00004772
-62.29999932	0.00007596
-62.26666599	0.00008206
-62.23333266	0.00007730
-62.19999932	0.00008026
-62.16666599	0.00010634
-62.13333266	0.00011226
-62.09999933	0.00017150
-62.06666599	0.00016917
-62.03333266	0.00016276
-61.99999933	0.00018728
-61.96666599	0.00018913
-61.93333266	0.00023974
-61.89999933	0.00024594
-61.86666599	0.00028237
-61.83333266	0.00033521
-61.79999933	0.00037589
-61.76666600	0.00038413
-61.73333266	0.00037704
-61.69999933	0.00042891
-61.66666600	0.00042707
-61.63333266	0.00047261
-61.59999933	0.00049667
-61.56666600	0.00054096
-61.53333266	0.00057338
-61.49999933	0.00061327
-61.46666600	0.00059367
-61.43333266	0.00061806
-61.39999933	0.00070490
-61.36666600	0.00071088
-61.33333267	0.00078063
-61.29999933	0.00081366
-61.26666600	0.00076668
-61.23333267	0.00086941
-61.19999933	0.00081331
-61.16666600	0.00087630
-61.13333267	0.00097447
-61.09999933	0.00095530
-61.06666600	0.00098957
-61.03333267	0.00101365
-60.99999934	0.00101287
-60.96666600	0.00104090
-60.93333267	0.00106532
-60.89999934	0.00108702
-60.86666600	0.00108971
-60.83333267	0.00111383
-60.79999934	0.00111040
-60.76666600	0.00112850
-60.73333267	0.00112900
-60.69999934	0.00112213
-60.66666601	0.00110134
-60.63333267	0.00110526
-60.59999934	0.00109868
-60.56666601	0.00109140
