# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-13T11:06:01
# Time [ps]	THz Signal [a.u.]
-65.06666590	0.00000000
-65.03333257	0.00000001
-64.99999923	0.00000005
-64.96666590	0.00000007
-64.93333257	0.00000018
-64.89999924	0.00000022
-64.86666590	0.00000035
-64.83333257	0.00000044
-64.79999924	0.00000050
-64.76666590	0.00000099
-64.73333257	0.00000087
-64.69999924	0.00000069
-64.66666590	0.00000098
-64.63333257	0.00000053
-64.59999924	0.00000045
-64.56666591	0.00000040
-64.53333257	-0.00000055
-64.49999924	-0.00000053
-64.46666591	-0.00000145
-64.43333257	-0.00000046
-64.39999924	-0.00000179
-64.36666591	-0.00000292
-64.33333257	-0.00000577
-64.29999924	-0.00000508
-64.26666591	-0.00000497
-64.23333258	-0.00000810
-64.19999924	-0.00000929
-64.16666591	-0.00001113
-64.13333258	-0.00001183
-64.09999924	-0.00001281
-64.06666591	-0.00001784
-64.03333258	-0.00001912
-63.99999924	-0.00002624
-63.96666591	-0.00002359
-63.93333258	-0.00003086
-63.89999925	-0.00003383
-63.86666591	-0.00004215
-63.83333258	-0.00004169
-63.79999925	-0.00004735
-63.76666591	-0.00005146
-63.73333258	-0.00005803
-63.69999925	-0.00005574
-63.66666591	-0.00006541
-63.63333258	-0.00007366
-63.59999925	-0.00007340
-63.56666592	-0.00007792
-63.53333258	-0.00009652
-63.49999925	-0.00009592
-63.46666592	-0.00009955
-63.43333258	-0.00011347
-63.39999925	-0.00012578
-63.36666592	-0.00013011
-63.33333258	-0.00013035
-63.29999925	-0.00014447
-63.26666592	-0.00015588
-63.23333258	-0.00015426
-63.19999925	-0.00016085
-63.16666592	-0.00017771
-63.13333259	-0.00019659
-63.09999925	-0.00019735
-63.06666592	-0.00019645
-63.03333259	-0.00021004
-62.99999925	-0.00021989
-62.96666592	-0.00021308
-62.93333259	-0.00019019
-62.89999925	-0.00021328
-62.86666592	-0.00021736
-62.83333259	-0.00022080
-62.79999926	-0.00022278
-62.76666592	-0.00023783
-62.73333259	-0.00023307
-62.69999926	-0.00024439
-62.66666592	-0.00023353
-62.63333259	-0.00021897
-62.59999926	-0.00021298
-62.56666592	-0.00019999
-62.53333259	-0.00018551
-62.49999926	-0.00017670
-62.46666593	-0.00018052
-62.43333259	-0.00017990
-62.39999926	-0.00013641
-62.36666593	-0.00013588
-62.33333259	-0.00012247
-62.29999926	-0.00007012
-62.26666593	-0.00009529
-62.23333259	-0.00007162
-62.19999926	-0.00003859
-62.16666593	-0.00003543
-62.13333260	-0.00000591
-62.09999926	0.00001775
-62.06666593	0.00005687
-62.03333260	0.00006748
-61.99999926	0.00008980
-61.96666593	0.00010152
-61.93333260	0.00011237
-61.89999926	0.00015669
-61.86666593	0.00021386
-61.83333260	0.00024447
-61.79999927	0.00026437
-61.76666593	0.00028575
-61.73333260	0.00032193
-61.69999927	0.00034802
-61.66666593	0.00038037
-61.63333260	0.00038787
-61.59999927	0.00042216
-61.56666593	0.00045177
-61.53333260	0.00052268
-61.49999927	0.00055966
-61.46666594	0.00063779
-61.43333260	0.00062913
-61.39999927	0.00071583
-61.36666594	0.00072363
-61.33333260	0.00076211
-61.29999927	0.00080210
-61.26666594	0.00082010
-61.23333260	0.00087859
-61.19999927	0.00092250
-61.16666594	0.00098426
-61.13333261	0.00102554
-61.09999927	0.00109501
-61.06666594	0.00111764
-61.03333261	0.00115424
-60.99999927	0.00122538
-60.96666594	0.00127591
-60.93333261	0.00127232
-60.89999927	0.00125817
-60.86666594	0.00133705
-60.83333261	0.00142135
-60.79999928	0.00143199
-60.76666594	0.00148410
-60.73333261	0.00150233
-60.69999928	0.00155753
-60.66666594	0.00154746
-60.63333261	0.00154704
-60.59999928	0.00156255
-60.56666594	0.00158842
-60.53333261	0.00163264
-60.49999928	0.00167054
-60.46666594	0.00164338
-60.43333261	0.00163746
-60.39999928	0.00167471
-60.36666595	0.00167817
-60.33333261	0.00165937
-60.29999928	0.00164042
-60.26666595	0.00160723
-60.23333261	0.00162295
-60.19999928	0.00154259
-60.16666595	0.00141000
-60.13333261	0.00145833
-60.09999928	0.00135509
-60.06666595	0.00134487
-60.03333262	0.00118661
-59.99999928	0.00117366
-59.96666595	0.00106365
-59.93333262	0.00100124
-59.89999928	0.00088286
-59.86666595	0.00081119
