# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-13T10:38:48
# Time [ps]	THz Signal [a.u.]
-65.06666590	0.00000000
-65.03333257	0.00000002
-64.99999923	0.00000006
-64.96666590	0.00000010
-64.93333257	0.00000022
-64.89999923	0.00000023
-64.86666590	0.00000029
-64.83333257	0.00000047
-64.79999924	0.00000048
-64.76666590	0.00000049
-64.73333257	0.00000071
-64.69999924	0.00000071
-64.66666590	0.00000060
-64.63333257	0.00000020
-64.59999924	-0.00000039
-64.56666590	-0.00000030
-64.53333257	0.00000058
-64.49999924	-0.00000045
-64.46666591	-0.00000045
-64.43333257	-0.00000123
-64.39999924	-0.00000333
-64.36666591	-0.00000145
-64.33333257	-0.00000366
-64.29999924	-0.00000514
-64.26666591	-0.00000704
-64.23333257	-0.00000932
-64.19999924	-0.00001094
-64.16666591	-0.00001156
-64.13333257	-0.00001355
-64.09999924	-0.00001362
-64.06666591	-0.00001117
-64.03333258	-0.00001446
-63.99999924	-0.00001726
-63.96666591	-0.00002077
-63.93333258	-0.00001917
-63.89999924	-0.00002169
-63.86666591	-0.00002847
-63.83333258	-0.00002652
-63.79999924	-0.00003023
-63.76666591	-0.00003132
-63.73333258	-0.00004555
-63.69999925	-0.00004755
-63.66666591	-0.00005061
-63.63333258	-0.00005296
-63.59999925	-0.00005380
-63.56666591	-0.00005963
-63.53333258	-0.00006537
-63.49999925	-0.00005990
-63.46666591	-0.00006804
-63.43333258	-0.00007048
-63.39999925	-0.00007877
-63.36666592	-0.00007976
-63.33333258	-0.00006773
-63.29999925	-0.00006890
-63.26666592	-0.00008774
-63.23333258	-0.00007801
-63.19999925	-0.00007914
-63.16666592	-0.00007690
-63.13333258	-0.00007255
-63.09999925	-0.00008030
-63.06666592	-0.00008610
-63.03333259	-0.00008210
-62.99999925	-0.00007480
-62.96666592	-0.00007223
-62.93333259	-0.00006045
-62.89999925	-0.00005871
-62.86666592	-0.00005087
-62.83333259	-0.00003752
-62.79999925	-0.00002210
-62.76666592	-0.00002222
-62.73333259	-0.00001834
-62.69999926	0.00001514
-62.66666592	0.00003476
-62.63333259	0.00003439
-62.59999926	0.00007257
-62.56666592	0.00009547
-62.53333259	0.00010144
-62.49999926	0.00010331
-62.46666592	0.00013773
-62.43333259	0.00014964
-62.39999926	0.00018632
-62.36666593	0.00020749
-62.33333259	0.00020367
-62.29999926	0.00025278
-62.26666593	0.00030530
-62.23333259	0.00034209
-62.19999926	0.00033612
-62.16666593	0.00038759
-62.13333259	0.00043458
-62.09999926	0.00044499
-62.06666593	0.00048116
-62.03333259	0.00054403
-61.99999926	0.00057603
-61.96666593	0.00060099
-61.93333260	0.00066452
-61.89999926	0.00070814
-61.86666593	0.00072369
-61.83333260	0.00078967
-61.79999926	0.00080818
-61.76666593	0.00085585
-61.73333260	0.00092026
-61.69999926	0.00093245
-61.66666593	0.00096468
-61.63333260	0.00101397
-61.59999927	0.00105715
-61.56666593	0.00109936
-61.53333260	0.00109362
-61.49999927	0.00119654
-61.46666593	0.00117932
-61.43333260	0.00125620
-61.39999927	0.00122403
-61.36666593	0.00128694
-61.33333260	0.00133325
-61.29999927	0.00143443
-61.26666594	0.00141920
-61.23333260	0.00150133
-61.19999927	0.00146528
-61.16666594	0.00149713
-61.13333260	0.00154373
-61.09999927	0.00162989
-61.06666594	0.00165032
-61.03333260	0.00171496
-60.99999927	0.00172975
-60.96666594	0.00178404
-60.93333261	0.00179191
-60.89999927	0.00179055
-60.86666594	0.00183561
-60.83333261	0.00190037
-60.79999927	0.00191916
-60.76666594	0.00196747
-60.73333261	0.00201544
-60.69999927	0.00201977
-60.66666594	0.00207041
-60.63333261	0.00205827
-60.59999928	0.00209864
-60.56666594	0.00205767
-60.53333261	0.00219376
-60.49999928	0.00214210
-60.46666594	0.00211797
-60.43333261	0.00212600
-60.39999928	0.00211152
-60.36666594	0.00209997
-60.33333261	0.00210358
-60.29999928	0.00211919
-60.26666595	0.00201453
-60.23333261	0.00212708
-60.19999928	0.00203956
-60.16666595	0.00200232
-60.13333261	0.00193609
-60.09999928	0.00198705
-60.06666595	0.00188891
-60.03333261	0.00182010
-59.99999928	0.00181825
-59.96666595	0.00168148
-59.93333262	0.00157312
-59.89999928	0.00156665
-59.86666595	0.00142611
-59.83333262	0.00139265
-59.79999928	0.00134147
-59.76666595	0.00122035
-59.73333262	0.00113043
-59.69999928	0.00101331
-59.66666595	0.00092657
-59.63333262	0.00083779
-59.59999928	0.00074243
-59.56666595	0.00059953
-59.53333262	0.00052963
-59.49999929	0.00043046
-59.46666595	0.00025706
-59.43333262	0.00010676
-59.39999929	0.00002168
-59.36666595	-0.00013220
-59.33333262	-0.00026960
-59.29999929	-0.00033552
-59.26666595	-0.00045139
-59.23333262	-0.00060126
-59.19999929	-0.00061084
-59.16666596	-0.00076068
-59.13333262	-0.00077095
-59.09999929	-0.00084657
-59.06666596	-0.00094940
-59.03333262	-0.00103701
-58.99999929	-0.00096295
-58.96666596	-0.00097453
-58.93333262	-0.00109488
-58.89999929	-0.00109324
-58.86666596	-0.00110638
-58.83333263	-0.00120565
-58.79999929	-0.00117535
-58.76666596	-0.00120973
-58.73333263	-0.00115823
-58.69999929	-0.00121786
-58.66666596	-0.00122018
-58.63333263	-0.00124832
-58.59999929	-0.00108019
-58.56666596	-0.00112769
-58.53333263	-0.00101388
-58.49999930	-0.00106244
-58.46666596	-0.00103291
-58.43333263	-0.00106236
-58.39999930	-0.00089504
-58.36666596	-0.00080275
-58.33333263	-0.00092844
-58.29999930	-0.00084347
-58.26666596	-0.00083697
-58.23333263	-0.00078092
-58.19999930	-0.00071842
-58.16666597	-0.00075914
-58.13333263	-0.00066867
-58.09999930	-0.00072903
-58.06666597	-0.00073727
-58.03333263	-0.00075076
-57.99999930	-0.00070649
-57.96666597	-0.00067201
-57.93333263	-0.00063950
-57.89999930	-0.00064269
-57.86666597	-0.00060579
-57.83333264	-0.00060025
-57.79999930	-0.00053344
-57.76666597	-0.00057994
-57.73333264	-0.00046965
-57.69999930	-0.00051768
-57.66666597	-0.00038922
