# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-13T10:33:43
# Time [ps]	THz Signal [a.u.]
-65.06666595	0.00000000
-65.03333262	0.00000000
-64.99999928	0.00000003
-64.96666595	0.00000003
-64.93333262	0.00000017
-64.89999928	0.00000020
-64.86666595	0.00000026
-64.83333262	0.00000057
-64.79999928	0.00000068
-64.76666595	0.00000091
-64.73333262	0.00000101
-64.69999929	0.00000116
-64.66666595	0.00000134
-64.63333262	0.00000138
-64.59999929	0.00000182
-64.56666595	0.00000105
-64.53333262	0.00000047
-64.49999929	-0.00000049
-64.46666595	-0.00000011
-64.43333262	0.00000040
-64.39999929	-0.00000041
-64.36666596	-0.00000170
-64.33333262	-0.00000391
-64.29999929	-0.00000333
-64.26666596	-0.00000582
-64.23333262	-0.00001076
-64.19999929	-0.00001101
-64.16666596	-0.00001592
-64.13333262	-0.00001694
-64.09999929	-0.00002125
-64.06666596	-0.00002895
-64.03333262	-0.00003049
-63.99999929	-0.00003539
-63.96666596	-0.00004395
-63.93333263	-0.00004940
-63.89999929	-0.00005398
-63.86666596	-0.00006153
-63.83333263	-0.00006807
-63.79999929	-0.00008233
-63.76666596	-0.00008478
-63.73333263	-0.00008291
-63.69999929	-0.00010461
-63.66666596	-0.00011510
-63.63333263	-0.00012296
-63.59999930	-0.00013884
-63.56666596	-0.00014157
-63.53333263	-0.00015014
-63.49999930	-0.00015534
-63.46666596	-0.00016803
-63.43333263	-0.00019050
-63.39999930	-0.00019152
-63.36666596	-0.00021282
-63.33333263	-0.00021326
-63.29999930	-0.00022643
-63.26666597	-0.00024634
-63.23333263	-0.00026529
-63.19999930	-0.00027177
-63.16666597	-0.00028773
-63.13333263	-0.00028594
-63.09999930	-0.00030919
-63.06666597	-0.00030517
-63.03333263	-0.00032822
-62.99999930	-0.00032789
-62.96666597	-0.00034373
-62.93333263	-0.00034718
-62.89999930	-0.00034728
-62.86666597	-0.00036284
-62.83333264	-0.00034888
-62.79999930	-0.00034590
-62.76666597	-0.00033883
-62.73333264	-0.00034392
-62.69999930	-0.00035662
-62.66666597	-0.00035544
-62.63333264	-0.00034931
-62.59999930	-0.00032922
-62.56666597	-0.00032585
-62.53333264	-0.00031182
-62.49999931	-0.00031498
-62.46666597	-0.00031610
-62.43333264	-0.00028648
-62.39999931	-0.00031174
-62.36666597	-0.00026489
-62.33333264	-0.00028069
-62.29999931	-0.00024249
-62.26666597	-0.00025551
-62.23333264	-0.00024036
-62.19999931	-0.00019619
-62.16666597	-0.00020881
-62.13333264	-0.00017110
-62.09999931	-0.00016613
-62.06666598	-0.00015457
-62.03333264	-0.00014639
-61.99999931	-0.00011277
-61.96666598	-0.00010265
-61.93333264	-0.00005908
-61.89999931	-0.00002122
-61.86666598	-0.00003454
-61.83333264	-0.00000819
-61.79999931	0.00000831
-61.76666598	0.00005955
-61.73333265	0.00005764
-61.69999931	0.00009730
-61.66666598	0.00013660
-61.63333265	0.00014180
-61.59999931	0.00017891
-61.56666598	0.00020288
-61.53333265	0.00025048
-61.49999931	0.00029103
-61.46666598	0.00032125
-61.43333265	0.00037531
-61.39999932	0.00038868
-61.36666598	0.00043411
-61.33333265	0.00041891
-61.29999932	0.00044351
-61.26666598	0.00051481
-61.23333265	0.00056805
-61.19999932	0.00056204
-61.16666598	0.00059236
-61.13333265	0.00065541
-61.09999932	0.00061150
-61.06666598	0.00066321
-61.03333265	0.00073376
-60.99999932	0.00076804
-60.96666599	0.00080850
-60.93333265	0.00084219
-60.89999932	0.00086128
-60.86666599	0.00090561
-60.83333265	0.00098667
-60.79999932	0.00098420
-60.76666599	0.00105744
-60.73333265	0.00103739
-60.69999932	0.00109262
-60.66666599	0.00111400
-60.63333266	0.00113597
-60.59999932	0.00121392
-60.56666599	0.00121775
-60.53333266	0.00126109
-60.49999932	0.00123526
-60.46666599	0.00131247
-60.43333266	0.00130581
-60.39999932	0.00127547
-60.36666599	0.00134416
-60.33333266	0.00127965
-60.29999932	0.00132840
-60.26666599	0.00121890
-60.23333266	0.00118286
-60.19999933	0.00121398
-60.16666599	0.00119540
-60.13333266	0.00112636
-60.09999933	0.00111734
-60.06666599	0.00104631
-60.03333266	0.00103578
-59.99999933	0.00095660
-59.96666599	0.00089053
-59.93333266	0.00084545
-59.89999933	0.00076520
-59.86666600	0.00070313
-59.83333266	0.00058040
-59.79999933	0.00047379
-59.76666600	0.00040912
-59.73333266	0.00034817
-59.69999933	0.00021506
-59.66666600	0.00015250
-59.63333266	0.00002171
-59.59999933	-0.00008618
-59.56666600	-0.00016540
-59.53333267	-0.00025135
-59.49999933	-0.00038024
-59.46666600	-0.00051750
-59.43333267	-0.00064149
-59.39999933	-0.00071012
-59.36666600	-0.00094588
-59.33333267	-0.00104507
-59.29999933	-0.00114226
-59.26666600	-0.00129466
-59.23333267	-0.00134355
-59.19999933	-0.00145664
-59.16666600	-0.00151756
-59.13333267	-0.00161217
-59.09999934	-0.00170715
-59.06666600	-0.00182567
-59.03333267	-0.00177640
-58.99999934	-0.00187390
-58.96666600	-0.00195526
-58.93333267	-0.00196325
-58.89999934	-0.00207161
-58.86666600	-0.00208474
-58.83333267	-0.00209063
-58.79999934	-0.00207792
-58.76666601	-0.00211175
-58.73333267	-0.00216438
-58.69999934	-0.00213941
-58.66666601	-0.00211630
-58.63333267	-0.00212590
-58.59999934	-0.00207417
-58.56666601	-0.00220627
-58.53333267	-0.00210117
-58.49999934	-0.00207664
-58.46666601	-0.00210467
-58.43333267	-0.00204576
-58.39999934	-0.00193955
-58.36666601	-0.00190163
-58.33333268	-0.00202290
-58.29999934	-0.00192319
-58.26666601	-0.00196160
-58.23333268	-0.00192315
-58.19999934	-0.00192342
-58.16666601	-0.00187950
-58.13333268	-0.00182586
-58.09999934	-0.00177594
-58.06666601	-0.00183560
-58.03333268	-0.00174786
-57.99999935	-0.00164299
-57.96666601	-0.00158489
-57.93333268	-0.00162291
-57.89999935	-0.00144333
-57.86666601	-0.00152918
-57.83333268	-0.00143361
-57.79999935	-0.00151897
-57.76666601	-0.00142212
-57.73333268	-0.00133522
-57.69999935	-0.00134526
-57.66666602	-0.00136173
-57.63333268	-0.00135870
-57.59999935	-0.00126439
-57.56666602	-0.00124477
-57.53333268	-0.00127084
-57.49999935	-0.00117884
-57.46666602	-0.00113338
-57.43333268	-0.00106263
-57.39999935	-0.00109853
-57.36666602	-0.00091459
-57.33333268	-0.00086720
-57.29999935	-0.00087346
-57.26666602	-0.00079313
-57.23333269	-0.00059424
-57.19999935	-0.00056980
-57.16666602	-0.00053121
-57.13333269	-0.00044092
-57.09999935	-0.00025086
-57.06666602	-0.00024792
-57.03333269	-0.00007318
-56.99999935	0.00001840
-56.96666602	0.00012305
-56.93333269	0.00021459
-56.89999936	0.00032171
-56.86666602	0.00043925
