# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-13T10:49:21
# Time [ps]	THz Signal [a.u.]
-65.06666591	0.00000000
-65.03333258	0.00000000
-64.99999924	0.00000001
-64.96666591	0.00000006
-64.93333258	0.00000003
-64.89999924	0.00000007
-64.86666591	0.00000010
-64.83333258	0.00000016
-64.79999925	0.00000042
-64.76666591	0.00000028
-64.73333258	0.00000026
-64.69999925	0.00000066
-64.66666591	0.00000015
-64.63333258	-0.00000000
-64.59999925	-0.00000005
-64.56666591	0.00000029
-64.53333258	-0.00000021
-64.49999925	-0.00000045
-64.46666592	-0.00000058
-64.43333258	0.00000037
-64.39999925	-0.00000062
-64.36666592	-0.00000151
-64.33333258	-0.00000118
-64.29999925	-0.00000105
-64.26666592	-0.00000287
-64.23333258	-0.00000127
-64.19999925	-0.00000258
-64.16666592	-0.00000327
-64.13333259	-0.00000559
-64.09999925	-0.00000825
-64.06666592	-0.00001184
-64.03333259	-0.00000809
-63.99999925	-0.00000880
-63.96666592	-0.00000936
-63.93333259	-0.00001188
-63.89999925	-0.00000910
-63.86666592	-0.00001662
-63.83333259	-0.00002033
-63.79999926	-0.00001873
-63.76666592	-0.00001639
-63.73333259	-0.00002107
-63.69999926	-0.00002432
-63.66666592	-0.00002821
-63.63333259	-0.00003123
-63.59999926	-0.00002820
-63.56666592	-0.00003317
-63.53333259	-0.00003872
-63.49999926	-0.00004132
-63.46666593	-0.00005244
-63.43333259	-0.00005421
-63.39999926	-0.00004381
-63.36666593	-0.00005638
-63.33333259	-0.00006297
-63.29999926	-0.00005964
-63.26666593	-0.00006077
-63.23333259	-0.00006994
-63.19999926	-0.00006614
-63.16666593	-0.00007129
-63.13333259	-0.00007752
-63.09999926	-0.00007724
-63.06666593	-0.00008090
-63.03333260	-0.00007217
-62.99999926	-0.00008132
-62.96666593	-0.00007658
-62.93333260	-0.00006560
-62.89999926	-0.00006831
-62.86666593	-0.00006905
-62.83333260	-0.00004899
-62.79999926	-0.00004599
-62.76666593	-0.00002768
-62.73333260	-0.00001966
-62.69999927	-0.00002555
-62.66666593	0.00000469
-62.63333260	0.00001592
-62.59999927	0.00001443
-62.56666593	-0.00000443
-62.53333260	0.00004350
-62.49999927	0.00006560
-62.46666593	0.00007284
-62.43333260	0.00010660
-62.39999927	0.00011324
-62.36666594	0.00014134
-62.33333260	0.00014432
-62.29999927	0.00019247
-62.26666594	0.00022144
-62.23333260	0.00022429
-62.19999927	0.00025799
-62.16666594	0.00024957
-62.13333260	0.00030849
-62.09999927	0.00035090
-62.06666594	0.00039059
-62.03333261	0.00042620
-61.99999927	0.00046984
-61.96666594	0.00050729
-61.93333261	0.00052919
-61.89999927	0.00058608
-61.86666594	0.00058864
-61.83333261	0.00062801
-61.79999927	0.00065116
-61.76666594	0.00068448
-61.73333261	0.00075559
-61.69999928	0.00078246
-61.66666594	0.00084165
-61.63333261	0.00082177
-61.59999928	0.00091874
-61.56666594	0.00097832
-61.53333261	0.00098446
-61.49999928	0.00106974
-61.46666594	0.00106797
-61.43333261	0.00109421
-61.39999928	0.00114678
-61.36666594	0.00117708
-61.33333261	0.00122174
-61.29999928	0.00126933
-61.26666595	0.00138158
-61.23333261	0.00140079
-61.19999928	0.00141452
-61.16666595	0.00148507
-61.13333261	0.00151174
-61.09999928	0.00154729
-61.06666595	0.00161519
-61.03333261	0.00163205
-60.99999928	0.00163920
-60.96666595	0.00174112
-60.93333262	0.00176359
-60.89999928	0.00175798
-60.86666595	0.00174992
-60.83333262	0.00180923
-60.79999928	0.00180015
-60.76666595	0.00187468
-60.73333262	0.00187687
-60.69999928	0.00188419
-60.66666595	0.00193302
-60.63333262	0.00198787
-60.59999929	0.00197598
-60.56666595	0.00200029
-60.53333262	0.00201911
-60.49999929	0.00197760
-60.46666595	0.00203805
-60.43333262	0.00204450
-60.39999929	0.00205062
-60.36666595	0.00206518
-60.33333262	0.00205413
-60.29999929	0.00206928
-60.26666596	0.00191516
-60.23333262	0.00189095
-60.19999929	0.00181421
-60.16666596	0.00183435
-60.13333262	0.00174689
-60.09999929	0.00165144
-60.06666596	0.00163261
-60.03333262	0.00151249
-59.99999929	0.00140166
-59.96666596	0.00137211
-59.93333263	0.00131363
-59.89999929	0.00119585
-59.86666596	0.00101475
-59.83333263	0.00103109
-59.79999929	0.00093725
-59.76666596	0.00083465
-59.73333263	0.00071818
-59.69999929	0.00060880
-59.66666596	0.00049093
-59.63333263	0.00034059
-59.59999929	0.00038210
-59.56666596	0.00020227
-59.53333263	0.00014083
-59.49999930	-0.00001887
-59.46666596	-0.00019641
-59.43333263	-0.00030675
-59.39999930	-0.00041036
-59.36666596	-0.00053089
-59.33333263	-0.00065356
-59.29999930	-0.00075634
-59.26666596	-0.00098238
-59.23333263	-0.00095010
-59.19999930	-0.00098006
-59.16666597	-0.00100535
-59.13333263	-0.00109440
-59.09999930	-0.00113311
-59.06666597	-0.00128079
-59.03333263	-0.00128010
-58.99999930	-0.00133613
-58.96666597	-0.00138262
-58.93333263	-0.00133598
-58.89999930	-0.00133872
-58.86666597	-0.00138704
-58.83333264	-0.00133964
-58.79999930	-0.00135605
-58.76666597	-0.00128187
-58.73333264	-0.00130197
-58.69999930	-0.00122615
-58.66666597	-0.00125078
-58.63333264	-0.00121956
-58.59999930	-0.00119543
-58.56666597	-0.00122233
-58.53333264	-0.00121111
-58.49999931	-0.00123745
-58.46666597	-0.00121618
-58.43333264	-0.00117377
-58.39999931	-0.00114322
-58.36666597	-0.00110860
-58.33333264	-0.00092399
-58.29999931	-0.00096162
-58.26666597	-0.00115304
-58.23333264	-0.00112076
-58.19999931	-0.00106795
-58.16666598	-0.00104520
-58.13333264	-0.00105279
-58.09999931	-0.00104141
-58.06666598	-0.00102224
-58.03333264	-0.00097029
-57.99999931	-0.00092160
-57.96666598	-0.00085887
-57.93333264	-0.00082601
-57.89999931	-0.00083362
-57.86666598	-0.00082814
-57.83333264	-0.00088769
-57.79999931	-0.00091419
-57.76666598	-0.00084535
