# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-23T13:43:49
# Time [ps]	THz Signal [a.u.]
-65.06666598	0.00000000
-65.03333264	0.00000002
-64.99999931	0.00000005
-64.96666598	0.00000013
-64.93333265	0.00000017
-64.89999931	0.00000024
-64.86666598	0.00000032
-64.83333265	0.00000046
-64.79999931	0.00000054
-64.76666598	0.00000052
-64.73333265	0.00000069
-64.69999931	0.00000032
-64.66666598	0.00000019
-64.63333265	0.00000005
-64.59999931	0.00000039
-64.56666598	-0.00000048
-64.53333265	-0.00000140
-64.49999932	-0.00000175
-64.46666598	-0.00000081
-64.43333265	0.00000007
-64.39999932	-0.00000291
-64.36666598	-0.00000221
-64.33333265	-0.00000349
-64.29999932	-0.00000605
-64.26666598	-0.00000524
-64.23333265	-0.00000714
-64.19999932	-0.00000908
-64.16666599	-0.00001298
-64.13333265	-0.00001153
-64.09999932	-0.00001380
-64.06666599	-0.00001717
-64.03333265	-0.00001610
-63.99999932	-0.00001933
-63.96666599	-0.00001982
-63.93333265	-0.00002048
-63.89999932	-0.00002197
-63.86666599	-0.00002846
-63.83333265	-0.00003278
-63.79999932	-0.00002936
-63.76666599	-0.00003636
-63.73333266	-0.00003561
-63.69999932	-0.00004260
-63.66666599	-0.00003984
-63.63333266	-0.00004458
-63.59999932	-0.00004517
-63.56666599	-0.00004221
-63.53333266	-0.00005303
-63.49999932	-0.00005386
-63.46666599	-0.00005903
-63.43333266	-0.00005685
-63.39999932	-0.00006198
-63.36666599	-0.00006455
-63.33333266	-0.00007133
-63.29999933	-0.00007009
-63.26666599	-0.00006497
-63.23333266	-0.00007589
-63.19999933	-0.00008325
-63.16666599	-0.00007661
-63.13333266	-0.00006713
-63.09999933	-0.00006744
-63.06666599	-0.00007969
-63.03333266	-0.00007400
-62.99999933	-0.00007335
-62.96666600	-0.00005995
-62.93333266	-0.00007059
-62.89999933	-0.00004062
-62.86666600	-0.00005184
-62.83333266	-0.00003463
-62.79999933	-0.00004721
-62.76666600	-0.00003273
-62.73333266	-0.00002895
-62.69999933	-0.00001717
-62.66666600	-0.00002003
-62.63333266	0.00002482
-62.59999933	0.00002255
-62.56666600	0.00004403
-62.53333267	0.00003864
-62.49999933	0.00003008
-62.46666600	0.00006725
-62.43333267	0.00007420
-62.39999933	0.00009572
-62.36666600	0.00009979
-62.33333267	0.00013851
-62.29999933	0.00011577
-62.26666600	0.00014218
-62.23333267	0.00021124
-62.19999934	0.00023398
-62.16666600	0.00026533
-62.13333267	0.00025526
-62.09999934	0.00028320
-62.06666600	0.00031831
-62.03333267	0.00038158
-61.99999934	0.00037623
-61.96666600	0.00041622
-61.93333267	0.00042726
-61.89999934	0.00045529
-61.86666600	0.00050804
-61.83333267	0.00052955
-61.79999934	0.00051922
-61.76666601	0.00059244
-61.73333267	0.00060247
-61.69999934	0.00064089
-61.66666601	0.00071303
-61.63333267	0.00071279
-61.59999934	0.00070023
-61.56666601	0.00078954
-61.53333267	0.00082898
-61.49999934	0.00081807
-61.46666601	0.00088775
-61.43333268	0.00091210
-61.39999934	0.00099236
-61.36666601	0.00102386
-61.33333268	0.00102171
-61.29999934	0.00108067
-61.26666601	0.00107104
-61.23333268	0.00111865
-61.19999934	0.00118458
-61.16666601	0.00116870
-61.13333268	0.00119557
-61.09999934	0.00120476
-61.06666601	0.00126933
-61.03333268	0.00124261
-60.99999935	0.00123501
-60.96666601	0.00125977
-60.93333268	0.00129634
-60.89999935	0.00129720
-60.86666601	0.00135982
-60.83333268	0.00136092
-60.79999935	0.00135914
-60.76666601	0.00143106
-60.73333268	0.00137540
-60.69999935	0.00142240
-60.66666602	0.00136560
-60.63333268	0.00139206
-60.59999935	0.00138006
-60.56666602	0.00133913
-60.53333268	0.00136508
-60.49999935	0.00128374
-60.46666602	0.00125237
-60.43333268	0.00124452
-60.39999935	0.00119053
-60.36666602	0.00111244
-60.33333268	0.00107394
-60.29999935	0.00104758
-60.26666602	0.00093420
-60.23333269	0.00089551
-60.19999935	0.00088363
-60.16666602	0.00080472
-60.13333269	0.00077529
-60.09999935	0.00072454
-60.06666602	0.00066010
