# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-23T13:43:49
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-12.28921623
0.00732601	-15.78830560
0.01465201	-15.28720238
0.02197802	-10.38979453
0.02930403	-13.18024469
0.03663004	-10.79500596
0.04395604	-6.87559298
0.05128205	-7.46229469
0.05860806	-16.58056368
0.06593407	-10.10254734
0.07326007	-5.44869925
0.08058608	-8.01069483
0.08791209	-6.64573928
0.09523810	-1.62698541
0.10256410	-1.78646648
0.10989011	-6.13930359
0.11721612	-4.26722457
0.12454213	-1.55939572
0.13186813	-3.01541961
0.13919414	-2.70857414
0.14652015	0.00000000
0.15384616	-0.79704024
0.16117216	-2.77527231
0.16849817	-1.45504730
0.17582418	-1.99462583
0.18315018	-5.22428230
0.19047619	-2.97759866
0.19780220	-0.27948118
0.20512821	-0.73916714
0.21245421	-2.20303645
0.21978022	-1.50026183
0.22710623	-1.76390579
0.23443224	-3.84713028
0.24175824	-3.81284824
0.24908425	-3.45823650
0.25641026	-5.10442887
0.26373627	-7.56782057
0.27106227	-7.55003186
0.27838828	-6.80653255
0.28571429	-6.79586237
0.29304030	-5.47135676
0.30036630	-4.37400507
0.30769231	-5.34892155
0.31501832	-7.06857499
0.32234433	-7.45977950
0.32967033	-8.12330570
0.33699634	-9.64025179
0.34432235	-9.98475375
0.35164835	-9.65134944
0.35897436	-10.25756969
0.36630037	-11.50286564
0.37362638	-12.38043723
0.38095238	-12.88395353
0.38827839	-12.75608991
0.39560440	-12.47712226
0.40293041	-13.23695694
0.41025641	-14.80014295
0.41758242	-16.08119253
0.42490843	-17.20105097
0.43223444	-18.37995242
0.43956044	-19.19307213
0.44688645	-19.79101926
0.45421246	-20.46246742
0.46153847	-20.80905678
0.46886447	-20.64309755
0.47619048	-20.67576562
0.48351649	-21.72945133
0.49084250	-23.04760831
0.49816850	-23.09179396
0.50549451	-22.52278122
0.51282052	-22.69869588
0.52014652	-23.68449037
0.52747253	-24.88706384
0.53479854	-26.15397210
0.54212455	-28.08185714
0.54945055	-31.90838616
0.55677656	-38.19507464
0.56410257	-41.11344521
0.57142858	-36.21250008
0.57875458	-32.98946785
0.58608059	-32.55614063
0.59340660	-30.94905273
0.60073261	-29.82621027
0.60805861	-30.71289889
0.61538462	-31.21971202
0.62271063	-31.06787593
0.63003664	-33.35191572
0.63736264	-38.09783721
0.64468865	-40.68283311
0.65201466	-42.18544970
0.65934067	-41.12150969
0.66666667	-39.54407502
0.67399268	-38.55913996
0.68131869	-36.60942903
0.68864469	-35.16029375
0.69597070	-35.39093655
0.70329671	-35.93773149
0.71062272	-35.56567783
0.71794872	-35.45690696
0.72527473	-36.64628494
0.73260074	-40.09144072
0.73992675	-42.38530007
0.74725275	-42.81153418
0.75457876	-43.25306728
0.76190477	-40.03785536
0.76923078	-39.88530885
0.77655678	-41.74882011
0.78388279	-41.31791762
0.79120880	-40.56463486
0.79853481	-41.36423612
0.80586081	-45.71886312
0.81318682	-51.83259796
0.82051283	-46.44345154
0.82783884	-46.36513281
0.83516484	-49.20202383
0.84249085	-48.68527515
0.84981686	-48.01424612
0.85714286	-51.04253304
0.86446887	-56.53298577
0.87179488	-54.76526732
0.87912089	-55.00364083
0.88644689	-70.43173438
0.89377290	-53.19717317
0.90109891	-49.29806085
0.90842492	-52.28748415
0.91575092	-52.16645848
0.92307693	-49.76400713
0.93040294	-52.14927020
0.93772895	-52.88375941
0.94505495	-49.93945233
0.95238096	-47.58654660
0.95970697	-50.89156316
0.96703298	-49.93300736
0.97435898	-46.94355070
0.98168499	-57.43289825
0.98901100	-50.20499480
0.99633700	-48.29707763
1.00366301	-53.85563321
1.01098902	-50.85781772
1.01831503	-53.24138692
1.02564103	-79.34772068
1.03296704	-54.33597488
1.04029305	-50.77636154
1.04761906	-50.60274462
1.05494506	-53.26803688
1.06227107	-57.39341611
1.06959708	-61.04493387
1.07692309	-60.95139377
1.08424909	-53.64326632
1.09157510	-54.37432060
1.09890111	-67.24166829
1.10622712	-60.74088628
1.11355312	-62.38598831
1.12087913	-57.06473373
1.12820514	-55.18601421
1.13553115	-60.46310515
1.14285715	-71.11083865
1.15018316	-59.66975607
1.15750917	-60.85596810
1.16483517	-61.78520168
1.17216118	-54.27095447
1.17948719	-56.05771801
1.18681320	-72.81121338
1.19413920	-73.09061095
1.20146521	-67.49506960
1.20879122	-74.60655854
1.21611723	-56.31670537
1.22344323	-52.57532523
1.23076924	-56.39589879
1.23809525	-58.23539694
1.24542126	-64.95278764
1.25274726	-62.99523924
1.26007327	-59.35292484
1.26739928	-55.59956289
1.27472529	-60.98444768
1.28205129	-67.40502718
1.28937730	-66.67132313
1.29670331	-73.68237562
1.30402932	-64.47664586
1.31135532	-60.75670406
1.31868133	-69.10660365
1.32600734	-62.24101778
1.33333334	-59.95362818
1.34065935	-58.78109283
1.34798536	-59.87367351
1.35531137	-64.68143561
1.36263737	-73.87770886
1.36996338	-68.08093162
1.37728939	-60.80119652
1.38461540	-58.06255303
1.39194140	-63.38718716
1.39926741	-65.85788045
1.40659342	-68.58886664
1.41391943	-64.32895155
1.42124543	-70.13713194
1.42857144	-66.74411479
1.43589745	-62.60789113
1.44322346	-58.24316282
1.45054946	-62.84477555
1.45787547	-64.98359661
1.46520148	-64.30251431
1.47252749	-55.83666502
1.47985349	-54.14001101
1.48717950	-60.02964478
1.49450551	-72.53334764
