# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-23T13:40:33
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666603	0.00000000
-65.03333269	0.00000002
-64.99999936	0.00000005
-64.96666603	0.00000011
-64.93333269	0.00000019
-64.89999936	0.00000029
-64.86666603	0.00000028
-64.83333269	0.00000031
-64.79999936	0.00000033
-64.76666603	0.00000050
-64.73333270	0.00000031
-64.69999936	0.00000067
-64.66666603	0.00000043
-64.63333270	0.00000026
-64.59999936	0.00000042
-64.56666603	-0.00000030
-64.53333270	-0.00000033
-64.49999936	-0.00000173
-64.46666603	-0.00000005
-64.43333270	-0.00000212
-64.39999936	-0.00000158
-64.36666603	-0.00000214
-64.33333270	-0.00000648
-64.29999937	-0.00000542
-64.26666603	-0.00000644
-64.23333270	-0.00000638
-64.19999937	-0.00000778
-64.16666603	-0.00000927
-64.13333270	-0.00000992
-64.09999937	-0.00001132
-64.06666603	-0.00001418
-64.03333270	-0.00001285
-63.99999937	-0.00001631
-63.96666603	-0.00002292
-63.93333270	-0.00001850
-63.89999937	-0.00002087
-63.86666604	-0.00002083
-63.83333270	-0.00002156
-63.79999937	-0.00002538
-63.76666604	-0.00002853
-63.73333270	-0.00002857
-63.69999937	-0.00003391
-63.66666604	-0.00003194
-63.63333270	-0.00003426
-63.59999937	-0.00003597
-63.56666604	-0.00004183
-63.53333270	-0.00004299
-63.49999937	-0.00004936
-63.46666604	-0.00005920
-63.43333271	-0.00005503
-63.39999937	-0.00005732
-63.36666604	-0.00005935
-63.33333271	-0.00006764
-63.29999937	-0.00006940
-63.26666604	-0.00007540
-63.23333271	-0.00007978
-63.19999937	-0.00007576
-63.16666604	-0.00008167
-63.13333271	-0.00008115
-63.09999938	-0.00009784
-63.06666604	-0.00008145
-63.03333271	-0.00007313
-62.99999938	-0.00006769
-62.96666604	-0.00006837
-62.93333271	-0.00007196
-62.89999938	-0.00006026
-62.86666604	-0.00005416
-62.83333271	-0.00003506
-62.79999938	-0.00003556
-62.76666604	-0.00004499
-62.73333271	-0.00003920
-62.69999938	-0.00002769
-62.66666605	-0.00001531
-62.63333271	-0.00000616
-62.59999938	0.00000638
-62.56666605	0.00001802
-62.53333271	0.00003463
-62.49999938	0.00003375
-62.46666605	0.00006071
-62.43333271	0.00007651
-62.39999938	0.00009281
-62.36666605	0.00009330
-62.33333271	0.00013783
-62.29999938	0.00011477
-62.26666605	0.00017383
-62.23333272	0.00020564
-62.19999938	0.00020244
-62.16666605	0.00022958
-62.13333272	0.00025950
-62.09999938	0.00026906
-62.06666605	0.00031179
-62.03333272	0.00034950
-61.99999938	0.00036835
-61.96666605	0.00039329
-61.93333272	0.00044275
-61.89999938	0.00044913
-61.86666605	0.00044295
-61.83333272	0.00047542
-61.79999939	0.00051207
-61.76666605	0.00056682
-61.73333272	0.00058960
-61.69999939	0.00064080
-61.66666605	0.00065440
-61.63333272	0.00069527
-61.59999939	0.00074720
-61.56666605	0.00077234
-61.53333272	0.00082488
-61.49999939	0.00083425
-61.46666605	0.00087259
-61.43333272	0.00092907
-61.39999939	0.00095046
-61.36666606	0.00096225
-61.33333272	0.00099081
-61.29999939	0.00099347
-61.26666606	0.00106121
-61.23333272	0.00107193
-61.19999939	0.00110206
-61.16666606	0.00110174
-61.13333272	0.00113727
-61.09999939	0.00111762
-61.06666606	0.00116287
-61.03333272	0.00117353
-60.99999939	0.00115579
-60.96666606	0.00122431
-60.93333273	0.00125608
-60.89999939	0.00122827
-60.86666606	0.00129735
-60.83333273	0.00133416
-60.79999939	0.00132178
-60.76666606	0.00129948
-60.73333273	0.00129699
-60.69999939	0.00132844
-60.66666606	0.00136677
-60.63333273	0.00130576
-60.59999939	0.00126915
-60.56666606	0.00126027
-60.53333273	0.00123620
-60.49999940	0.00119050
-60.46666606	0.00115600
-60.43333273	0.00118610
-60.39999940	0.00107162
-60.36666606	0.00105512
-60.33333273	0.00102907
-60.29999940	0.00098073
-60.26666606	0.00086638
-60.23333273	0.00076722
-60.19999940	0.00073958
-60.16666607	0.00069460
-60.13333273	0.00062261
-60.09999940	0.00062544
-60.06666607	0.00046385
-60.03333273	0.00042032
-59.99999940	0.00035496
-59.96666607	0.00033894
-59.93333273	0.00025821
-59.89999940	0.00014130
-59.86666607	0.00003702
-59.83333273	-0.00000531
-59.79999940	-0.00003345
-59.76666607	-0.00015372
-59.73333274	-0.00022647
-59.69999940	-0.00039445
-59.66666607	-0.00043931
-59.63333274	-0.00047940
-59.59999940	-0.00059295
-59.56666607	-0.00066837
-59.53333274	-0.00077816
-59.49999940	-0.00078130
-59.46666607	-0.00083563
-59.43333274	-0.00088904
-59.39999940	-0.00096489
-59.36666607	-0.00103149
-59.33333274	-0.00103163
-59.29999941	-0.00105316
-59.26666607	-0.00107398
-59.23333274	-0.00113596
-59.19999941	-0.00116789
-59.16666607	-0.00110450
-59.13333274	-0.00113366
-59.09999941	-0.00117129
-59.06666607	-0.00114682
-59.03333274	-0.00116232
-58.99999941	-0.00116783
-58.96666607	-0.00119762
-58.93333274	-0.00118118
-58.89999941	-0.00127141
-58.86666608	-0.00123218
-58.83333274	-0.00115384
-58.79999941	-0.00113557
-58.76666608	-0.00120451
-58.73333274	-0.00111531
-58.69999941	-0.00101679
-58.66666608	-0.00092638
-58.63333274	-0.00098687
-58.59999941	-0.00090472
-58.56666608	-0.00088485
-58.53333274	-0.00087429
-58.49999941	-0.00083362
-58.46666608	-0.00078662
-58.43333275	-0.00082348
-58.39999941	-0.00077485
-58.36666608	-0.00074218
-58.33333275	-0.00071984
-58.29999941	-0.00066523
-58.26666608	-0.00061332
-58.23333275	-0.00054090
-58.19999941	-0.00056762
-58.16666608	-0.00061197
-58.13333275	-0.00046002
-58.09999941	-0.00058056
-58.06666608	-0.00054238
-58.03333275	-0.00051446
-57.99999942	-0.00050779
-57.96666608	-0.00054083
-57.93333275	-0.00046530
-57.89999942	-0.00044697
-57.86666608	-0.00042321
-57.83333275	-0.00049586
-57.79999942	-0.00042257
-57.76666608	-0.00040562
-57.73333275	-0.00045774
-57.69999942	-0.00038725
-57.66666609	-0.00034962
-57.63333275	-0.00042915
-57.59999942	-0.00029507
-57.56666609	-0.00038394
-57.53333275	-0.00032635
-57.49999942	-0.00029515
-57.46666609	-0.00029977
-57.43333275	-0.00033766
-57.39999942	-0.00030853
-57.36666609	-0.00019141
-57.33333275	-0.00025807
-57.29999942	-0.00019401
-57.26666609	-0.00015703
-57.23333276	-0.00008725
-57.19999942	-0.00006453
-57.16666609	-0.00006894
-57.13333276	-0.00012028
-57.09999942	-0.00008836
-57.06666609	0.00001361
-57.03333276	0.00003236
-56.99999942	-0.00006835
-56.96666609	0.00009041
-56.93333276	0.00010262
-56.89999942	0.00018825
-56.86666609	0.00020100
-56.83333276	0.00023192
-56.79999943	0.00023010
-56.76666609	0.00026742
-56.73333276	0.00029322
-56.69999943	0.00030526
-56.66666609	0.00045807
-56.63333276	0.00039281
-56.59999943	0.00042948
-56.56666609	0.00041333
-56.53333276	0.00046065
-56.49999943	0.00046891
-56.46666609	0.00057437
-56.43333276	0.00057604
-56.39999943	0.00058848
-56.36666610	0.00049194
-56.33333276	0.00059296
-56.29999943	0.00055928
-56.26666610	0.00063721
-56.23333276	0.00073115
-56.19999943	0.00060788
-56.16666610	0.00066234
-56.13333276	0.00064235
-56.09999943	0.00069560
-56.06666610	0.00076620
-56.03333276	0.00081792
-55.99999943	0.00075929
-55.96666610	0.00070952
-55.93333277	0.00080317
-55.89999943	0.00090749
-55.86666610	0.00088361
-55.83333277	0.00079455
-55.79999943	0.00098286
-55.76666610	0.00096270
-55.73333277	0.00097954
-55.69999943	0.00093977
