# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-23T13:11:12
# Time [ps]	THz Signal [a.u.]
-65.06666589	0.00000000
-65.03333255	0.00000001
-64.99999922	0.00000007
-64.96666589	0.00000015
-64.93333255	0.00000025
-64.89999922	0.00000033
-64.86666589	0.00000036
-64.83333256	0.00000045
-64.79999922	0.00000067
-64.76666589	0.00000049
-64.73333256	0.00000030
-64.69999922	0.00000017
-64.66666589	0.00000022
-64.63333256	0.00000034
-64.59999922	-0.00000103
-64.56666589	-0.00000067
-64.53333256	-0.00000013
-64.49999923	-0.00000160
-64.46666589	-0.00000231
-64.43333256	-0.00000353
-64.39999923	-0.00000393
-64.36666589	-0.00000476
-64.33333256	-0.00000608
-64.29999923	-0.00000632
-64.26666589	-0.00000622
-64.23333256	-0.00000583
-64.19999923	-0.00000469
-64.16666590	-0.00000748
-64.13333256	-0.00000800
-64.09999923	-0.00000990
-64.06666590	-0.00001363
-64.03333256	-0.00001272
-63.99999923	-0.00001464
-63.96666590	-0.00001413
-63.93333256	-0.00002411
-63.89999923	-0.00002400
-63.86666590	-0.00002041
-63.83333256	-0.00002336
-63.79999923	-0.00002792
-63.76666590	-0.00003485
-63.73333257	-0.00003311
-63.69999923	-0.00003557
-63.66666590	-0.00003813
-63.63333257	-0.00004338
-63.59999923	-0.00004470
-63.56666590	-0.00003758
-63.53333257	-0.00004765
-63.49999923	-0.00003631
-63.46666590	-0.00005359
-63.43333257	-0.00004327
-63.39999924	-0.00005638
-63.36666590	-0.00005362
-63.33333257	-0.00004245
-63.29999924	-0.00005906
-63.26666590	-0.00004977
-63.23333257	-0.00004596
-63.19999924	-0.00005995
-63.16666590	-0.00005697
-63.13333257	-0.00004833
-63.09999924	-0.00004399
-63.06666591	-0.00004104
-63.03333257	-0.00001634
-62.99999924	-0.00002172
-62.96666591	-0.00002776
-62.93333257	-0.00001205
-62.89999924	-0.00000953
-62.86666591	-0.00001776
-62.83333257	0.00000777
-62.79999924	0.00000303
-62.76666591	0.00003101
-62.73333258	0.00003074
-62.69999924	0.00003538
-62.66666591	0.00004087
-62.63333258	0.00006675
-62.59999924	0.00007882
-62.56666591	0.00007617
-62.53333258	0.00009546
-62.49999924	0.00011017
-62.46666591	0.00013984
-62.43333258	0.00016354
-62.39999925	0.00017698
-62.36666591	0.00020988
-62.33333258	0.00024209
-62.29999925	0.00022119
-62.26666591	0.00026257
-62.23333258	0.00030382
-62.19999925	0.00030486
-62.16666591	0.00034880
-62.13333258	0.00038308
-62.09999925	0.00040424
-62.06666592	0.00043848
-62.03333258	0.00048121
-61.99999925	0.00048181
-61.96666592	0.00052576
-61.93333258	0.00054842
-61.89999925	0.00058505
-61.86666592	0.00061927
-61.83333258	0.00064171
-61.79999925	0.00068991
-61.76666592	0.00072635
-61.73333259	0.00074215
-61.69999925	0.00080607
-61.66666592	0.00082579
-61.63333259	0.00085299
-61.59999925	0.00088162
-61.56666592	0.00093132
-61.53333259	0.00093676
-61.49999925	0.00097928
-61.46666592	0.00102323
-61.43333259	0.00104183
-61.39999926	0.00108984
-61.36666592	0.00109950
-61.33333259	0.00108512
-61.29999926	0.00113695
-61.26666592	0.00114678
-61.23333259	0.00113480
-61.19999926	0.00113999
