# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-23T13:11:12
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-28.13705160
0.00732601	-22.55597735
0.01465201	-21.21206955
0.02197802	-25.46160681
0.02930403	-24.48336582
0.03663004	-25.34555986
0.04395604	-17.60524938
0.05128205	-15.34519372
0.05860806	-19.15474258
0.06593407	-19.05706598
0.07326007	-13.22368154
0.08058608	-18.48153238
0.08791209	-11.44784721
0.09523810	-5.19727609
0.10256410	-5.85441819
0.10989011	-10.47973241
0.11721612	-5.25574343
0.12454213	-3.21438987
0.13186813	-7.29205437
0.13919414	-9.66620742
0.14652015	-3.53841109
0.15384616	-3.01391925
0.16117216	-5.69428951
0.16849817	-7.44260118
0.17582418	-8.00987631
0.18315018	-7.90204029
0.19047619	-2.70887524
0.19780220	0.00000000
0.20512821	-0.79871144
0.21245421	-4.22685563
0.21978022	-2.99999883
0.22710623	-0.72687454
0.23443224	-1.11331230
0.24175824	-1.98378337
0.24908425	-1.12296377
0.25641026	-0.80727521
0.26373627	-2.20295853
0.27106227	-4.18197181
0.27838828	-5.40944193
0.28571429	-5.60727582
0.29304030	-2.96143222
0.30036630	-1.36312234
0.30769231	-2.65558258
0.31501832	-5.57409601
0.32234433	-5.48899972
0.32967033	-4.28642798
0.33699634	-3.73429504
0.34432235	-3.41779030
0.35164836	-3.67831896
0.35897436	-4.23656690
0.36630037	-4.42251726
0.37362638	-5.07130222
0.38095238	-6.76290674
0.38827839	-7.52034928
0.39560440	-6.87404944
0.40293041	-7.10115190
0.41025641	-8.40610191
0.41758242	-10.08993806
0.42490843	-11.24368808
0.43223444	-10.76702090
0.43956044	-9.73056519
0.44688645	-9.34157907
0.45421246	-9.62774193
0.46153847	-10.20457743
0.46886447	-10.42835750
0.47619048	-10.32035822
0.48351649	-10.72151082
0.49084250	-11.70144673
0.49816850	-12.39748859
0.50549451	-12.82599600
0.51282052	-13.82968592
0.52014653	-15.40946383
0.52747253	-16.76415922
0.53479854	-17.09227571
0.54212455	-17.17776142
0.54945055	-18.76213632
0.55677656	-21.45501418
0.56410257	-20.49650699
0.57142858	-18.72694060
0.57875458	-18.55981792
0.58608059	-18.73757682
0.59340660	-18.76857181
0.60073261	-19.48866772
0.60805861	-20.88037718
0.61538462	-22.45484885
0.62271063	-24.39024145
0.63003664	-26.25171886
0.63736264	-26.90281346
0.64468865	-27.12156292
0.65201466	-27.71358830
0.65934067	-27.98387024
0.66666667	-27.86692796
0.67399268	-27.90743110
0.68131869	-28.01157518
0.68864470	-28.28994014
0.69597070	-29.04951997
0.70329671	-30.48064934
0.71062272	-32.63451672
0.71794872	-35.43629270
0.72527473	-39.32320701
0.73260074	-44.93477754
0.73992675	-46.30660498
0.74725275	-44.32955563
0.75457876	-42.05664256
0.76190477	-39.77653771
0.76923078	-39.27276041
0.77655678	-39.21722133
0.78388279	-39.32519461
0.79120880	-40.04096430
0.79853481	-40.09474750
0.80586081	-41.34660243
0.81318682	-44.45084317
0.82051283	-47.17740595
0.82783884	-50.38077308
0.83516484	-49.43867077
0.84249085	-48.89248936
0.84981686	-51.74646293
0.85714287	-54.04004344
0.86446887	-52.74078368
0.87179488	-50.37248323
0.87912089	-51.80403626
0.88644690	-54.18115753
0.89377290	-52.20114292
0.90109891	-52.95020214
0.90842492	-56.45880341
0.91575092	-57.61453991
0.92307693	-57.59794942
0.93040294	-58.48017183
0.93772895	-57.51863071
0.94505495	-54.89938776
0.95238096	-54.17489514
0.95970697	-58.07917899
0.96703298	-56.34753344
0.97435898	-53.33613871
0.98168499	-58.07513313
0.98901100	-65.27687233
0.99633701	-58.28981805
1.00366301	-60.51913677
1.01098902	-60.85931700
1.01831503	-62.30384025
1.02564104	-66.73152047
1.03296704	-62.86542987
1.04029305	-55.63053543
1.04761906	-53.02620743
1.05494507	-56.27811696
1.06227107	-61.57741659
1.06959708	-57.32712928
1.07692309	-59.12069461
1.08424909	-60.57324486
1.09157510	-63.39749924
1.09890111	-80.34357591
1.10622712	-65.20296312
1.11355312	-69.83383035
1.12087913	-63.04771366
1.12820514	-61.57936998
1.13553115	-74.28225995
1.14285715	-62.22158545
1.15018316	-58.83378326
1.15750917	-61.77626365
1.16483518	-73.96080287
1.17216118	-68.14469995
1.17948719	-63.19249824
1.18681320	-61.42361498
1.19413921	-61.28158994
1.20146521	-63.89000204
1.20879122	-72.38034581
1.21611723	-67.20075249
1.22344324	-64.79884920
1.23076924	-69.09447732
1.23809525	-69.05190854
1.24542126	-67.25805229
1.25274726	-71.25817235
1.26007327	-77.18849129
1.26739928	-69.41994365
1.27472529	-67.33509397
1.28205129	-68.27273108
1.28937730	-68.13846543
1.29670331	-66.72128924
1.30402932	-64.09764477
1.31135532	-62.89414922
1.31868133	-66.49122782
1.32600734	-70.80180143
1.33333335	-73.56134760
1.34065935	-69.34632925
1.34798536	-69.55814678
1.35531137	-72.26404861
1.36263738	-72.37742427
1.36996338	-73.72121004
1.37728939	-86.04922173
1.38461540	-74.81273602
1.39194141	-71.12657733
1.39926741	-74.48823870
1.40659342	-89.46623321
1.41391943	-73.36744107
1.42124544	-71.82670170
1.42857144	-74.83777266
1.43589745	-96.52544815
1.44322346	-79.07108033
1.45054946	-82.48538307
1.45787547	-79.06598163
1.46520148	-80.70910976
1.47252749	-89.28823182
1.47985349	-81.13460744
1.48717950	-84.68185058
1.49450551	-77.98610208
1.50183152	-74.32173841
1.50915752	-69.53823417
1.51648353	-72.04098392
1.52380954	-73.38015693
1.53113555	-69.44443312
1.53846155	-79.36556459
1.54578756	-71.78961693
1.55311357	-70.19988530
1.56043958	-74.04070408
1.56776558	-75.07196917
1.57509159	-74.47749232
1.58241760	-71.29619223
1.58974361	-67.58873357
1.59706961	-73.04997962
1.60439562	-78.34262681
1.61172163	-74.12577500
1.61904763	-76.80253397
1.62637364	-82.77148373
1.63369965	-74.31651745
1.64102566	-75.49645157
1.64835166	-93.15682699
1.65567767	-77.22955426
1.66300368	-77.22902339
1.67032969	-75.51715294
1.67765569	-70.51677570
1.68498170	-71.21525224
1.69230771	-76.68662821
1.69963372	-75.89683868
1.70695972	-83.13129058
1.71428573	-73.01792633
1.72161174	-73.49461853
1.72893775	-86.19224891
1.73626375	-81.34202460
