# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-23T13:07:00
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666579	0.00000000
-65.03333245	0.00000002
-64.99999912	0.00000004
-64.96666579	0.00000010
-64.93333245	0.00000015
-64.89999912	0.00000031
-64.86666579	0.00000025
-64.83333246	0.00000046
-64.79999912	0.00000006
-64.76666579	0.00000028
-64.73333246	0.00000056
-64.69999912	0.00000033
-64.66666579	0.00000003
-64.63333246	-0.00000024
-64.59999912	-0.00000033
-64.56666579	0.00000008
-64.53333246	-0.00000042
-64.49999913	-0.00000126
-64.46666579	-0.00000139
-64.43333246	-0.00000142
-64.39999913	-0.00000193
-64.36666579	-0.00000186
-64.33333246	-0.00000236
-64.29999913	-0.00000466
-64.26666579	-0.00000440
-64.23333246	-0.00000581
-64.19999913	-0.00000638
-64.16666580	-0.00000946
-64.13333246	-0.00000951
-64.09999913	-0.00001327
-64.06666580	-0.00001130
-64.03333246	-0.00001103
-63.99999913	-0.00001304
-63.96666580	-0.00001240
-63.93333247	-0.00002004
-63.89999913	-0.00002191
-63.86666580	-0.00002497
-63.83333247	-0.00002231
-63.79999913	-0.00002745
-63.76666580	-0.00003253
-63.73333247	-0.00002840
-63.69999913	-0.00003088
-63.66666580	-0.00003790
-63.63333247	-0.00004082
-63.59999914	-0.00004953
-63.56666580	-0.00004719
-63.53333247	-0.00004694
-63.49999914	-0.00005415
-63.46666580	-0.00005801
-63.43333247	-0.00006225
-63.39999914	-0.00006565
-63.36666580	-0.00006661
-63.33333247	-0.00005910
-63.29999914	-0.00005610
-63.26666581	-0.00006493
-63.23333247	-0.00006097
-63.19999914	-0.00006857
-63.16666581	-0.00005690
-63.13333247	-0.00003905
-63.09999914	-0.00005644
-63.06666581	-0.00005017
-63.03333248	-0.00004657
-62.99999914	-0.00003174
-62.96666581	-0.00003420
-62.93333248	-0.00004143
-62.89999914	-0.00001514
-62.86666581	-0.00001475
-62.83333248	-0.00000147
-62.79999914	-0.00000306
-62.76666581	0.00001152
-62.73333248	0.00002051
-62.69999915	0.00003954
-62.66666581	0.00005651
-62.63333248	0.00005878
-62.59999915	0.00005894
-62.56666581	0.00010357
-62.53333248	0.00010975
-62.49999915	0.00013179
-62.46666581	0.00012258
-62.43333248	0.00015226
-62.39999915	0.00016845
-62.36666582	0.00021579
-62.33333248	0.00022866
-62.29999915	0.00023948
-62.26666582	0.00026220
-62.23333248	0.00028003
-62.19999915	0.00030138
-62.16666582	0.00031914
-62.13333248	0.00035343
-62.09999915	0.00038676
-62.06666582	0.00041496
-62.03333249	0.00046655
-61.99999915	0.00049625
-61.96666582	0.00051178
-61.93333249	0.00053916
-61.89999915	0.00059166
-61.86666582	0.00061273
-61.83333249	0.00063670
-61.79999916	0.00065261
-61.76666582	0.00067871
-61.73333249	0.00072066
-61.69999916	0.00073789
-61.66666582	0.00081447
-61.63333249	0.00079870
-61.59999916	0.00082894
-61.56666582	0.00088170
-61.53333249	0.00088314
-61.49999916	0.00092697
-61.46666583	0.00092742
-61.43333249	0.00097624
-61.39999916	0.00095645
-61.36666583	0.00098043
-61.33333249	0.00100639
-61.29999916	0.00099100
-61.26666583	0.00099190
-61.23333249	0.00104912
-61.19999916	0.00104689
-61.16666583	0.00106594
-61.13333250	0.00104802
-61.09999916	0.00106174
-61.06666583	0.00105409
-61.03333250	0.00105332
-60.99999916	0.00103787
-60.96666583	0.00101749
-60.93333250	0.00104912
-60.89999917	0.00104183
-60.86666583	0.00104268
-60.83333250	0.00097492
-60.79999917	0.00098909
-60.76666583	0.00091759
-60.73333250	0.00095089
-60.69999917	0.00085569
-60.66666583	0.00079699
-60.63333250	0.00072675
-60.59999917	0.00074649
-60.56666584	0.00073039
-60.53333250	0.00062597
-60.49999917	0.00052676
-60.46666584	0.00048966
-60.43333250	0.00042812
-60.39999917	0.00041951
-60.36666584	0.00031850
-60.33333250	0.00031832
-60.29999917	0.00023609
-60.26666584	0.00019359
-60.23333251	0.00021065
-60.19999917	0.00013095
-60.16666584	0.00003733
-60.13333251	-0.00011666
-60.09999917	-0.00011256
-60.06666584	-0.00017274
-60.03333251	-0.00021125
-59.99999918	-0.00028820
-59.96666584	-0.00027719
-59.93333251	-0.00034653
-59.89999918	-0.00046674
-59.86666584	-0.00045524
-59.83333251	-0.00052047
-59.79999918	-0.00056554
-59.76666584	-0.00060901
-59.73333251	-0.00061144
-59.69999918	-0.00068795
-59.66666585	-0.00064138
-59.63333251	-0.00072348
-59.59999918	-0.00068052
-59.56666585	-0.00088304
-59.53333251	-0.00087674
-59.49999918	-0.00092461
-59.46666585	-0.00082720
-59.43333251	-0.00074346
-59.39999918	-0.00085544
-59.36666585	-0.00092937
-59.33333252	-0.00089903
-59.29999918	-0.00091135
