# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-23T13:28:20
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666589	0.00000000
-65.03333255	0.00000001
-64.99999922	0.00000004
-64.96666589	0.00000010
-64.93333255	0.00000019
-64.89999922	0.00000022
-64.86666589	0.00000040
-64.83333256	0.00000038
-64.79999922	0.00000039
-64.76666589	0.00000062
-64.73333256	0.00000058
-64.69999922	0.00000043
-64.66666589	0.00000052
-64.63333256	0.00000136
-64.59999922	0.00000096
-64.56666589	0.00000032
-64.53333256	0.00000059
-64.49999923	-0.00000032
-64.46666589	-0.00000169
-64.43333256	-0.00000129
-64.39999923	-0.00000152
-64.36666589	-0.00000361
-64.33333256	-0.00000494
-64.29999923	-0.00000540
-64.26666589	-0.00000370
-64.23333256	-0.00000776
-64.19999923	-0.00000876
-64.16666590	-0.00001024
-64.13333256	-0.00001129
-64.09999923	-0.00001248
-64.06666590	-0.00001471
-64.03333256	-0.00001765
-63.99999923	-0.00001935
-63.96666590	-0.00001522
-63.93333256	-0.00002585
-63.89999923	-0.00002409
-63.86666590	-0.00002733
-63.83333256	-0.00002911
-63.79999923	-0.00003184
-63.76666590	-0.00003665
-63.73333257	-0.00003878
-63.69999923	-0.00004415
-63.66666590	-0.00005162
-63.63333257	-0.00005338
-63.59999923	-0.00005994
-63.56666590	-0.00006367
-63.53333257	-0.00006794
-63.49999923	-0.00006423
-63.46666590	-0.00006693
-63.43333257	-0.00007862
-63.39999924	-0.00009399
-63.36666590	-0.00009511
-63.33333257	-0.00010701
-63.29999924	-0.00010657
-63.26666590	-0.00010979
-63.23333257	-0.00014088
-63.19999924	-0.00014350
-63.16666590	-0.00014152
-63.13333257	-0.00014074
-63.09999924	-0.00015789
-63.06666591	-0.00014730
-63.03333257	-0.00015806
-62.99999924	-0.00015614
-62.96666591	-0.00017402
-62.93333257	-0.00017292
-62.89999924	-0.00016856
-62.86666591	-0.00017425
-62.83333257	-0.00016329
-62.79999924	-0.00016831
-62.76666591	-0.00016833
-62.73333258	-0.00017750
-62.69999924	-0.00016164
-62.66666591	-0.00016755
-62.63333258	-0.00017637
-62.59999924	-0.00016771
-62.56666591	-0.00016716
-62.53333258	-0.00018339
-62.49999924	-0.00015790
-62.46666591	-0.00014763
-62.43333258	-0.00012291
-62.39999925	-0.00009358
-62.36666591	-0.00009169
-62.33333258	-0.00008694
-62.29999925	-0.00009508
-62.26666591	-0.00009919
-62.23333258	-0.00008264
-62.19999925	-0.00006133
-62.16666591	-0.00004478
-62.13333258	-0.00001902
-62.09999925	-0.00000779
-62.06666592	0.00001039
-62.03333258	0.00003784
-61.99999925	0.00008721
-61.96666592	0.00006319
-61.93333258	0.00010096
-61.89999925	0.00012151
-61.86666592	0.00016804
-61.83333258	0.00013585
-61.79999925	0.00017845
-61.76666592	0.00018963
-61.73333259	0.00021495
-61.69999925	0.00029796
-61.66666592	0.00027184
-61.63333259	0.00037054
-61.59999925	0.00036146
-61.56666592	0.00039504
-61.53333259	0.00047419
-61.49999925	0.00047379
-61.46666592	0.00051212
-61.43333259	0.00053680
-61.39999926	0.00055857
-61.36666592	0.00060320
