# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-23T13:28:20
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-0.91047177
0.00732601	-1.36880151
0.01465201	-0.18897807
0.02197802	0.00000000
0.02930403	-4.71943664
0.03663004	-8.51891859
0.04395604	-2.78831904
0.05128205	-5.10751793
0.05860806	-12.94533238
0.06593407	-12.32168636
0.07326007	-10.73463380
0.08058608	-15.93069274
0.08791209	-9.19967703
0.09523810	-17.21379553
0.10256410	-10.53710861
0.10989011	-7.40994863
0.11721612	-10.44506079
0.12454213	-14.83912924
0.13186813	-12.35405281
0.13919414	-4.18728017
0.14652015	-3.65389302
0.15384616	-19.93787735
0.16117216	-7.57683390
0.16849817	-10.18518180
0.17582418	-9.64176613
0.18315018	-4.00769238
0.19047619	-4.60468609
0.19780220	-7.21082347
0.20512821	-5.68724161
0.21245421	-5.18328693
0.21978022	-8.58289110
0.22710623	-5.16353424
0.23443224	-1.68895802
0.24175824	-0.77550384
0.24908425	-1.38690189
0.25641026	-2.48159243
0.26373627	-3.33696896
0.27106227	-5.59113829
0.27838828	-7.22135157
0.28571429	-6.21495670
0.29304030	-4.50638587
0.30036630	-3.72754011
0.30769231	-4.66330673
0.31501832	-5.85414867
0.32234433	-8.10605773
0.32967033	-12.41979496
0.33699634	-16.18925400
0.34432235	-17.99805061
0.35164836	-12.04111140
0.35897436	-11.30153011
0.36630037	-13.12261089
0.37362638	-14.38700959
0.38095238	-16.09507837
0.38827839	-17.33911512
0.39560440	-18.41739673
0.40293041	-29.98264420
0.41025641	-22.88569323
0.41758242	-19.32826355
0.42490843	-19.88135294
0.43223444	-18.84566074
0.43956044	-18.30895395
0.44688645	-19.88983778
0.45421246	-21.92667266
0.46153847	-24.16358930
0.46886447	-23.58065562
0.47619048	-21.14893029
0.48351649	-22.27616147
0.49084250	-26.54844277
0.49816850	-25.61842571
0.50549451	-23.49613994
0.51282052	-24.98379476
0.52014653	-26.07465812
0.52747253	-24.70449949
0.53479854	-26.25187335
0.54212455	-32.21820145
0.54945055	-29.60444993
0.55677656	-27.25155051
0.56410257	-26.68375235
0.57142858	-24.51127387
0.57875458	-24.56464954
0.58608059	-25.38894586
0.59340660	-23.59654600
