# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-08T20:25:59
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-20.30551005
0.00732601	-22.27102720
0.01465201	-21.27517977
0.02197802	-21.17314504
0.02930403	-25.95828137
0.03663004	-22.16055610
0.04395604	-21.24593317
0.05128205	-15.18254773
0.05860806	-16.97226343
0.06593407	-21.31671884
0.07326007	-13.24562296
0.08058608	-14.45755305
0.08791209	-20.83916440
0.09523810	-9.84727793
0.10256410	-8.85353655
0.10989011	-15.50755586
0.11721612	-8.94094146
0.12454213	-6.25159486
0.13186813	-9.14633780
0.13919414	-9.47480190
0.14652015	-6.01325007
0.15384616	-6.96607408
0.16117216	-7.35104865
0.16849817	-3.81848824
0.17582418	-3.83441984
0.18315018	-6.15840414
0.19047619	-4.10310408
0.19780220	-2.39955941
0.20512821	-3.51659590
0.21245421	-3.84881474
0.21978022	-1.93240392
0.22710623	-1.53366249
0.23443224	-2.07584238
0.24175824	-1.88224563
0.24908425	-1.22085475
0.25641026	-1.33288812
0.26373627	-1.70311490
0.27106227	-0.93542083
0.27838828	-0.62522064
0.28571429	-1.23236298
0.29304030	-1.08678684
0.30036630	-0.41861219
0.30769231	-0.67965344
0.31501832	-1.13652105
0.32234433	-0.34228170
0.32967033	0.00000000
0.33699634	-0.77492572
0.34432235	-0.78425141
0.35164836	-0.25228745
0.35897436	-0.42093283
0.36630037	-0.43818462
0.37362638	-0.26009705
0.38095238	-0.29426241
0.38827839	-0.12713677
0.39560440	-0.16621707
0.40293041	-0.44931178
0.41025641	-0.37408335
0.41758242	-0.33165862
0.42490843	-0.45555389
0.43223444	-0.49203119
0.43956044	-0.62009849
0.44688645	-0.65436035
0.45421246	-0.49116782
0.46153847	-0.57613488
0.46886447	-0.71021887
0.47619048	-0.61133388
0.48351649	-0.58520978
0.49084250	-0.60709430
0.49816850	-0.83567021
0.50549451	-0.70973670
0.51282052	-0.38613132
0.52014653	-0.78210454
0.52747253	-0.87616099
0.53479854	-0.76354917
0.54212455	-0.86869359
0.54945055	-1.26723155
0.55677656	-2.29462098
0.56410257	-1.64328855
0.57142858	-0.65890492
0.57875458	-0.89961820
0.58608059	-0.91743795
0.59340660	-0.55182273
0.60073261	-0.70561561
0.60805861	-0.73349398
0.61538462	-0.49457111
0.62271063	-0.85704008
0.63003664	-0.74585782
0.63736264	-0.52300636
0.64468865	-1.00690543
0.65201466	-0.90335312
0.65934067	-1.01813790
0.66666667	-1.33554715
0.67399268	-1.25888378
0.68131869	-1.57005155
0.68864470	-1.56400137
0.69597070	-1.68705356
0.70329671	-2.09793497
0.71062272	-2.07787070
0.71794872	-2.22391523
0.72527473	-2.44532370
0.73260074	-2.51776635
0.73992675	-2.68064851
0.74725275	-3.43443572
0.75457876	-3.96120306
0.76190477	-3.37189171
0.76923078	-3.27662387
0.77655678	-3.47099407
0.78388279	-3.55950181
0.79120880	-3.76464279
0.79853481	-3.82945586
0.80586081	-4.07654946
0.81318682	-4.17657854
0.82051283	-4.20998173
0.82783884	-4.37750190
0.83516484	-4.31378303
0.84249085	-4.42753396
0.84981686	-4.50957525
0.85714287	-4.52484250
0.86446887	-4.74001559
0.87179488	-4.63753570
0.87912089	-4.64818724
0.88644689	-4.81983938
0.89377290	-4.76696364
0.90109891	-4.94602221
0.90842492	-5.01747062
0.91575092	-4.99798571
0.92307693	-5.19031846
0.93040294	-5.08167329
0.93772895	-5.10864053
0.94505495	-5.36330006
0.95238096	-5.24504002
0.95970697	-5.42102106
0.96703298	-5.69049775
0.97435898	-5.55273797
0.98168499	-6.12356451
0.98901100	-6.64866876
0.99633701	-6.26100545
1.00366301	-6.24258798
1.01098902	-6.20072664
1.01831503	-6.42695808
1.02564104	-6.65267336
1.03296704	-6.51162877
1.04029305	-7.03371198
1.04761906	-6.95697974
1.05494507	-7.26923624
1.06227107	-7.56614526
1.06959708	-7.32685578
1.07692309	-8.25952342
1.08424909	-7.81376846
1.09157510	-9.67217045
1.09890111	-13.96503040
1.10622712	-10.08033285
1.11355312	-10.07694744
1.12087913	-9.56492704
1.12820514	-8.60752102
1.13553115	-9.15572744
1.14285715	-9.17671092
1.15018316	-9.77509721
1.15750917	-11.99049412
1.16483518	-15.24675825
1.17216118	-10.96240848
1.17948719	-9.19988149
1.18681320	-10.06275413
1.19413921	-9.49420387
1.20146521	-10.10074108
1.20879122	-11.74733462
1.21611723	-10.28173136
1.22344324	-10.35869689
1.23076924	-11.42743771
1.23809525	-10.24532877
1.24542126	-9.94487580
1.25274726	-10.04132340
1.26007327	-9.97688729
1.26739928	-10.28986644
1.27472529	-10.20981421
1.28205129	-10.51469440
1.28937730	-10.58949252
1.29670331	-10.68313141
1.30402932	-10.98107167
1.31135532	-10.84027509
1.31868133	-11.36478992
1.32600734	-11.41504213
1.33333335	-11.34231694
1.34065935	-11.66837249
1.34798536	-11.52720590
1.35531137	-11.93225086
1.36263738	-11.94871806
1.36996338	-12.15462477
1.37728939	-12.57188964
1.38461540	-12.52766247
1.39194141	-13.26769621
1.39926741	-13.22533807
1.40659342	-15.43862331
1.41391943	-18.60862438
1.42124543	-14.45138945
1.42857144	-14.22115377
1.43589745	-14.51545572
1.44322346	-14.33636445
1.45054946	-14.86329638
1.45787547	-14.56557750
1.46520148	-15.00579415
1.47252749	-14.95176436
1.47985349	-15.04586822
1.48717950	-15.37788810
1.49450551	-15.20711691
1.50183152	-15.62318965
1.50915752	-15.60337500
1.51648353	-15.79168383
1.52380954	-16.03399909
1.53113555	-16.01856713
1.53846155	-16.32559402
1.54578756	-16.34241937
1.55311357	-16.40274933
1.56043958	-16.60843926
1.56776558	-16.68994825
1.57509159	-16.84763569
1.58241760	-17.09177329
1.58974360	-16.99075815
1.59706961	-17.99894034
1.60439562	-19.49587497
1.61172163	-18.14836106
1.61904763	-17.76386459
1.62637364	-18.10963109
1.63369965	-18.27378408
1.64102566	-18.76439603
1.64835166	-19.07173317
1.65567767	-21.43852478
1.66300368	-26.64735291
1.67032969	-34.57336520
1.67765569	-25.60763638
1.68498170	-20.73245501
1.69230771	-20.74822393
1.69963372	-21.10251997
1.70695972	-21.47251842
1.71428573	-27.65027291
1.72161174	-30.48391353
1.72893775	-22.73728189
1.73626375	-21.94519826
1.74358976	-22.43253904
1.75091577	-22.19908788
1.75824178	-23.24309606
1.76556778	-23.95464568
1.77289379	-23.48353869
1.78021980	-23.65607803
1.78754580	-23.87410799
1.79487181	-26.04971096
1.80219782	-26.21668742
1.80952383	-24.27538838
1.81684983	-24.55812707
1.82417584	-24.48649171
1.83150185	-24.67419431
1.83882786	-24.77366840
1.84615386	-25.03325086
1.85347987	-25.15934568
1.86080588	-25.74892081
1.86813189	-30.25697428
1.87545789	-27.81972464
1.88278390	-25.48488259
1.89010991	-25.85525587
1.89743592	-25.76411082
1.90476192	-25.86039069
1.91208793	-26.45541187
1.91941394	-29.41443959
1.92673995	-28.37900151
1.93406595	-26.27552360
