# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-08T20:27:59
# Time [ps]	THz Signal [a.u.]
-65.06666586	0.00000000
-65.03333253	0.00000004
-64.99999919	0.00000015
-64.96666586	0.00000034
-64.93333253	0.00000051
-64.89999919	0.00000080
-64.86666586	0.00000108
-64.83333253	0.00000143
-64.79999919	0.00000142
-64.76666586	0.00000151
-64.73333253	0.00000140
-64.69999920	0.00000194
-64.66666586	0.00000120
-64.63333253	0.00000098
-64.59999920	0.00000115
-64.56666586	-0.00000098
-64.53333253	-0.00000125
-64.49999920	-0.00000263
-64.46666586	-0.00000469
-64.43333253	-0.00000624
-64.39999920	-0.00000625
-64.36666587	-0.00000814
-64.33333253	-0.00001168
-64.29999920	-0.00001510
-64.26666587	-0.00002203
-64.23333253	-0.00001952
-64.19999920	-0.00002486
-64.16666587	-0.00002955
-64.13333253	-0.00003201
-64.09999920	-0.00003518
-64.06666587	-0.00003905
-64.03333254	-0.00004382
-63.99999920	-0.00005355
-63.96666587	-0.00006223
-63.93333254	-0.00006574
-63.89999920	-0.00006413
-63.86666587	-0.00007590
-63.83333254	-0.00007500
-63.79999920	-0.00008494
-63.76666587	-0.00008151
-63.73333254	-0.00009378
-63.69999921	-0.00009922
-63.66666587	-0.00010436
-63.63333254	-0.00011532
-63.59999921	-0.00011569
-63.56666587	-0.00011622
-63.53333254	-0.00012149
-63.49999921	-0.00013169
-63.46666587	-0.00011866
-63.43333254	-0.00012437
-63.39999921	-0.00012072
-63.36666588	-0.00012533
-63.33333254	-0.00013240
-63.29999921	-0.00012790
-63.26666588	-0.00012096
-63.23333254	-0.00011612
-63.19999921	-0.00009372
-63.16666588	-0.00012140
-63.13333254	-0.00010901
-63.09999921	-0.00009886
-63.06666588	-0.00008352
-63.03333255	-0.00007924
-62.99999921	-0.00007462
-62.96666588	-0.00006153
-62.93333255	-0.00003609
-62.89999921	-0.00004382
-62.86666588	-0.00001301
-62.83333255	0.00000449
-62.79999921	0.00001004
-62.76666588	0.00003595
-62.73333255	0.00004268
-62.69999922	0.00005432
-62.66666588	0.00009290
-62.63333255	0.00010580
-62.59999922	0.00013220
-62.56666588	0.00013584
-62.53333255	0.00015009
-62.49999922	0.00016440
-62.46666588	0.00020274
-62.43333255	0.00025107
