# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-08T20:12:58
# Time [ps]	THz Signal [a.u.]
-65.06666594	0.00000000
-65.03333261	0.00000002
-64.99999927	0.00000009
-64.96666594	0.00000017
-64.93333261	0.00000030
-64.89999927	0.00000040
-64.86666594	0.00000053
-64.83333261	0.00000064
-64.79999927	0.00000098
-64.76666594	0.00000051
-64.73333261	0.00000092
-64.69999928	0.00000117
-64.66666594	0.00000120
-64.63333261	0.00000111
-64.59999928	-0.00000045
-64.56666594	-0.00000013
-64.53333261	-0.00000075
-64.49999928	-0.00000117
-64.46666594	-0.00000151
-64.43333261	-0.00000290
-64.39999928	-0.00000416
-64.36666595	-0.00000514
-64.33333261	-0.00000738
-64.29999928	-0.00000681
-64.26666595	-0.00001122
-64.23333261	-0.00001183
-64.19999928	-0.00001261
-64.16666595	-0.00001399
-64.13333261	-0.00001857
-64.09999928	-0.00002381
-64.06666595	-0.00002655
-64.03333261	-0.00002973
-63.99999928	-0.00003615
-63.96666595	-0.00003678
-63.93333262	-0.00003918
-63.89999928	-0.00004530
-63.86666595	-0.00004754
-63.83333262	-0.00005625
-63.79999928	-0.00006035
-63.76666595	-0.00007294
-63.73333262	-0.00008243
-63.69999928	-0.00008317
-63.66666595	-0.00008526
-63.63333262	-0.00009908
-63.59999929	-0.00010280
-63.56666595	-0.00011585
-63.53333262	-0.00011533
-63.49999929	-0.00012469
-63.46666595	-0.00012878
-63.43333262	-0.00013327
-63.39999929	-0.00014427
-63.36666595	-0.00015996
-63.33333262	-0.00016261
-63.29999929	-0.00016605
-63.26666596	-0.00016569
-63.23333262	-0.00018066
-63.19999929	-0.00018743
-63.16666596	-0.00018064
-63.13333262	-0.00018529
-63.09999929	-0.00016754
-63.06666596	-0.00017202
-63.03333262	-0.00019284
-62.99999929	-0.00018597
-62.96666596	-0.00017127
-62.93333262	-0.00016455
-62.89999929	-0.00016799
-62.86666596	-0.00016109
-62.83333263	-0.00013672
-62.79999929	-0.00012969
-62.76666596	-0.00012467
-62.73333263	-0.00010660
-62.69999929	-0.00009885
-62.66666596	-0.00011280
-62.63333263	-0.00008040
-62.59999929	-0.00004514
-62.56666596	-0.00003823
-62.53333263	-0.00001675
-62.49999930	0.00001183
-62.46666596	0.00004164
-62.43333263	0.00008006
-62.39999930	0.00007795
-62.36666596	0.00014521
-62.33333263	0.00014638
-62.29999930	0.00017568
-62.26666596	0.00021678
-62.23333263	0.00023538
-62.19999930	0.00029797
-62.16666597	0.00028122
-62.13333263	0.00031259
-62.09999930	0.00040950
-62.06666597	0.00037236
-62.03333263	0.00047233
-61.99999930	0.00048215
-61.96666597	0.00053885
-61.93333263	0.00056811
-61.89999930	0.00056781
-61.86666597	0.00062722
-61.83333263	0.00069378
-61.79999930	0.00073390
-61.76666597	0.00077170
-61.73333264	0.00080995
-61.69999930	0.00078625
-61.66666597	0.00087249
