# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-08T20:15:08
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-30.11756853
0.00732601	-23.19363375
0.01465201	-17.47387384
0.02197802	-17.47153928
0.02930403	-26.06338017
0.03663004	-24.58083067
0.04395604	-17.44240349
0.05128205	-13.26735852
0.05860806	-14.12471913
0.06593407	-15.66194106
0.07326007	-9.80708598
0.08058608	-12.12001950
0.08791209	-17.24377110
0.09523810	-6.47341628
0.10256410	-5.83701073
0.10989011	-11.25465902
0.11721612	-7.10154516
0.12454213	-4.53304881
0.13186813	-8.26203174
0.13919414	-7.60659742
0.14652015	-3.29797531
0.15384616	-3.91960973
0.16117216	-4.33515914
0.16849817	-1.74290986
0.17582418	-2.38364904
0.18315018	-5.79708749
0.19047619	-2.78029858
0.19780220	-0.58649960
0.20512821	-1.21820545
0.21245421	-1.56911019
0.21978022	-0.54065898
0.22710623	-0.73242029
0.23443224	-1.90714591
0.24175824	-1.49679454
0.24908425	-0.24067929
0.25641026	0.00000000
0.26373627	-0.34761026
0.27106227	-0.26838025
0.27838828	-0.60012634
0.28571429	-1.81224024
0.29304030	-1.64312543
0.30036630	-0.49960992
0.30769231	-0.51658288
0.31501832	-0.87444737
0.32234433	-0.51713716
0.32967033	-0.86496870
0.33699634	-2.19246627
0.34432235	-2.27321096
0.35164835	-1.58107743
0.35897436	-1.47631172
0.36630037	-1.35863092
0.37362638	-1.50702416
0.38095238	-2.10469774
0.38827839	-2.39536421
0.39560440	-2.67157200
0.40293041	-2.93397148
0.41025641	-2.66908964
0.41758242	-2.60983856
0.42490843	-2.97547197
0.43223444	-3.43156547
0.43956044	-4.01661429
0.44688645	-4.32771167
0.45421246	-4.23714315
0.46153847	-4.29417920
0.46886447	-4.48004301
0.47619048	-4.65311120
0.48351649	-4.90246385
0.49084250	-5.39378840
0.49816850	-5.94261629
0.50549451	-5.88421734
0.51282052	-5.78880522
0.52014652	-6.25993600
0.52747253	-6.69249339
0.53479854	-6.96140144
0.54212455	-7.37860382
0.54945055	-8.19098789
0.55677656	-9.34549618
0.56410257	-9.03394172
0.57142858	-8.28513011
0.57875458	-8.82837859
0.58608059	-9.30301424
0.59340660	-9.25936385
0.60073261	-9.82491416
0.60805861	-10.08283458
0.61538462	-10.18694960
0.62271063	-10.88533180
0.63003664	-11.14173995
0.63736264	-11.40173620
0.64468865	-12.22136646
0.65201466	-12.62538063
0.65934067	-13.05411376
0.66666667	-13.73462107
0.67399268	-14.10697357
0.68131869	-14.70694337
0.68864469	-15.31769015
0.69597070	-15.80837643
0.70329671	-16.65326086
0.71062272	-17.17088507
0.71794872	-17.57008836
0.72527473	-18.36923042
0.73260074	-18.79684017
0.73992675	-19.36979657
0.74725275	-20.71497868
0.75457876	-21.54450932
0.76190477	-21.54450002
0.76923078	-21.87713203
0.77655678	-22.53796910
0.78388279	-23.20729869
0.79120880	-23.87856816
0.79853481	-24.54549351
0.80586081	-25.23709766
0.81318682	-25.84553123
0.82051283	-26.41527493
0.82783884	-27.11513926
0.83516484	-27.69130614
0.84249085	-28.20334471
0.84981686	-28.90330771
0.85714286	-29.67500025
0.86446887	-30.37471219
0.87179488	-30.80554372
0.87912089	-31.39787622
0.88644689	-32.40796448
0.89377290	-33.22868529
0.90109891	-33.93493988
0.90842492	-34.36442209
0.91575092	-34.72860247
0.92307693	-35.90622040
0.93040294	-36.73645278
0.93772895	-36.85227950
0.94505495	-37.58863892
0.95238096	-38.55412451
0.95970697	-39.62446686
0.96703298	-40.34816521
0.97435898	-40.58103516
0.98168499	-41.96445751
0.98901100	-43.56746942
0.99633701	-43.68434357
1.00366301	-44.45672412
1.01098902	-45.62548803
