# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-11T14:16:51
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-35.04361894
0.00732601	-21.34516193
0.01465201	-16.81777326
0.02197802	-17.32621267
0.02930403	-25.45407089
0.03663004	-25.65702228
0.04395604	-17.61532730
0.05128205	-12.87120197
0.05860806	-14.03550345
0.06593407	-14.99716373
0.07326007	-9.52193163
0.08058608	-12.79859117
0.08791209	-16.29971824
0.09523810	-6.20430179
0.10256410	-5.86492131
0.10989011	-11.89072406
0.11721612	-7.00242356
0.12454213	-4.41539184
0.13186813	-8.26500774
0.13919414	-7.60032586
0.14652015	-3.31115213
0.15384616	-3.88403559
0.16117216	-4.30944830
0.16849817	-1.85997817
0.17582418	-2.47563657
0.18315018	-5.77016635
0.19047619	-2.87186367
0.19780220	-0.63371612
0.20512821	-1.20442388
0.21245421	-1.61912625
0.21978022	-0.64470615
0.22710623	-0.81304912
0.23443224	-1.93700380
0.24175824	-1.51060248
0.24908425	-0.25948727
0.25641026	0.00000000
0.26373627	-0.33897897
0.27106227	-0.30736139
0.27838828	-0.65620423
0.28571429	-1.83083472
0.29304030	-1.69549956
0.30036630	-0.55859075
0.30769231	-0.51576500
0.31501832	-0.87979440
0.32234433	-0.57213466
0.32967033	-0.88524153
0.33699634	-2.19104224
0.34432235	-2.33948986
0.35164835	-1.61053840
0.35897436	-1.45756903
0.36630037	-1.36562698
0.37362638	-1.51242407
0.38095238	-2.10078391
0.38827839	-2.41396130
0.39560440	-2.67156679
0.40293041	-2.92822741
0.41025641	-2.67471200
0.41758242	-2.58742869
0.42490843	-2.94316781
0.43223444	-3.40758091
0.43956044	-3.97447668
0.44688645	-4.27142389
0.45421246	-4.18772216
0.46153847	-4.25187184
0.46886447	-4.43707139
0.47619048	-4.62624131
0.48351649	-4.89136846
0.49084250	-5.34054909
0.49816850	-5.87042135
0.50549451	-5.84300243
0.51282052	-5.72006980
0.52014652	-6.19074267
0.52747253	-6.66161013
0.53479854	-6.91580616
0.54212455	-7.34794731
0.54945055	-8.14969492
0.55677656	-9.22357717
0.56410257	-8.98042660
0.57142858	-8.28343505
0.57875458	-8.82113775
0.58608059	-9.33221964
0.59340660	-9.28370309
0.60073261	-9.84102077
0.60805861	-10.12990028
0.61538462	-10.21101631
0.62271063	-10.89839265
0.63003664	-11.18042274
0.63736264	-11.42662193
0.64468865	-12.24673303
0.65201466	-12.65975100
0.65934067	-13.06491388
0.66666667	-13.74870997
0.67399268	-14.13607982
0.68131869	-14.72294759
0.68864469	-15.33325428
0.69597070	-15.82876965
0.70329671	-16.65315653
0.71062272	-17.16237072
0.71794872	-17.56220272
0.72527473	-18.33444533
0.73260074	-18.77422205
0.73992675	-19.36549499
0.74725275	-20.63289090
0.75457876	-21.42851717
0.76190477	-21.48108022
0.76923078	-21.78548071
0.77655678	-22.45480098
0.78388279	-23.16521944
0.79120880	-23.78574608
0.79853481	-24.41331511
0.80586081	-25.10655305
0.81318682	-25.74920883
0.82051283	-26.34233658
0.82783884	-26.97783662
0.83516484	-27.58602115
0.84249085	-28.20409827
0.84981686	-28.86220154
0.85714286	-29.53854553
0.86446887	-30.21490923
0.87179488	-30.67326301
0.87912089	-31.16690043
0.88644689	-31.82158985
0.89377290	-32.41601800
0.90109891	-33.31471807
0.90842492	-34.07676930
0.91575092	-34.38616567
0.92307693	-35.21687705
0.93040294	-36.22769948
0.93772895	-36.93526267
0.94505495	-37.58662144
0.95238096	-38.03514898
0.95970697	-38.88254683
0.96703298	-39.86602404
0.97435898	-40.52290871
0.98168499	-41.66409735
0.98901100	-42.78615931
0.99633701	-43.43493039
1.00366301	-44.09530919
1.01098902	-45.10606090
1.01831503	-46.51113678
1.02564104	-46.81588162
1.03296704	-47.05611791
1.04029305	-48.39388931
1.04761906	-48.99749796
1.05494506	-49.44947179
1.06227107	-50.79297152
1.06959708	-51.73430880
1.07692309	-52.15854203
1.08424909	-53.32124324
1.09157510	-56.97741990
1.09890111	-61.17010323
1.10622712	-58.33833140
1.11355312	-57.56577823
1.12087913	-56.99693459
1.12820514	-57.11947576
1.13553115	-58.03431521
