# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-11T16:36:36
# Time [ps]	THz Signal [a.u.]
-65.06666586	0.00000000
-65.03333253	0.00000002
-64.99999920	0.00000008
-64.96666586	0.00000019
-64.93333253	0.00000030
-64.89999920	0.00000045
-64.86666586	0.00000058
-64.83333253	0.00000072
-64.79999920	0.00000067
-64.76666586	0.00000073
-64.73333253	0.00000110
-64.69999920	0.00000031
-64.66666587	0.00000019
-64.63333253	0.00000075
-64.59999920	0.00000048
-64.56666587	0.00000036
-64.53333253	0.00000091
-64.49999920	0.00000006
-64.46666587	-0.00000143
-64.43333253	-0.00000173
-64.39999920	-0.00000508
-64.36666587	-0.00000602
-64.33333254	-0.00000707
-64.29999920	-0.00000966
-64.26666587	-0.00001262
-64.23333254	-0.00001140
-64.19999920	-0.00001581
-64.16666587	-0.00001734
-64.13333254	-0.00002019
-64.09999920	-0.00002061
-64.06666587	-0.00002458
-64.03333254	-0.00002436
-63.99999921	-0.00003003
-63.96666587	-0.00003710
-63.93333254	-0.00003603
-63.89999921	-0.00004281
-63.86666587	-0.00005034
-63.83333254	-0.00005483
-63.79999921	-0.00005718
-63.76666587	-0.00006552
-63.73333254	-0.00006737
-63.69999921	-0.00008289
-63.66666588	-0.00008839
-63.63333254	-0.00009175
-63.59999921	-0.00010329
-63.56666588	-0.00010611
-63.53333254	-0.00010613
-63.49999921	-0.00011987
-63.46666588	-0.00011081
-63.43333254	-0.00011730
-63.39999921	-0.00013667
-63.36666588	-0.00014434
-63.33333255	-0.00013546
-63.29999921	-0.00015042
-63.26666588	-0.00015338
-63.23333255	-0.00015172
-63.19999921	-0.00015066
-63.16666588	-0.00014514
-63.13333255	-0.00014397
-63.09999921	-0.00014390
-63.06666588	-0.00013349
-63.03333255	-0.00013513
-62.99999922	-0.00012693
-62.96666588	-0.00012583
-62.93333255	-0.00012385
-62.89999922	-0.00011941
-62.86666588	-0.00008269
-62.83333255	-0.00007333
-62.79999922	-0.00006818
-62.76666588	-0.00004853
-62.73333255	-0.00003991
-62.69999922	-0.00001081
-62.66666589	0.00000277
-62.63333255	0.00001984
-62.59999922	0.00003273
-62.56666589	0.00003007
-62.53333255	0.00007756
-62.49999922	0.00010492
-62.46666589	0.00013076
-62.43333255	0.00016523
-62.39999922	0.00016326
-62.36666589	0.00021544
-62.33333256	0.00021394
-62.29999922	0.00026296
-62.26666589	0.00028928
-62.23333256	0.00032404
-62.19999922	0.00035556
-62.16666589	0.00036725
-62.13333256	0.00042550
-62.09999922	0.00043286
-62.06666589	0.00047342
-62.03333256	0.00049781
-61.99999923	0.00055371
-61.96666589	0.00057774
-61.93333256	0.00060536
-61.89999923	0.00068649
-61.86666589	0.00070409
-61.83333256	0.00076372
-61.79999923	0.00079477
-61.76666589	0.00080577
-61.73333256	0.00083602
-61.69999923	0.00090689
