# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-08T14:17:46
# Time [ps]	THz Signal [a.u.]
-65.06666584	0.00000000
-65.03333251	0.00000001
-64.99999918	0.00000006
-64.96666584	0.00000011
-64.93333251	0.00000023
-64.89999918	0.00000020
-64.86666584	0.00000049
-64.83333251	0.00000031
-64.79999918	0.00000036
-64.76666585	0.00000045
-64.73333251	0.00000040
-64.69999918	0.00000067
-64.66666585	0.00000056
-64.63333251	0.00000076
-64.59999918	0.00000061
-64.56666585	-0.00000078
-64.53333251	-0.00000105
-64.49999918	-0.00000126
-64.46666585	-0.00000275
-64.43333252	-0.00000098
-64.39999918	-0.00000379
-64.36666585	-0.00000229
-64.33333252	-0.00000213
-64.29999918	-0.00000591
-64.26666585	-0.00000510
-64.23333252	-0.00000562
-64.19999918	-0.00000642
-64.16666585	-0.00001007
-64.13333252	-0.00001136
-64.09999919	-0.00001300
-64.06666585	-0.00001245
-64.03333252	-0.00001489
-63.99999919	-0.00001872
-63.96666585	-0.00001791
-63.93333252	-0.00002185
-63.89999919	-0.00002167
-63.86666585	-0.00002629
-63.83333252	-0.00003238
-63.79999919	-0.00003787
-63.76666586	-0.00003773
-63.73333252	-0.00003600
-63.69999919	-0.00004477
-63.66666586	-0.00004487
-63.63333252	-0.00004689
-63.59999919	-0.00005369
-63.56666586	-0.00005554
-63.53333252	-0.00005841
-63.49999919	-0.00005718
-63.46666586	-0.00006208
-63.43333253	-0.00007543
-63.39999919	-0.00007317
-63.36666586	-0.00007878
-63.33333253	-0.00009580
-63.29999919	-0.00008796
-63.26666586	-0.00010038
-63.23333253	-0.00010429
-63.19999919	-0.00009208
-63.16666586	-0.00009797
-63.13333253	-0.00008836
-63.09999920	-0.00009552
-63.06666586	-0.00009268
-63.03333253	-0.00011055
-62.99999920	-0.00008276
-62.96666586	-0.00008904
-62.93333253	-0.00008502
-62.89999920	-0.00007665
-62.86666586	-0.00008172
-62.83333253	-0.00008216
-62.79999920	-0.00005749
-62.76666587	-0.00006037
-62.73333253	-0.00005828
-62.69999920	-0.00003408
-62.66666587	-0.00003599
-62.63333253	-0.00004333
-62.59999920	-0.00003612
-62.56666587	0.00000244
-62.53333253	0.00001486
-62.49999920	0.00003372
-62.46666587	0.00003285
-62.43333254	0.00006925
-62.39999920	0.00008962
-62.36666587	0.00008383
-62.33333254	0.00010693
-62.29999920	0.00012502
-62.26666587	0.00014019
-62.23333254	0.00014523
-62.19999920	0.00019764
-62.16666587	0.00021362
-62.13333254	0.00027881
-62.09999921	0.00028852
-62.06666587	0.00032815
-62.03333254	0.00031809
-61.99999921	0.00036146
-61.96666587	0.00036559
-61.93333254	0.00041968
-61.89999921	0.00039025
-61.86666588	0.00044817
-61.83333254	0.00047736
-61.79999921	0.00054580
-61.76666588	0.00056437
-61.73333254	0.00064020
-61.69999921	0.00062542
-61.66666588	0.00065055
-61.63333254	0.00062264
-61.59999921	0.00068941
-61.56666588	0.00070902
-61.53333255	0.00079608
-61.49999921	0.00079714
-61.46666588	0.00086152
-61.43333255	0.00088422
-61.39999921	0.00088588
-61.36666588	0.00092561
-61.33333255	0.00091428
-61.29999921	0.00094744
-61.26666588	0.00100985
-61.23333255	0.00100528
-61.19999922	0.00103251
-61.16666588	0.00105383
-61.13333255	0.00107068
-61.09999922	0.00109974
-61.06666588	0.00112498
-61.03333255	0.00116899
-60.99999922	0.00111981
-60.96666588	0.00118471
-60.93333255	0.00115715
-60.89999922	0.00118368
-60.86666589	0.00120695
-60.83333255	0.00120491
-60.79999922	0.00121858
-60.76666589	0.00121567
-60.73333255	0.00118158
-60.69999922	0.00108736
-60.66666589	0.00110390
-60.63333255	0.00106739
