# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-08T18:32:05
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-26.19263532
0.00732601	-22.07597533
0.01465201	-19.67754329
0.02197802	-21.78839564
0.02930403	-31.61722905
0.03663004	-25.72862846
0.04395604	-19.14821875
0.05128205	-14.00969841
0.05860806	-14.82876271
0.06593407	-15.69664872
0.07326007	-9.93544957
0.08058608	-12.21080147
0.08791209	-18.30234930
0.09523810	-6.68173713
0.10256410	-5.76556276
0.10989011	-11.41282094
0.11721612	-7.28749092
0.12454213	-4.56480283
0.13186813	-8.37376442
0.13919414	-7.62733177
0.14652015	-3.39313961
0.15384616	-3.98046489
0.16117216	-4.40277959
0.16849817	-1.96020228
0.17582418	-2.55396158
0.18315018	-5.78748540
0.19047619	-2.89658157
0.19780220	-0.68802068
0.20512821	-1.30576251
0.21245421	-1.72665818
0.21978022	-0.71843368
0.22710623	-0.88677238
0.23443224	-1.97519048
0.24175824	-1.51606589
0.24908425	-0.28292296
0.25641026	0.00000000
0.26373627	-0.35723428
0.27106227	-0.40672768
0.27838828	-0.73092217
0.28571429	-1.84568554
0.29304030	-1.74314548
0.30036630	-0.58841251
0.30769231	-0.53666548
0.31501832	-0.98095138
0.32234432	-0.72125158
0.32967033	-1.00898695
0.33699634	-2.28272138
0.34432235	-2.39033145
0.35164835	-1.62074409
0.35897436	-1.48651767
0.36630037	-1.45996873
0.37362638	-1.64359276
0.38095238	-2.24948311
0.38827839	-2.54636929
0.39560440	-2.76829979
0.40293041	-3.01591581
0.41025641	-2.77281143
0.41758242	-2.71830612
0.42490843	-3.12023552
0.43223444	-3.60540347
0.43956044	-4.16867930
0.44688645	-4.43800942
0.45421246	-4.33156856
0.46153847	-4.40497891
0.46886447	-4.60026785
0.47619048	-4.79259724
0.48351649	-5.07303166
0.49084249	-5.51928035
0.49816850	-6.02273277
0.50549451	-5.99701646
0.51282052	-5.87751698
0.52014652	-6.33963134
0.52747253	-6.83032813
0.53479854	-7.09157521
0.54212455	-7.49968946
0.54945055	-8.30346830
0.55677656	-9.39120040
0.56410257	-9.12535955
