f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	14.9791	
0.0585938	23.5079	
0.117188	28.8229	
0.175781	33.2102	
0.234375	38.7592	
0.292969	45.4523	
0.351563	52.8583	
0.410157	60.5145	
0.46875	68.1428	
0.527344	75.7433	
0.585938	83.4166	
0.644532	91.2303	
0.703126	99.3896	
0.76172	108.269	
0.820313	117.797	
0.878907	126.759	
0.937501	134.039	
0.996095	140.501	
1.05469	147.529	
1.11328	155.642	
1.17188	164.504	
1.23047	172.143	
1.28906	177.331	
1.34766	182.717	
1.40625	190.351	
1.46485	197.838	
