f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	202.552	
0.0585938	77.8708	
0.117188	74.6711	
0.175781	78.6129	
0.234375	85.8723	
0.292969	95.7736	
0.351563	107.378	
0.410157	118.188	
0.46875	124.069	
0.527344	123.816	
0.585938	120.949	
0.644532	118.441	
0.703126	117.224	
0.76172	117.293	
0.820313	118.37	
0.878907	119.988	
0.937501	121.499	
0.996095	122.569	
1.05469	123.575	
1.11328	125.286	
1.17188	128.163	
1.23047	131.754	
1.28906	134.989	
1.34766	137.422	
1.40625	140.02	
1.46485	144.802	
