# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-10T20:31:03
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-21.85322979
0.00732601	-32.19401900
0.01465201	-16.69471612
0.02197802	-13.04125357
0.02930403	-18.85347695
0.03663004	-20.81427607
0.04395604	-14.97562641
0.05128205	-15.91049390
0.05860806	-17.26243899
0.06593407	-15.18481782
0.07326007	-12.10830846
0.08058608	-9.13533200
0.08791209	-6.79157888
0.09523810	-5.35451222
0.10256410	-4.42643990
0.10989011	-3.81591762
0.11721612	-3.19451782
0.12454213	-2.88399715
0.13186813	-2.37061051
0.13919414	-1.47538314
0.14652015	-1.39346237
0.15384616	-1.12850487
0.16117216	-0.37258193
0.16849817	-0.44198872
0.17582418	-0.37151053
0.18315018	-0.27684772
0.19047619	-0.59157061
0.19780220	-0.28086832
0.20512821	-0.16412567
0.21245421	-0.40995496
0.21978022	-0.22552411
0.22710623	0.00000000
0.23443224	-0.01054826
0.24175824	-0.35942854
0.24908425	-0.37649825
0.25641026	-0.14513392
0.26373627	-0.61070176
0.27106227	-0.85433586
0.27838828	-0.65990523
0.28571429	-1.02246514
0.29304030	-1.40257294
0.30036630	-1.52341125
0.30769231	-1.68922239
0.31501832	-1.96347813
0.32234433	-2.28253164
0.32967033	-2.30228361
0.33699634	-2.51310001
0.34432235	-2.96088361
0.35164835	-3.07714159
0.35897436	-3.27464018
0.36630037	-3.45616763
0.37362638	-3.49020659
0.38095238	-3.78865082
0.38827839	-3.95890070
0.39560440	-4.08812506
0.40293041	-4.51830785
0.41025641	-4.99238622
0.41758242	-5.48895996
0.42490843	-5.85195272
0.43223444	-6.26596191
0.43956044	-6.84430169
0.44688645	-6.93718669
0.45421246	-7.03817339
0.46153847	-7.42257855
0.46886447	-7.43102229
0.47619048	-7.65699491
0.48351649	-8.09873788
0.49084249	-8.21901859
0.49816850	-8.67415544
0.50549451	-9.14488302
0.51282052	-9.23635229
0.52014652	-9.58880142
0.52747253	-10.04650737
0.53479854	-10.51948603
0.54212455	-11.10415246
0.54945055	-11.65910533
0.55677656	-12.32536953
0.56410257	-12.62304668
0.57142858	-12.66510715
0.57875458	-13.15181958
0.58608059	-13.52203250
0.59340660	-13.81209628
0.60073261	-14.51681040
0.60805861	-15.25729468
