# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-12T20:47:10
# Time [ps]	THz Signal [a.u.]
-65.06666600	0.00000000
-65.03333267	0.00000002
-64.99999934	0.00000007
-64.96666600	0.00000014
-64.93333267	0.00000027
-64.89999934	0.00000044
-64.86666600	0.00000058
-64.83333267	0.00000063
-64.79999934	0.00000071
-64.76666601	0.00000062
-64.73333267	0.00000074
-64.69999934	0.00000066
-64.66666601	0.00000000
-64.63333267	0.00000044
-64.59999934	-0.00000122
-64.56666601	-0.00000039
-64.53333267	-0.00000183
-64.49999934	-0.00000352
-64.46666601	-0.00000314
-64.43333268	-0.00000266
-64.39999934	-0.00000475
-64.36666601	-0.00000454
-64.33333268	-0.00000509
-64.29999934	-0.00000359
-64.26666601	-0.00000688
-64.23333268	-0.00000680
-64.19999934	-0.00000737
-64.16666601	-0.00001242
-64.13333268	-0.00001323
-64.09999934	-0.00001223
-64.06666601	-0.00001463
-64.03333268	-0.00001426
-63.99999935	-0.00002138
-63.96666601	-0.00002154
-63.93333268	-0.00002932
-63.89999935	-0.00002948
-63.86666601	-0.00003232
-63.83333268	-0.00003427
-63.79999935	-0.00003486
-63.76666601	-0.00004162
-63.73333268	-0.00004514
-63.69999935	-0.00005517
-63.66666601	-0.00005099
-63.63333268	-0.00005315
-63.59999935	-0.00004977
-63.56666602	-0.00006149
-63.53333268	-0.00006852
-63.49999935	-0.00007154
-63.46666602	-0.00007309
-63.43333268	-0.00007668
-63.39999935	-0.00008049
-63.36666602	-0.00008505
-63.33333268	-0.00009192
-63.29999935	-0.00008869
-63.26666602	-0.00008628
-63.23333269	-0.00009562
-63.19999935	-0.00010535
-63.16666602	-0.00008811
-63.13333269	-0.00009240
-63.09999935	-0.00009195
-63.06666602	-0.00007765
-63.03333269	-0.00007512
-62.99999935	-0.00007061
-62.96666602	-0.00007170
-62.93333269	-0.00005821
-62.89999935	-0.00004646
-62.86666602	-0.00002746
-62.83333269	-0.00001801
-62.79999936	-0.00001364
-62.76666602	-0.00001020
-62.73333269	0.00000545
-62.69999936	0.00002242
-62.66666602	0.00004284
-62.63333269	0.00007116
-62.59999936	0.00008410
-62.56666602	0.00009008
-62.53333269	0.00012081
-62.49999936	0.00013447
-62.46666602	0.00014747
-62.43333269	0.00017310
-62.39999936	0.00021394
-62.36666603	0.00021921
-62.33333269	0.00026144
-62.29999936	0.00027480
-62.26666603	0.00031179
-62.23333269	0.00035264
-62.19999936	0.00037095
-62.16666603	0.00039363
-62.13333269	0.00043243
-62.09999936	0.00048699
-62.06666603	0.00047933
-62.03333269	0.00054237
-61.99999936	0.00058866
-61.96666603	0.00062953
-61.93333270	0.00065467
-61.89999936	0.00069993
-61.86666603	0.00068783
-61.83333270	0.00077116
-61.79999936	0.00078885
-61.76666603	0.00084352
-61.73333270	0.00087469
-61.69999936	0.00094549
-61.66666603	0.00094685
-61.63333270	0.00102884
-61.59999937	0.00102408
-61.56666603	0.00112934
-61.53333270	0.00116730
-61.49999937	0.00121563
-61.46666603	0.00125830
-61.43333270	0.00130735
-61.39999937	0.00136228
-61.36666603	0.00137672
-61.33333270	0.00138930
-61.29999937	0.00137680
-61.26666603	0.00147694
-61.23333270	0.00153137
-61.19999937	0.00154082
-61.16666604	0.00157618
-61.13333270	0.00163941
-61.09999937	0.00166003
-61.06666604	0.00167697
-61.03333270	0.00171834
-60.99999937	0.00174641
-60.96666604	0.00174351
-60.93333270	0.00177997
-60.89999937	0.00174568
-60.86666604	0.00175532
-60.83333270	0.00177404
-60.79999937	0.00174311
-60.76666604	0.00182145
-60.73333271	0.00179393
-60.69999937	0.00182801
-60.66666604	0.00172762
-60.63333271	0.00168713
-60.59999937	0.00165594
-60.56666604	0.00164540
-60.53333271	0.00163904
-60.49999937	0.00157888
-60.46666604	0.00149169
-60.43333271	0.00150995
-60.39999938	0.00141656
-60.36666604	0.00136182
-60.33333271	0.00115047
-60.29999938	0.00109613
-60.26666604	0.00101893
-60.23333271	0.00082351
-60.19999938	0.00073723
-60.16666604	0.00064030
-60.13333271	0.00055790
-60.09999938	0.00046562
-60.06666604	0.00041100
-60.03333271	0.00026337
-59.99999938	0.00005601
-59.96666605	-0.00008224
-59.93333271	-0.00019087
-59.89999938	-0.00027544
-59.86666605	-0.00044115
-59.83333271	-0.00050931
-59.79999938	-0.00057815
-59.76666605	-0.00070525
-59.73333271	-0.00087819
-59.69999938	-0.00099967
-59.66666605	-0.00106678
-59.63333271	-0.00117927
-59.59999938	-0.00131505
-59.56666605	-0.00144515
-59.53333272	-0.00148418
-59.49999938	-0.00155816
-59.46666605	-0.00156123
-59.43333272	-0.00158513
-59.39999938	-0.00168628
-59.36666605	-0.00160163
-59.33333272	-0.00159730
-59.29999938	-0.00158689
-59.26666605	-0.00169937
-59.23333272	-0.00158033
-59.19999939	-0.00152853
-59.16666605	-0.00161643
-59.13333272	-0.00152094
-59.09999939	-0.00147425
-59.06666605	-0.00141391
-59.03333272	-0.00146086
-58.99999939	-0.00143206
-58.96666605	-0.00137121
-58.93333272	-0.00122257
-58.89999939	-0.00116998
-58.86666605	-0.00115742
-58.83333272	-0.00103136
-58.79999939	-0.00098651
-58.76666606	-0.00093829
-58.73333272	-0.00085286
-58.69999939	-0.00087003
-58.66666606	-0.00074458
-58.63333272	-0.00072418
-58.59999939	-0.00063021
-58.56666606	-0.00051832
-58.53333272	-0.00048675
-58.49999939	-0.00040052
-58.46666606	-0.00032736
-58.43333272	-0.00028976
-58.39999939	-0.00029245
-58.36666606	-0.00026906
-58.33333273	-0.00027679
-58.29999939	-0.00027473
-58.26666606	-0.00027631
-58.23333273	-0.00024804
-58.19999939	-0.00027711
-58.16666606	-0.00025963
-58.13333273	-0.00021292
-58.09999939	-0.00016700
-58.06666606	-0.00026644
-58.03333273	-0.00023949
-57.99999940	-0.00019612
-57.96666606	-0.00023254
-57.93333273	-0.00025268
-57.89999940	-0.00031524
-57.86666606	-0.00030305
-57.83333273	-0.00038010
-57.79999940	-0.00029792
-57.76666606	-0.00026217
-57.73333273	-0.00024000
-57.69999940	-0.00025887
-57.66666606	-0.00031044
-57.63333273	-0.00027619
-57.59999940	-0.00020461
-57.56666607	-0.00020363
-57.53333273	-0.00012159
-57.49999940	-0.00010244
-57.46666607	-0.00005984
-57.43333273	-0.00004223
-57.39999940	-0.00007868
-57.36666607	0.00002905
-57.33333273	0.00005315
-57.29999940	0.00009899
-57.26666607	0.00020271
-57.23333273	0.00025049
-57.19999940	0.00031189
-57.16666607	0.00034176
-57.13333274	0.00033967
-57.09999940	0.00040471
-57.06666607	0.00048561
-57.03333274	0.00049499
-56.99999940	0.00059612
-56.96666607	0.00070991
-56.93333274	0.00076210
-56.89999940	0.00083653
-56.86666607	0.00096654
-56.83333274	0.00095017
-56.79999941	0.00096954
-56.76666607	0.00098922
-56.73333274	0.00112129
-56.69999941	0.00110432
-56.66666607	0.00099624
-56.63333274	0.00108514
-56.59999941	0.00105541
-56.56666607	0.00112875
-56.53333274	0.00120640
-56.49999941	0.00108374
-56.46666607	0.00117241
-56.43333274	0.00109360
-56.39999941	0.00118114
