# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-10T19:31:52
# Time [ps]	THz Signal [a.u.]
-65.06666649	0.00000000
-65.03333316	0.00000002
-64.99999983	0.00000008
-64.96666649	0.00000016
-64.93333316	0.00000020
-64.89999983	0.00000042
-64.86666649	0.00000036
-64.83333316	0.00000056
-64.79999983	0.00000049
-64.76666649	0.00000077
-64.73333316	0.00000036
-64.69999983	0.00000013
-64.66666649	-0.00000014
-64.63333316	-0.00000013
-64.59999983	-0.00000013
-64.56666649	-0.00000051
-64.53333316	-0.00000087
-64.49999983	-0.00000113
-64.46666649	-0.00000117
-64.43333316	-0.00000194
-64.39999983	-0.00000266
-64.36666649	-0.00000591
-64.33333316	-0.00000535
-64.29999983	-0.00000642
-64.26666649	-0.00000933
-64.23333316	-0.00000880
-64.19999983	-0.00000860
-64.16666649	-0.00001069
-64.13333316	-0.00001325
-64.09999983	-0.00001489
-64.06666650	-0.00001869
-64.03333316	-0.00002232
-63.99999983	-0.00002596
-63.96666650	-0.00002415
-63.93333316	-0.00002824
-63.89999983	-0.00003329
-63.86666650	-0.00003008
-63.83333316	-0.00003627
-63.79999983	-0.00003865
-63.76666650	-0.00003903
-63.73333316	-0.00004241
-63.69999983	-0.00004731
-63.66666650	-0.00004474
-63.63333316	-0.00005746
-63.59999983	-0.00006443
-63.56666650	-0.00006014
-63.53333316	-0.00005683
-63.49999983	-0.00006606
-63.46666650	-0.00005611
-63.43333316	-0.00006997
-63.39999983	-0.00006269
-63.36666650	-0.00006944
-63.33333316	-0.00007294
-63.29999983	-0.00007283
-63.26666650	-0.00006963
-63.23333316	-0.00006152
-63.19999983	-0.00005614
-63.16666650	-0.00005396
-63.13333316	-0.00004128
-63.09999983	-0.00002754
-63.06666650	-0.00004060
-63.03333316	-0.00004143
-62.99999983	-0.00002602
-62.96666650	0.00000229
-62.93333316	-0.00000322
-62.89999983	0.00001958
-62.86666650	0.00004064
-62.83333316	0.00005668
-62.79999983	0.00007255
-62.76666650	0.00006134
-62.73333316	0.00009864
-62.69999983	0.00011279
-62.66666650	0.00014367
-62.63333316	0.00016796
-62.59999983	0.00017532
-62.56666650	0.00022585
-62.53333317	0.00024935
-62.49999983	0.00026001
-62.46666650	0.00027662
-62.43333317	0.00030918
-62.39999983	0.00035638
-62.36666650	0.00036259
-62.33333317	0.00041895
-62.29999983	0.00043566
-62.26666650	0.00047769
-62.23333317	0.00051650
-62.19999983	0.00058204
-62.16666650	0.00060760
-62.13333317	0.00062896
-62.09999983	0.00065503
