# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-10T19:31:52
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-44.77646338
0.00732601	-31.03008297
0.01465201	-33.59254684
0.02197802	-23.52918607
0.02930403	-26.85926523
0.03663004	-29.24932388
0.04395604	-23.43471493
0.05128205	-23.31081871
0.05860806	-23.98496279
0.06593407	-22.75925293
0.07326007	-19.88114450
0.08058608	-16.85482918
0.08791209	-14.09069132
0.09523810	-12.32054870
0.10256410	-11.06389746
0.10989011	-9.67751963
0.11721612	-8.58881106
0.12454212	-7.70506831
0.13186813	-6.97776569
0.13919414	-6.27735055
0.14652015	-5.45820448
0.15384615	-4.99982245
0.16117216	-4.59876407
0.16849817	-4.12559012
0.17582418	-4.13011709
0.18315018	-4.07604534
0.19047619	-3.97236818
0.19780220	-4.26944212
0.20512821	-4.11844378
0.21245421	-3.51622340
0.21978022	-3.19866107
0.22710623	-2.89345968
0.23443223	-2.46706827
0.24175824	-2.14531333
0.24908425	-1.89442564
0.25641026	-1.55244435
0.26373626	-0.98315361
0.27106227	-0.50915742
0.27838828	-0.30573746
0.28571429	-0.09476742
0.29304029	0.00000000
0.30036630	-0.10945796
0.30769231	-0.20135466
0.31501832	-0.35047536
0.32234432	-0.58384407
0.32967033	-0.84836483
0.33699634	-1.21178984
0.34432235	-1.52086914
0.35164835	-1.66943194
0.35897436	-1.71581756
0.36630037	-1.65770867
0.37362637	-1.54814667
0.38095238	-1.37770777
0.38827839	-1.15629431
0.39560440	-1.00874476
0.40293040	-0.84341162
0.41025641	-0.59721838
0.41758242	-0.43937267
0.42490843	-0.37239824
0.43223443	-0.36042524
0.43956044	-0.48141047
0.44688645	-0.70944438
0.45421246	-1.02250029
0.46153846	-1.38848246
0.46886447	-1.72289020
0.47619048	-2.08788226
0.48351648	-2.50520991
0.49084249	-2.87556015
0.49816850	-3.17618945
0.50549451	-3.33915237
0.51282051	-3.32007326
0.52014652	-3.25146628
0.52747253	-3.23088721
0.53479854	-3.30268496
0.54212454	-3.46723919
0.54945055	-3.56683306
0.55677656	-3.48223564
0.56410257	-3.23596872
0.57142857	-2.91870551
0.57875458	-2.69997533
0.58608059	-2.66826949
0.59340659	-2.81496912
0.60073260	-3.17465443
0.60805861	-3.68241053
0.61538462	-4.18720055
0.62271062	-4.63970612
0.63003663	-5.04152843
0.63736264	-5.41523629
0.64468865	-5.79859739
0.65201465	-6.16378456
0.65934066	-6.46096484
0.66666667	-6.66199536
0.67399268	-6.76174317
0.68131868	-6.81764386
0.68864469	-6.88510204
0.69597070	-6.95259203
0.70329670	-7.00590829
0.71062271	-7.06677101
0.71794872	-7.19235380
0.72527473	-7.46611029
0.73260073	-7.93600394
0.73992674	-8.57753074
0.74725275	-9.29443038
0.75457876	-9.94272113
0.76190476	-10.44188887
0.76923077	-10.83678826
0.77655678	-11.20346990
0.78388279	-11.58639774
0.79120879	-12.00814551
0.79853480	-12.44061758
0.80586081	-12.79959512
0.81318681	-13.00857527
0.82051282	-13.06744494
0.82783883	-13.04461551
0.83516484	-12.98877628
0.84249084	-12.91545516
0.84981685	-12.87421482
0.85714286	-12.90650555
0.86446887	-13.00108665
0.87179487	-13.17722555
0.87912088	-13.48493547
0.88644689	-13.92732826
0.89377290	-14.48475977
0.90109890	-15.12586500
0.90842491	-15.77677881
0.91575092	-16.37459386
0.92307693	-16.91115549
0.93040293	-17.39158001
0.93772894	-17.79352717
0.94505495	-18.07973058
0.95238095	-18.25315480
0.95970696	-18.37382978
0.96703297	-18.51147134
0.97435898	-18.68543911
0.98168498	-18.82580260
0.98901099	-18.85163990
0.99633700	-18.79945263
1.00366301	-18.78629214
1.01098901	-18.89495917
1.01831502	-19.16200844
1.02564103	-19.63048764
1.03296704	-20.31796722
1.04029304	-21.12833176
1.04761905	-21.93924846
1.05494506	-22.69364017
1.06227106	-23.32357727
1.06959707	-23.87484041
1.07692308	-24.59927734
1.08424909	-25.69724406
1.09157509	-27.16700271
1.09890110	-28.52360555
1.10622711	-28.60507108
1.11355312	-27.39171039
1.12087912	-26.13524326
1.12820513	-25.45544703
1.13553114	-25.47250676
1.14285715	-26.19192501
1.15018315	-27.44265307
1.15750916	-28.77173944
1.16483517	-29.40998051
1.17216117	-29.09605981
1.17948718	-28.54761383
1.18681319	-28.39318579
1.19413920	-28.77642845
1.20146520	-29.69849367
1.20879121	-30.99679346
1.21611722	-32.10440244
1.22344323	-32.44164867
1.23076923	-32.18055806
1.23809524	-31.88915924
1.24542125	-31.82687790
1.25274726	-31.94832009
1.26007326	-32.08231992
1.26739927	-32.07802452
1.27472528	-31.95219711
1.28205128	-31.89480285
1.28937729	-32.04418512
1.29670330	-32.34007807
1.30402931	-32.71123091
1.31135531	-33.16495384
1.31868132	-33.63626800
1.32600733	-34.17062033
1.33333334	-34.96430837
1.34065934	-35.85567856
1.34798535	-36.55582686
1.35531136	-37.21966619
1.36263737	-37.85205776
1.36996337	-38.27272760
1.37728938	-38.73856175
1.38461539	-39.37147970
1.39194140	-40.03856957
1.39926740	-40.91955983
1.40659341	-41.87464624
1.41391942	-42.26638765
1.42124542	-41.82269550
1.42857143	-40.90526381
1.43589744	-40.18884321
1.44322345	-40.10291335
1.45054945	-40.33542438
1.45787546	-40.75069331
1.46520147	-41.54674794
1.47252748	-42.39681190
1.47985348	-43.00961752
1.48717949	-43.74025383
1.49450550	-44.70917078
1.50183151	-45.54673613
1.50915751	-46.27856714
1.51648352	-46.91267578
1.52380953	-46.91219212
1.53113553	-46.80542284
1.53846154	-47.27372946
1.54578755	-47.37436135
1.55311356	-46.90094304
1.56043956	-46.96321083
1.56776557	-47.10440236
1.57509158	-46.94713219
1.58241759	-47.36956123
1.58974359	-48.05479121
1.59706960	-48.36711967
1.60439561	-48.89502210
1.61172162	-49.77992397
1.61904762	-50.34118754
1.62637363	-50.41420760
1.63369964	-51.01897022
1.64102564	-52.41339515
1.64835165	-53.95342025
1.65567766	-57.06537417
1.66300367	-61.67822024
1.67032967	-61.61181312
1.67765568	-57.72253459
1.68498169	-56.57000965
1.69230770	-56.08512148
1.69963370	-55.84994258
1.70695971	-57.19299004
1.71428572	-59.06580757
1.72161173	-60.22090741
1.72893773	-59.17109972
1.73626374	-57.63803763
1.74358975	-57.93022732
1.75091575	-57.94778900
1.75824176	-58.01640324
1.76556777	-60.21995057
1.77289378	-61.42381094
1.78021978	-61.62791732
1.78754579	-63.29170305
1.79487180	-62.68435693
1.80219781	-61.98548251
1.80952381	-63.21440209
1.81684982	-62.34277364
1.82417583	-61.33642522
1.83150184	-63.22179060
1.83882784	-63.59573407
1.84615385	-62.23275442
1.85347986	-63.43697568
1.86080586	-65.12688838
1.86813187	-66.08863276
1.87545788	-65.66609010
1.88278389	-64.23365041
1.89010989	-64.79264402
1.89743590	-66.38170818
1.90476191	-64.90046385
1.91208792	-65.21839327
1.91941392	-68.24923516
1.92673993	-69.14616052
1.93406594	-68.71995382
1.94139195	-68.63833351
1.94871795	-67.55187643
1.95604396	-67.77543010
1.96336997	-71.42267133
1.97069598	-73.16508295
1.97802198	-70.58449560
1.98534799	-69.86369748
1.99267400	-68.69425571
2.00000000	-67.56422475
2.00732601	-67.78991587
2.01465202	-68.31170277
2.02197803	-70.20494576
2.02930403	-74.50507307
2.03663004	-75.22565548
2.04395605	-74.61697284
2.05128206	-74.70425390
2.05860806	-75.51253066
2.06593407	-74.13206072
2.07326008	-71.75207158
2.08058609	-74.97649512
2.08791209	-78.14306578
2.09523810	-77.72791503
2.10256411	-83.39664788
2.10989011	-80.67748030
2.11721612	-75.23474994
2.12454213	-77.68676804
2.13186814	-79.70083577
2.13919414	-74.93008096
2.14652015	-79.40960532
2.15384616	-80.95039918
2.16117217	-79.59333132
2.16849817	-82.24436046
2.17582418	-78.57320631
2.18315019	-76.67367005
2.19047620	-82.75234464
2.19780220	-85.02443249
2.20512821	-94.88858990
2.21245422	-92.22649119
2.21978022	-84.08977970
2.22710623	-87.49113158
2.23443224	-88.74730149
2.24175825	-86.08566380
2.24908425	-86.80945643
2.25641026	-79.76378986
2.26373627	-79.98160461
2.27106228	-84.68627997
2.27838828	-84.20981170
2.28571429	-86.53031929
2.29304030	-80.28898682
2.30036631	-86.65175924
2.30769231	-75.07548402
2.31501832	-76.74892372
2.32234433	-79.75416885
2.32967033	-82.41709090
2.33699634	-85.35666699
2.34432235	-79.59196038
2.35164836	-87.96746626
2.35897436	-86.14377928
2.36630037	-80.78792908
2.37362638	-79.64892306
2.38095239	-79.90747791
2.38827839	-82.05000701
2.39560440	-82.16296885
2.40293041	-79.46518995
2.41025642	-79.07211312
2.41758242	-76.03645768
2.42490843	-78.57012307
2.43223444	-83.81490682
2.43956044	-79.84333242
2.44688645	-86.89036897
2.45421246	-87.19729200
2.46153847	-97.38940856
2.46886447	-79.17018702
2.47619048	-79.03060555
2.48351649	-102.21006922
2.49084250	-81.77629748
2.49816850	-84.36725234
2.50549451	-82.37467507
2.51282052	-82.65541944
2.52014653	-91.59548615
2.52747253	-81.88380481
2.53479854	-83.92353042
2.54212455	-87.94905139
2.54945056	-78.59259976
2.55677656	-82.56749210
2.56410257	-89.92715597
2.57142858	-84.61843410
2.57875458	-79.15986834
2.58608059	-80.67372484
2.59340660	-87.45100217
2.60073261	-76.15843662
