# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-12T18:08:40
# Time [ps]	THz Signal [a.u.]
-65.06666584	0.00000000
-65.03333251	0.00000002
-64.99999917	0.00000007
-64.96666584	0.00000017
-64.93333251	0.00000023
-64.89999918	0.00000027
-64.86666584	0.00000040
-64.83333251	0.00000048
-64.79999918	0.00000067
-64.76666584	0.00000061
-64.73333251	0.00000014
-64.69999918	0.00000066
-64.66666584	0.00000007
-64.63333251	0.00000062
-64.59999918	-0.00000043
-64.56666585	0.00000014
-64.53333251	-0.00000090
-64.49999918	-0.00000072
-64.46666585	-0.00000215
-64.43333251	-0.00000279
-64.39999918	-0.00000438
-64.36666585	-0.00000269
-64.33333251	-0.00000394
-64.29999918	-0.00000692
-64.26666585	-0.00000594
-64.23333252	-0.00000609
-64.19999918	-0.00000845
-64.16666585	-0.00000964
-64.13333252	-0.00001480
-64.09999918	-0.00001755
-64.06666585	-0.00001362
-64.03333252	-0.00001645
-63.99999918	-0.00002128
-63.96666585	-0.00002016
-63.93333252	-0.00002356
-63.89999919	-0.00002650
-63.86666585	-0.00003033
-63.83333252	-0.00003609
-63.79999919	-0.00003046
-63.76666585	-0.00004531
-63.73333252	-0.00004747
-63.69999919	-0.00005614
-63.66666585	-0.00005262
-63.63333252	-0.00005353
-63.59999919	-0.00006074
-63.56666586	-0.00006895
-63.53333252	-0.00007414
-63.49999919	-0.00007423
-63.46666586	-0.00007625
-63.43333252	-0.00008218
-63.39999919	-0.00008053
-63.36666586	-0.00008250
-63.33333252	-0.00010274
-63.29999919	-0.00009824
-63.26666586	-0.00010103
-63.23333253	-0.00008964
-63.19999919	-0.00010908
-63.16666586	-0.00010063
-63.13333253	-0.00010171
-63.09999919	-0.00009999
-63.06666586	-0.00008587
-63.03333253	-0.00011465
-62.99999919	-0.00009741
-62.96666586	-0.00008332
-62.93333253	-0.00008402
-62.89999920	-0.00006514
-62.86666586	-0.00006341
-62.83333253	-0.00005151
-62.79999920	-0.00005198
-62.76666586	-0.00004967
-62.73333253	-0.00003132
-62.69999920	-0.00000993
-62.66666586	0.00002201
-62.63333253	0.00002722
-62.59999920	0.00005152
-62.56666587	0.00008317
-62.53333253	0.00008849
-62.49999920	0.00011906
-62.46666587	0.00012044
-62.43333253	0.00015238
-62.39999920	0.00017804
-62.36666587	0.00017441
-62.33333253	0.00020310
-62.29999920	0.00023308
-62.26666587	0.00025575
-62.23333254	0.00027824
-62.19999920	0.00030877
-62.16666587	0.00034835
-62.13333254	0.00035327
-62.09999920	0.00038681
-62.06666587	0.00043079
-62.03333254	0.00043665
-61.99999921	0.00049683
-61.96666587	0.00052989
-61.93333254	0.00058232
-61.89999921	0.00061846
-61.86666587	0.00062043
-61.83333254	0.00068670
-61.79999921	0.00072336
-61.76666587	0.00074256
-61.73333254	0.00079406
-61.69999921	0.00081865
-61.66666588	0.00084435
-61.63333254	0.00091051
-61.59999921	0.00091247
-61.56666588	0.00098564
-61.53333254	0.00102968
-61.49999921	0.00103425
-61.46666588	0.00110745
-61.43333254	0.00112913
-61.39999921	0.00120202
-61.36666588	0.00122668
-61.33333255	0.00127071
-61.29999921	0.00133224
-61.26666588	0.00135056
-61.23333255	0.00141774
-61.19999921	0.00144236
-61.16666588	0.00146673
-61.13333255	0.00148553
-61.09999921	0.00147417
-61.06666588	0.00155169
-61.03333255	0.00158519
-60.99999922	0.00160385
-60.96666588	0.00151007
-60.93333255	0.00160232
-60.89999922	0.00164751
-60.86666588	0.00162433
-60.83333255	0.00161377
-60.79999922	0.00165051
-60.76666588	0.00166212
-60.73333255	0.00162294
-60.69999922	0.00162137
-60.66666589	0.00163852
-60.63333255	0.00157385
-60.59999922	0.00157893
-60.56666589	0.00154178
-60.53333255	0.00154332
-60.49999922	0.00146214
-60.46666589	0.00149112
-60.43333255	0.00130615
-60.39999922	0.00125104
-60.36666589	0.00120622
-60.33333256	0.00111071
-60.29999922	0.00104451
-60.26666589	0.00094749
-60.23333256	0.00081382
-60.19999922	0.00072367
-60.16666589	0.00063880
-60.13333256	0.00050095
-60.09999922	0.00047383
-60.06666589	0.00037904
-60.03333256	0.00024317
-59.99999923	0.00013268
-59.96666589	0.00002671
-59.93333256	-0.00000855
-59.89999923	-0.00021045
-59.86666589	-0.00028505
-59.83333256	-0.00038305
-59.79999923	-0.00059338
-59.76666589	-0.00054024
-59.73333256	-0.00072397
-59.69999923	-0.00086500
-59.66666590	-0.00100279
-59.63333256	-0.00109237
-59.59999923	-0.00112411
-59.56666590	-0.00108169
-59.53333256	-0.00125955
-59.49999923	-0.00130538
-59.46666590	-0.00136102
-59.43333256	-0.00134894
-59.39999923	-0.00148880
-59.36666590	-0.00147985
-59.33333257	-0.00148379
-59.29999923	-0.00145527
-59.26666590	-0.00142112
-59.23333257	-0.00146479
-59.19999923	-0.00145586
-59.16666590	-0.00140661
-59.13333257	-0.00141201
-59.09999924	-0.00138809
-59.06666590	-0.00130023
-59.03333257	-0.00120414
-58.99999924	-0.00126289
-58.96666590	-0.00119738
-58.93333257	-0.00122130
-58.89999924	-0.00109674
-58.86666590	-0.00110510
-58.83333257	-0.00093156
-58.79999924	-0.00096749
-58.76666591	-0.00087882
-58.73333257	-0.00085957
-58.69999924	-0.00079202
-58.66666591	-0.00070579
-58.63333257	-0.00067778
-58.59999924	-0.00064952
-58.56666591	-0.00056625
-58.53333257	-0.00054996
-58.49999924	-0.00048424
-58.46666591	-0.00042774
-58.43333258	-0.00040512
-58.39999924	-0.00039037
-58.36666591	-0.00037615
-58.33333258	-0.00033218
-58.29999924	-0.00028519
-58.26666591	-0.00024312
-58.23333258	-0.00025127
-58.19999924	-0.00028124
-58.16666591	-0.00032793
-58.13333258	-0.00021278
-58.09999925	-0.00023719
-58.06666591	-0.00038112
-58.03333258	-0.00031011
-57.99999925	-0.00035298
-57.96666591	-0.00038416
-57.93333258	-0.00038622
-57.89999925	-0.00024337
-57.86666591	-0.00033661
-57.83333258	-0.00034277
-57.79999925	-0.00038068
-57.76666592	-0.00031052
-57.73333258	-0.00035787
-57.69999925	-0.00035434
-57.66666592	-0.00028582
-57.63333258	-0.00039840
-57.59999925	-0.00032642
-57.56666592	-0.00029234
-57.53333258	-0.00026980
-57.49999925	-0.00020153
-57.46666592	-0.00023584
-57.43333259	-0.00009508
-57.39999925	-0.00021925
-57.36666592	-0.00010075
-57.33333259	0.00002388
-57.29999925	-0.00000729
-57.26666592	0.00010268
-57.23333259	0.00010161
-57.19999925	0.00015146
-57.16666592	0.00019750
-57.13333259	0.00044893
-57.09999926	0.00039158
-57.06666592	0.00044779
-57.03333259	0.00040437
-56.99999926	0.00052471
-56.96666592	0.00062340
-56.93333259	0.00060106
-56.89999926	0.00064559
-56.86666592	0.00073133
-56.83333259	0.00091116
-56.79999926	0.00088701
-56.76666593	0.00083772
-56.73333259	0.00089156
-56.69999926	0.00103309
-56.66666593	0.00099246
-56.63333259	0.00093581
-56.59999926	0.00110077
-56.56666593	0.00111584
-56.53333259	0.00111485
-56.49999926	0.00119566
-56.46666593	0.00113084
-56.43333260	0.00120082
-56.39999926	0.00123627
-56.36666593	0.00128532
-56.33333260	0.00128107
-56.29999926	0.00127765
-56.26666593	0.00126415
-56.23333260	0.00125141
-56.19999927	0.00126260
-56.16666593	0.00130554
-56.13333260	0.00126405
-56.09999927	0.00120569
-56.06666593	0.00123071
-56.03333260	0.00120090
-55.99999927	0.00107563
-55.96666593	0.00120251
-55.93333260	0.00116246
-55.89999927	0.00105750
-55.86666594	0.00122776
-55.83333260	0.00115861
-55.79999927	0.00110867
-55.76666594	0.00122728
-55.73333260	0.00114221
-55.69999927	0.00114403
-55.66666594	0.00101792
-55.63333260	0.00108628
-55.59999927	0.00100054
-55.56666594	0.00107891
-55.53333261	0.00103660
-55.49999927	0.00098119
-55.46666594	0.00097571
-55.43333261	0.00096891
-55.39999927	0.00095681
-55.36666594	0.00095002
-55.33333261	0.00092145
-55.29999927	0.00089979
-55.26666594	0.00081831
-55.23333261	0.00078637
-55.19999928	0.00080191
-55.16666594	0.00087948
-55.13333261	0.00074897
-55.09999928	0.00091858
-55.06666594	0.00090171
-55.03333261	0.00077640
-54.99999928	0.00074359
-54.96666594	0.00071315
-54.93333261	0.00076966
-54.89999928	0.00076138
-54.86666595	0.00073775
-54.83333261	0.00070606
-54.79999928	0.00064652
-54.76666595	0.00063530
-54.73333261	0.00062696
-54.69999928	0.00061752
-54.66666595	0.00059781
-54.63333261	0.00069692
-54.59999928	0.00068182
-54.56666595	0.00052639
-54.53333262	0.00062450
-54.49999928	0.00068479
-54.46666595	0.00066536
-54.43333262	0.00064643
-54.39999928	0.00063916
-54.36666595	0.00065399
-54.33333262	0.00073256
-54.29999928	0.00065900
-54.26666595	0.00065407
-54.23333262	0.00069533
-54.19999929	0.00054289
-54.16666595	0.00070303
-54.13333262	0.00070932
-54.09999929	0.00060152
-54.06666595	0.00060984
-54.03333262	0.00054273
-53.99999929	0.00046907
-53.96666595	0.00058089
-53.93333262	0.00053423
-53.89999929	0.00058441
-53.86666596	0.00058961
-53.83333262	0.00064004
-53.79999929	0.00063842
-53.76666596	0.00048628
-53.73333262	0.00046695
-53.69999929	0.00047768
-53.66666596	0.00049678
-53.63333262	0.00048559
-53.59999929	0.00046858
-53.56666596	0.00044151
-53.53333263	0.00036846
-53.49999929	0.00035622
-53.46666596	0.00030121
-53.43333263	0.00032072
-53.39999929	0.00022020
-53.36666596	0.00012636
-53.33333263	0.00018256
-53.29999930	0.00010345
-53.26666596	0.00006514
-53.23333263	0.00013422
-53.19999930	0.00007894
-53.16666596	0.00008669
-53.13333263	0.00006903
-53.09999930	-0.00000554
-53.06666596	0.00000248
-53.03333263	0.00001092
-52.99999930	-0.00005681
-52.96666597	0.00001839
-52.93333263	0.00003835
-52.89999930	0.00003169
-52.86666597	0.00002299
-52.83333263	0.00002490
-52.79999930	0.00003701
-52.76666597	-0.00001921
-52.73333263	0.00006895
-52.69999930	0.00008920
-52.66666597	0.00007056
-52.63333264	0.00004679
-52.59999930	-0.00000312
-52.56666597	0.00006935
-52.53333264	-0.00001224
-52.49999930	-0.00002300
-52.46666597	-0.00008579
-52.43333264	-0.00002447
-52.39999930	-0.00005562
-52.36666597	-0.00008968
-52.33333264	-0.00016469
-52.29999931	-0.00022696
