# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-12T19:22:41
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-8.01443027
0.00732601	-12.39130669
0.01465201	-4.70051601
0.02197802	-3.13012386
0.02930403	-10.66092934
0.03663004	-10.86819411
0.04395604	-7.05361469
0.05128205	-9.70908942
0.05860806	-15.97144436
0.06593407	-22.78985749
0.07326007	-31.78040957
0.08058608	-13.29581624
0.08791209	-8.44612350
0.09523810	-9.24957202
0.10256410	-7.80054018
0.10989011	-6.50354031
0.11721612	-7.60292884
0.12454213	-6.27931669
0.13186813	-4.46408558
0.13919414	-2.63125715
0.14652015	-2.88375095
0.15384616	-2.29672090
0.16117216	0.00000000
0.16849817	-2.04359093
0.17582418	-2.84408019
0.18315018	-0.69816448
0.19047619	-2.41983478
0.19780220	-4.34279157
0.20512821	-2.61779270
0.21245421	-1.47110072
0.21978022	-3.55083825
0.22710623	-6.50499872
0.23443224	-1.91955969
0.24175824	-2.29300331
0.24908425	-7.99520009
0.25641026	-4.69730487
0.26373627	-2.98602885
0.27106227	-5.75505851
0.27838828	-9.94049615
0.28571429	-7.54331259
0.29304030	-7.24555978
0.30036630	-12.63118170
0.30769231	-13.04496591
0.31501832	-10.22777992
0.32234433	-12.66142237
0.32967033	-18.76113832
0.33699634	-26.41460455
0.34432235	-21.50815145
0.35164836	-18.33484262
0.35897436	-18.65036973
0.36630037	-24.94330337
0.37362638	-23.46063198
0.38095238	-17.41783086
0.38827839	-14.82905673
0.39560440	-17.23164906
0.40293041	-20.02108503
0.41025641	-13.86184352
0.41758242	-14.64515782
0.42490843	-19.96261478
0.43223444	-17.01118037
0.43956044	-15.79667930
0.44688645	-16.14059703
0.45421246	-17.53336251
0.46153847	-17.50177332
0.46886447	-14.21596110
0.47619048	-14.32393397
0.48351649	-16.04200913
0.49084250	-15.21341809
0.49816850	-14.90258662
0.50549451	-13.78604953
0.51282052	-14.22908441
0.52014653	-17.57610029
0.52747253	-16.07718178
0.53479854	-14.74228779
0.54212455	-16.58428774
0.54945055	-17.39875040
0.55677656	-14.80962755
0.56410257	-13.51415178
0.57142858	-15.55320613
0.57875458	-16.17909583
0.58608059	-12.49591033
0.59340660	-13.02487998
0.60073261	-16.07827858
0.60805861	-14.12830652
0.61538462	-12.84755714
0.62271063	-14.28601983
0.63003664	-17.58601803
0.63736264	-17.70351335
0.64468865	-16.40918122
0.65201466	-18.24796639
0.65934067	-22.02640129
0.66666667	-19.54131711
0.67399268	-17.32053694
0.68131869	-18.08813101
0.68864470	-21.18440286
0.69597070	-20.44712688
0.70329671	-18.41299096
0.71062272	-20.08096098
0.71794873	-24.30160198
0.72527473	-22.27329642
0.73260074	-21.21038779
0.73992675	-23.97855419
0.74725275	-26.83754560
0.75457876	-24.72353290
0.76190477	-24.26269362
0.76923078	-26.25599652
0.77655678	-28.31475036
0.78388279	-26.84963760
0.79120880	-25.52960844
0.79853481	-26.00093826
0.80586081	-26.76986566
0.81318682	-25.64673456
0.82051283	-24.94944491
0.82783884	-26.36903444
0.83516484	-28.11336827
0.84249085	-27.29771639
0.84981686	-27.63471699
0.85714287	-31.81380030
0.86446887	-34.69834332
0.87179488	-29.78837162
0.87912089	-28.55068645
0.88644690	-30.40180809
0.89377290	-33.04639605
0.90109891	-30.91656335
0.90842492	-28.85008923
0.91575092	-29.73952136
0.92307693	-33.55295579
0.93040294	-33.53306467
0.93772895	-31.84910613
0.94505495	-33.36023955
0.95238096	-36.10317496
0.95970697	-35.00389576
0.96703298	-33.98671719
0.97435898	-36.23733315
0.98168499	-39.55147103
0.98901100	-38.56607079
0.99633701	-40.50371795
1.00366301	-45.05234445
1.01098902	-41.97381477
1.01831503	-41.25913304
1.02564104	-44.43882242
1.03296704	-46.19910877
1.04029305	-44.71298767
1.04761906	-44.21285886
1.05494507	-44.57882701
1.06227107	-46.68321946
1.06959708	-43.72303301
1.07692309	-41.76680267
1.08424910	-45.86840302
1.09157510	-59.91167593
1.09890111	-50.37693661
1.10622712	-49.21834050
1.11355312	-58.26673926
1.12087913	-50.27704850
1.12820514	-46.76159579
1.13553115	-51.42688484
1.14285715	-58.64565469
1.15018316	-50.22176608
1.15750917	-50.30261405
1.16483518	-58.28675087
1.17216118	-52.95069485
1.17948719	-60.25680480
1.18681320	-48.40226732
1.19413921	-50.72740832
1.20146521	-55.32528399
1.20879122	-47.30257713
1.21611723	-52.09166020
1.22344324	-55.98953040
1.23076924	-54.44498944
1.23809525	-59.87255598
1.24542126	-58.69361976
1.25274727	-53.48483475
1.26007327	-61.04722220
1.26739928	-70.53345597
1.27472529	-55.29946544
1.28205129	-50.51546164
1.28937730	-56.50191024
1.29670331	-59.00910020
1.30402932	-64.33846571
1.31135532	-60.56771435
1.31868133	-65.67196848
1.32600734	-59.03115862
1.33333335	-66.68364780
1.34065935	-53.75763915
1.34798536	-54.94496369
1.35531137	-63.12827655
1.36263738	-64.10691036
1.36996338	-60.52342627
1.37728939	-92.60937321
1.38461540	-56.72007276
1.39194141	-53.73895736
1.39926741	-54.59406522
1.40659342	-54.63881186
1.41391943	-58.42801573
1.42124544	-79.59813699
1.42857144	-64.26870086
1.43589745	-64.33965562
1.44322346	-67.70447391
1.45054947	-72.56020597
1.45787547	-63.44058391
1.46520148	-58.59184190
1.47252749	-57.85891570
1.47985349	-60.79312912
1.48717950	-87.40770160
1.49450551	-59.36612264
1.50183152	-60.71164035
1.50915752	-59.37728199
1.51648353	-51.24608636
1.52380954	-52.66061603
1.53113555	-58.25590326
1.53846155	-57.55445563
1.54578756	-61.19650080
1.55311357	-63.16917119
1.56043958	-57.28520668
1.56776558	-60.05539305
1.57509159	-60.73071241
1.58241760	-58.00620695
1.58974361	-70.69950432
1.59706961	-57.22311829
1.60439562	-58.54135489
1.61172163	-56.90494788
1.61904764	-57.38553872
1.62637364	-62.77499912
1.63369965	-67.02038280
1.64102566	-63.68983851
1.64835166	-63.23699307
1.65567767	-80.20047704
1.66300368	-58.40301803
1.67032969	-54.24952582
1.67765569	-55.90525201
1.68498170	-60.21456549
1.69230771	-63.79891787
1.69963372	-64.25586511
1.70695972	-57.89165113
1.71428573	-60.02720727
1.72161174	-72.32559852
1.72893775	-70.35438754
1.73626375	-64.02440328
1.74358976	-66.94817102
1.75091577	-59.57083570
1.75824178	-54.79376868
1.76556778	-54.41165581
1.77289379	-55.38352843
1.78021980	-58.33334499
1.78754581	-72.40919152
1.79487181	-62.78452095
1.80219782	-61.14391917
1.80952383	-58.09580417
1.81684984	-62.61819817
1.82417584	-59.96529551
1.83150185	-57.87507740
1.83882786	-60.03104580
1.84615386	-59.15764772
1.85347987	-61.67213267
1.86080588	-57.70784273
1.86813189	-63.93194561
1.87545789	-57.48065430
1.88278390	-60.69929185
1.89010991	-58.66052528
1.89743592	-60.97082521
1.90476192	-68.89888750
1.91208793	-73.06922744
1.91941394	-59.20115252
1.92673995	-61.10420108
1.93406595	-68.46681345
1.94139196	-63.46810679
1.94871797	-68.02771470
1.95604398	-66.45176162
1.96336998	-61.39706062
1.97069599	-62.09688964
1.97802200	-70.95877894
1.98534801	-79.83783667
1.99267401	-71.63324238
2.00000002	-63.02795044
2.00732603	-60.86577493
2.01465203	-63.18911957
2.02197804	-73.20186722
2.02930405	-63.75110440
2.03663006	-66.22348114
2.04395606	-62.34305431
2.05128207	-62.74155128
2.05860808	-69.22585333
2.06593409	-61.03036536
2.07326009	-52.91534845
2.08058610	-53.78215438
2.08791211	-60.26464365
2.09523812	-56.38834674
2.10256412	-59.43418140
2.10989013	-61.39952914
2.11721614	-59.51102163
2.12454215	-79.23976181
2.13186815	-57.38178414
2.13919416	-57.84122634
2.14652017	-58.99751230
2.15384618	-65.90399060
2.16117218	-59.43379086
2.16849819	-56.35008622
2.17582420	-59.98913629
2.18315021	-58.12267633
2.19047621	-69.09144714
2.19780222	-59.36770225
2.20512823	-64.64424060
2.21245423	-58.92003261
2.21978024	-55.11029866
2.22710625	-58.27462861
2.23443226	-61.10931829
2.24175826	-63.55618466
2.24908427	-61.67426032
