# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-13T14:45:02
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-55.12060940
0.00732601	-23.51821430
0.01465201	-18.74990304
0.02197802	-21.55828121
0.02930403	-37.71566887
0.03663004	-26.91172632
0.04395604	-18.32783781
0.05128205	-13.91772597
0.05860806	-14.79856469
0.06593407	-13.43654179
0.07326007	-9.11159236
0.08058608	-11.01469364
0.08791209	-17.64553751
0.09523810	-7.24201699
0.10256410	-6.89404825
0.10989011	-15.60386038
0.11721612	-5.45469195
0.12454213	-2.66696608
0.13186813	-6.15210908
0.13919414	-8.41619878
0.14652015	-4.45382181
0.15384616	-5.60447134
0.16117216	-4.26225668
0.16849817	-0.98081434
0.17582418	-1.80680804
0.18315018	-5.78573801
0.19047619	-3.50443746
0.19780220	-1.16798416
0.20512821	-1.57746418
0.21245421	-1.96074031
0.21978022	-1.11503671
0.22710623	-1.35051858
0.23443224	-2.30450681
0.24175824	-1.20437719
0.24908425	0.00000000
0.25641026	-0.62641905
0.26373627	-1.87625240
0.27106227	-1.65241684
0.27838828	-1.34325599
0.28571429	-1.47574673
0.29304030	-0.98774302
0.30036630	-0.69665906
0.30769231	-1.70904284
0.31501832	-2.65290875
0.32234433	-1.65305600
0.32967033	-1.11976208
0.33699634	-1.84797676
0.34432235	-2.30937189
0.35164836	-2.30945396
0.35897436	-2.70728206
0.36630037	-2.69144932
0.37362638	-2.42562224
0.38095238	-2.65090821
0.38827839	-2.97022846
0.39560440	-3.40643350
0.40293041	-3.88164022
0.41025641	-3.81394687
0.41758242	-3.88026413
0.42490843	-4.39313292
0.43223444	-4.88282844
0.43956044	-5.35990531
0.44688645	-5.56261740
0.45421246	-5.49113789
0.46153847	-5.82468482
0.46886447	-6.45892817
0.47619048	-6.86551763
0.48351649	-7.06438947
0.49084250	-7.36852326
0.49816850	-7.75732474
0.50549451	-7.91961923
0.51282052	-8.20536734
0.52014653	-8.88937978
0.52747253	-9.37846693
0.53479854	-9.51120084
0.54212455	-9.79123029
0.54945055	-10.86015038
0.55677656	-12.49625608
0.56410257	-12.15728987
0.57142858	-11.26469360
0.57875458	-11.77537341
0.58608059	-12.17947445
0.59340660	-12.10119574
0.60073261	-12.72291190
0.60805861	-13.10209985
0.61538462	-13.24378614
0.62271063	-13.94672844
0.63003664	-14.23565894
0.63736264	-14.44939513
0.64468865	-15.23273122
0.65201466	-15.69490993
0.65934067	-16.10456915
0.66666667	-16.82612623
0.67399268	-17.33322379
0.68131869	-17.96199844
0.68864470	-18.65405127
0.69597070	-19.21452508
0.70329671	-20.05385256
0.71062272	-20.69384880
0.71794872	-21.19247515
0.72527473	-22.10277038
0.73260074	-22.66291313
0.73992675	-23.25508731
0.74725275	-24.88380964
0.75457876	-26.08228162
0.76190477	-25.97905003
0.76923078	-26.38364150
0.77655678	-27.23359616
