# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-13T14:47:07
# Time [ps]	THz Signal [a.u.]
-65.06666583	0.00000000
-65.03333249	-0.00000000
-64.99999916	0.00000001
-64.96666583	-0.00000001
-64.93333249	-0.00000001
-64.89999916	-0.00000005
-64.86666583	-0.00000011
-64.83333250	0.00000001
-64.79999916	-0.00000010
-64.76666583	-0.00000012
-64.73333250	0.00000002
-64.69999916	-0.00000027
-64.66666583	-0.00000054
-64.63333250	-0.00000069
-64.59999916	-0.00000107
-64.56666583	0.00000021
-64.53333250	0.00000045
-64.49999917	-0.00000022
-64.46666583	0.00000002
-64.43333250	-0.00000333
-64.39999917	-0.00000096
-64.36666583	0.00000127
-64.33333250	0.00000136
-64.29999917	0.00000134
-64.26666583	-0.00000031
-64.23333250	0.00000132
-64.19999917	0.00000265
-64.16666584	0.00000225
-64.13333250	0.00000486
-64.09999917	0.00000561
-64.06666584	0.00000092
-64.03333250	0.00000101
-63.99999917	0.00000265
-63.96666584	0.00000644
-63.93333251	0.00000352
-63.89999917	0.00000707
-63.86666584	-0.00000089
-63.83333251	0.00001179
-63.79999917	0.00000706
-63.76666584	0.00000710
-63.73333251	0.00000956
-63.69999917	0.00001376
-63.66666584	0.00001137
-63.63333251	0.00000837
-63.59999918	0.00001845
-63.56666584	0.00001691
-63.53333251	0.00002970
-63.49999918	0.00003155
-63.46666584	0.00002272
-63.43333251	0.00000872
-63.39999918	0.00002461
-63.36666584	0.00003305
-63.33333251	0.00003496
-63.29999918	0.00002238
-63.26666585	0.00001911
-63.23333251	0.00003061
-63.19999918	0.00004290
-63.16666585	0.00003963
-63.13333251	0.00004486
-63.09999918	0.00003493
-63.06666585	0.00004067
-63.03333251	0.00005810
-62.99999918	0.00005251
-62.96666585	0.00006187
-62.93333252	0.00007943
-62.89999918	0.00006812
-62.86666585	0.00006131
-62.83333252	0.00007130
-62.79999918	0.00007235
-62.76666585	0.00007211
-62.73333252	0.00009861
-62.69999918	0.00007398
-62.66666585	0.00006498
-62.63333252	0.00008390
-62.59999919	0.00009421
-62.56666585	0.00010432
-62.53333252	0.00008608
-62.49999919	0.00010214
-62.46666585	0.00011602
-62.43333252	0.00011265
-62.39999919	0.00013944
-62.36666585	0.00013326
-62.33333252	0.00008547
-62.29999919	0.00009175
-62.26666586	0.00011259
-62.23333252	0.00013982
-62.19999919	0.00013247
-62.16666586	0.00012117
-62.13333252	0.00016409
-62.09999919	0.00015056
-62.06666586	0.00014821
-62.03333253	0.00018432
-61.99999919	0.00018767
-61.96666586	0.00018469
-61.93333253	0.00018715
-61.89999919	0.00022746
-61.86666586	0.00023538
-61.83333253	0.00024268
-61.79999919	0.00022366
-61.76666586	0.00025047
-61.73333253	0.00027001
-61.69999920	0.00029009
-61.66666586	0.00028854
-61.63333253	0.00030166
-61.59999920	0.00029784
-61.56666586	0.00032603
-61.53333253	0.00037367
-61.49999920	0.00041600
-61.46666586	0.00042842
-61.43333253	0.00047255
-61.39999920	0.00044427
-61.36666587	0.00052861
-61.33333253	0.00059125
-61.29999920	0.00061094
-61.26666587	0.00061470
-61.23333253	0.00062733
-61.19999920	0.00070712
-61.16666587	0.00071952
-61.13333253	0.00075540
-61.09999920	0.00085918
-61.06666587	0.00084949
-61.03333254	0.00087450
-60.99999920	0.00091036
-60.96666587	0.00097514
-60.93333254	0.00102168
-60.89999920	0.00101561
-60.86666587	0.00098184
-60.83333254	0.00100705
-60.79999920	0.00113650
-60.76666587	0.00112150
-60.73333254	0.00111771
-60.69999921	0.00114051
-60.66666587	0.00115207
-60.63333254	0.00116518
-60.59999921	0.00118502
-60.56666587	0.00118766
-60.53333254	0.00116815
-60.49999921	0.00117490
-60.46666587	0.00122517
-60.43333254	0.00117690
-60.39999921	0.00124567
-60.36666588	0.00109370
-60.33333254	0.00113605
-60.29999921	0.00109873
-60.26666588	0.00110365
-60.23333254	0.00109173
-60.19999921	0.00100060
-60.16666588	0.00103556
-60.13333254	0.00092366
-60.09999921	0.00085452
-60.06666588	0.00086238
-60.03333255	0.00080727
-59.99999921	0.00067519
-59.96666588	0.00054135
-59.93333255	0.00047620
-59.89999921	0.00045531
-59.86666588	0.00044136
-59.83333255	0.00025699
-59.79999922	0.00031491
-59.76666588	0.00018172
-59.73333255	0.00008039
-59.69999922	0.00002082
-59.66666588	-0.00002180
-59.63333255	-0.00011190
-59.59999922	-0.00015092
-59.56666588	-0.00023988
-59.53333255	-0.00028865
-59.49999922	-0.00031905
-59.46666589	-0.00046922
-59.43333255	-0.00048239
-59.39999922	-0.00057305
-59.36666589	-0.00057205
-59.33333255	-0.00062703
-59.29999922	-0.00070756
-59.26666589	-0.00070369
-59.23333255	-0.00078530
-59.19999922	-0.00077677
-59.16666589	-0.00089673
-59.13333256	-0.00093093
-59.09999922	-0.00094192
-59.06666589	-0.00090755
-59.03333256	-0.00094427
-58.99999922	-0.00084708
-58.96666589	-0.00086008
-58.93333256	-0.00088974
-58.89999922	-0.00079538
-58.86666589	-0.00075563
-58.83333256	-0.00072546
-58.79999923	-0.00075789
-58.76666589	-0.00062787
-58.73333256	-0.00056216
-58.69999923	-0.00071440
-58.66666589	-0.00058202
-58.63333256	-0.00053636
-58.59999923	-0.00050526
-58.56666589	-0.00042197
-58.53333256	-0.00042229
-58.49999923	-0.00029160
-58.46666590	-0.00026178
-58.43333256	-0.00019081
-58.39999923	-0.00014263
-58.36666590	-0.00004969
-58.33333256	-0.00009298
-58.29999923	-0.00002741
-58.26666590	-0.00004591
-58.23333256	0.00000705
-58.19999923	0.00014307
-58.16666590	0.00027559
-58.13333257	0.00033863
-58.09999923	0.00031788
-58.06666590	0.00032743
-58.03333257	0.00035718
-57.99999923	0.00049885
-57.96666590	0.00049147
-57.93333257	0.00047306
-57.89999924	0.00037806
-57.86666590	0.00049577
-57.83333257	0.00063598
-57.79999924	0.00062240
-57.76666590	0.00065676
-57.73333257	0.00064108
-57.69999924	0.00072489
-57.66666590	0.00076142
-57.63333257	0.00075780
-57.59999924	0.00062449
-57.56666591	0.00071650
-57.53333257	0.00072184
-57.49999924	0.00077844
-57.46666591	0.00078521
-57.43333257	0.00080925
-57.39999924	0.00080966
-57.36666591	0.00079877
-57.33333257	0.00076692
-57.29999924	0.00079672
-57.26666591	0.00086296
-57.23333258	0.00089899
-57.19999924	0.00086004
-57.16666591	0.00079115
-57.13333258	0.00092185
-57.09999924	0.00089758
-57.06666591	0.00078613
-57.03333258	0.00083492
-56.99999924	0.00091006
-56.96666591	0.00082543
-56.93333258	0.00074641
-56.89999925	0.00075287
-56.86666591	0.00080329
-56.83333258	0.00072053
-56.79999925	0.00083068
-56.76666591	0.00085140
-56.73333258	0.00072752
-56.69999925	0.00067377
-56.66666591	0.00063497
-56.63333258	0.00071522
-56.59999925	0.00069494
-56.56666592	0.00070203
-56.53333258	0.00068497
-56.49999925	0.00065947
-56.46666592	0.00058894
-56.43333258	0.00046389
-56.39999925	0.00059528
-56.36666592	0.00044229
-56.33333258	0.00046309
-56.29999925	0.00052680
-56.26666592	0.00063478
-56.23333259	0.00054477
-56.19999925	0.00049776
-56.16666592	0.00049680
-56.13333259	0.00045096
-56.09999925	0.00045893
-56.06666592	0.00044417
-56.03333259	0.00036381
-55.99999925	0.00028890
-55.96666592	0.00036127
-55.93333259	0.00037391
-55.89999926	0.00052155
-55.86666592	0.00031800
-55.83333259	0.00035207
-55.79999926	0.00042420
-55.76666592	0.00031463
-55.73333259	0.00039334
-55.69999926	0.00057923
-55.66666593	0.00043189
-55.63333259	0.00046348
-55.59999926	0.00052153
-55.56666593	0.00063907
-55.53333259	0.00062862
-55.49999926	0.00052912
-55.46666593	0.00050381
-55.43333259	0.00060104
-55.39999926	0.00052585
-55.36666593	0.00053373
-55.33333260	0.00055428
-55.29999926	0.00053850
-55.26666593	0.00058080
-55.23333260	0.00046336
-55.19999926	0.00055155
-55.16666593	0.00047899
-55.13333260	0.00045284
-55.09999926	0.00043124
-55.06666593	0.00049995
-55.03333260	0.00052346
-54.99999927	0.00047317
-54.96666593	0.00046156
-54.93333260	0.00040332
-54.89999927	0.00035526
-54.86666593	0.00037366
-54.83333260	0.00039260
-54.79999927	0.00037908
-54.76666593	0.00044202
-54.73333260	0.00027033
-54.69999927	0.00029823
-54.66666594	0.00041490
-54.63333260	0.00037430
-54.59999927	0.00033084
-54.56666594	0.00037213
-54.53333260	0.00031892
-54.49999927	0.00022487
-54.46666594	0.00033899
-54.43333260	0.00031473
-54.39999927	0.00023126
-54.36666594	0.00034407
-54.33333261	0.00036246
-54.29999927	0.00041593
-54.26666594	0.00030218
-54.23333261	0.00032132
-54.19999927	0.00030869
-54.16666594	0.00024545
-54.13333261	0.00033676
-54.09999927	0.00030553
-54.06666594	0.00015067
-54.03333261	0.00018762
-53.99999928	0.00029302
-53.96666594	0.00021402
-53.93333261	0.00034262
-53.89999928	0.00024075
-53.86666594	0.00019830
-53.83333261	0.00021941
-53.79999928	0.00026863
-53.76666595	0.00029848
-53.73333261	0.00027464
-53.69999928	0.00025754
-53.66666595	0.00020711
-53.63333261	0.00018557
-53.59999928	0.00026724
-53.56666595	0.00033145
-53.53333261	0.00039721
-53.49999928	0.00028356
-53.46666595	0.00013510
-53.43333262	0.00024284
-53.39999928	0.00025020
-53.36666595	0.00024759
-53.33333262	0.00026830
-53.29999928	0.00024582
-53.26666595	0.00022152
-53.23333262	0.00025396
-53.19999928	0.00035295
-53.16666595	0.00028814
-53.13333262	0.00034689
-53.09999929	0.00026591
-53.06666595	0.00025791
-53.03333262	0.00016894
-52.99999929	0.00021979
-52.96666595	0.00025008
-52.93333262	0.00023982
-52.89999929	0.00023462
-52.86666595	0.00025994
-52.83333262	0.00034096
-52.79999929	0.00038939
-52.76666596	0.00028575
-52.73333262	0.00039580
-52.69999929	0.00035770
-52.66666596	0.00032461
-52.63333262	0.00036486
-52.59999929	0.00036063
-52.56666596	0.00037767
-52.53333262	0.00045966
-52.49999929	0.00035642
-52.46666596	0.00030359
-52.43333263	0.00029950
-52.39999929	0.00041238
-52.36666596	0.00044144
-52.33333263	0.00051218
-52.29999929	0.00051112
-52.26666596	0.00041522
-52.23333263	0.00046571
-52.19999929	0.00035767
-52.16666596	0.00030186
-52.13333263	0.00035456
-52.09999930	0.00022909
-52.06666596	0.00027105
-52.03333263	0.00026718
-51.99999930	0.00026001
-51.96666596	0.00035034
-51.93333263	0.00018160
-51.89999930	0.00012388
-51.86666596	0.00016297
-51.83333263	0.00014600
-51.79999930	0.00005073
-51.76666597	0.00017769
-51.73333263	0.00023123
-51.69999930	0.00011712
-51.66666597	0.00013977
-51.63333263	-0.00005249
-51.59999930	0.00016240
-51.56666597	0.00016339
-51.53333264	0.00020456
-51.49999930	0.00012668
-51.46666597	0.00024160
-51.43333264	0.00025123
-51.39999930	0.00022572
-51.36666597	0.00014276
-51.33333264	0.00021581
-51.29999930	0.00018435
-51.26666597	0.00024895
-51.23333264	0.00022611
-51.19999931	0.00022450
-51.16666597	0.00027109
-51.13333264	0.00027502
-51.09999931	0.00033829
-51.06666597	0.00029481
-51.03333264	0.00025293
-50.99999931	0.00029855
-50.96666597	0.00030626
-50.93333264	0.00029521
-50.89999931	0.00030945
-50.86666598	0.00037035
-50.83333264	0.00040719
-50.79999931	0.00041013
-50.76666598	0.00036010
-50.73333264	0.00045054
-50.69999931	0.00044291
-50.66666598	0.00049730
-50.63333264	0.00045233
-50.59999931	0.00050398
-50.56666598	0.00053790
-50.53333265	0.00051855
-50.49999931	0.00056437
-50.46666598	0.00053641
-50.43333265	0.00058048
-50.39999931	0.00058344
-50.36666598	0.00063933
-50.33333265	0.00068304
-50.29999931	0.00073289
-50.26666598	0.00076915
-50.23333265	0.00082477
-50.19999932	0.00079154
-50.16666598	0.00081787
-50.13333265	0.00077926
-50.09999932	0.00077060
-50.06666598	0.00085236
-50.03333265	0.00077713
-49.99999932	0.00075189
-49.96666598	0.00084931
-49.93333265	0.00085813
-49.89999932	0.00086466
-49.86666599	0.00097501
-49.83333265	0.00099082
-49.79999932	0.00087874
-49.76666599	0.00083974
-49.73333265	0.00102621
-49.69999932	0.00102865
-49.66666599	0.00098669
-49.63333266	0.00100849
-49.59999932	0.00099573
-49.56666599	0.00099781
-49.53333266	0.00109109
-49.49999932	0.00108007
-49.46666599	0.00103014
-49.43333266	0.00105014
-49.39999932	0.00101977
-49.36666599	0.00106876
-49.33333266	0.00112114
-49.29999933	0.00124542
-49.26666599	0.00110035
-49.23333266	0.00130689
-49.19999933	0.00133948
-49.16666599	0.00143455
-49.13333266	0.00141563
-49.09999933	0.00143212
-49.06666599	0.00146020
-49.03333266	0.00155670
-48.99999933	0.00169512
-48.96666600	0.00172377
-48.93333266	0.00172957
-48.89999933	0.00182692
-48.86666600	0.00194435
-48.83333266	0.00200624
-48.79999933	0.00201626
-48.76666600	0.00216504
-48.73333266	0.00216218
-48.69999933	0.00222985
-48.66666600	0.00221894
-48.63333267	0.00216418
-48.59999933	0.00224614
-48.56666600	0.00233322
-48.53333267	0.00220463
-48.49999933	0.00221063
-48.46666600	0.00222347
-48.43333267	0.00209656
-48.39999933	0.00210945
-48.36666600	0.00199651
-48.33333267	0.00183874
-48.29999934	0.00176414
-48.26666600	0.00158477
-48.23333267	0.00143701
-48.19999934	0.00130553
-48.16666600	0.00103653
-48.13333267	0.00101005
-48.09999934	0.00071164
-48.06666600	0.00054649
-48.03333267	0.00024514
-47.99999934	0.00009833
-47.96666601	-0.00018382
-47.93333267	-0.00061880
-47.89999934	-0.00080942
-47.86666601	-0.00117953
-47.83333267	-0.00132599
-47.79999934	-0.00164852
-47.76666601	-0.00187935
-47.73333267	-0.00218732
-47.69999934	-0.00245860
-47.66666601	-0.00273989
-47.63333268	-0.00295039
-47.59999934	-0.00316640
-47.56666601	-0.00349252
-47.53333268	-0.00362416
-47.49999934	-0.00372220
-47.46666601	-0.00392018
-47.43333268	-0.00401393
-47.39999935	-0.00412600
-47.36666601	-0.00414619
-47.33333268	-0.00418072
-47.29999935	-0.00423472
-47.26666601	-0.00401192
-47.23333268	-0.00395463
-47.19999935	-0.00391120
-47.16666601	-0.00379731
-47.13333268	-0.00358361
-47.09999935	-0.00336584
-47.06666602	-0.00323046
-47.03333268	-0.00305138
-46.99999935	-0.00278322
-46.96666602	-0.00255983
-46.93333268	-0.00218462
-46.89999935	-0.00187392
-46.86666602	-0.00158773
-46.83333268	-0.00132783
-46.79999935	-0.00097533
-46.76666602	-0.00069407
-46.73333269	-0.00027126
-46.69999935	-0.00000770
-46.66666602	0.00039452
-46.63333269	0.00071160
-46.59999935	0.00100448
-46.56666602	0.00131595
-46.53333269	0.00163089
-46.49999935	0.00183435
-46.46666602	0.00219852
-46.43333269	0.00242284
-46.39999936	0.00270175
-46.36666602	0.00291991
-46.33333269	0.00315208
-46.29999936	0.00349515
-46.26666602	0.00370040
-46.23333269	0.00380182
-46.19999936	0.00402085
-46.16666602	0.00428148
-46.13333269	0.00442308
-46.09999936	0.00448456
-46.06666603	0.00468719
-46.03333269	0.00484855
-45.99999936	0.00487378
-45.96666603	0.00494602
-45.93333269	0.00514187
-45.89999936	0.00521241
-45.86666603	0.00521875
-45.83333269	0.00535228
-45.79999936	0.00546674
-45.76666603	0.00539018
-45.73333270	0.00547391
-45.69999936	0.00567348
-45.66666603	0.00558741
-45.63333270	0.00552404
-45.59999936	0.00555002
-45.56666603	0.00551128
-45.53333270	0.00545750
-45.49999937	0.00559012
-45.46666603	0.00564058
-45.43333270	0.00564053
-45.39999937	0.00565869
-45.36666603	0.00561261
-45.33333270	0.00559824
-45.29999937	0.00573287
-45.26666603	0.00558115
-45.23333270	0.00562469
-45.19999937	0.00560107
-45.16666604	0.00557394
-45.13333270	0.00569119
-45.09999937	0.00556552
-45.06666604	0.00550886
-45.03333270	0.00555030
-44.99999937	0.00551451
-44.96666604	0.00548444
-44.93333270	0.00550951
-44.89999937	0.00545573
-44.86666604	0.00557659
-44.83333271	0.00551779
-44.79999937	0.00555266
-44.76666604	0.00557290
-44.73333271	0.00563122
-44.69999937	0.00566890
-44.66666604	0.00573436
-44.63333271	0.00573339
-44.59999937	0.00571632
-44.56666604	0.00575981
-44.53333271	0.00577704
-44.49999938	0.00586981
-44.46666604	0.00595512
-44.43333271	0.00589084
-44.39999938	0.00597794
-44.36666604	0.00603491
-44.33333271	0.00602917
-44.29999938	0.00607711
-44.26666604	0.00608336
-44.23333271	0.00626863
-44.19999938	0.00630236
-44.16666605	0.00627487
-44.13333271	0.00637461
-44.09999938	0.00646243
-44.06666605	0.00659547
-44.03333271	0.00664356
-43.99999938	0.00655882
-43.96666605	0.00667910
-43.93333271	0.00661462
-43.89999938	0.00666706
-43.86666605	0.00676886
-43.83333272	0.00665492
-43.79999938	0.00668131
-43.76666605	0.00663232
-43.73333272	0.00664357
-43.69999938	0.00653458
-43.66666605	0.00649888
-43.63333272	0.00648384
-43.59999938	0.00630043
-43.56666605	0.00624197
-43.53333272	0.00612339
-43.49999939	0.00596821
-43.46666605	0.00590060
-43.43333272	0.00587786
-43.39999939	0.00570007
-43.36666605	0.00550450
-43.33333272	0.00546257
-43.29999939	0.00536081
-43.26666606	0.00517151
-43.23333272	0.00512820
-43.19999939	0.00507917
-43.16666606	0.00490856
-43.13333272	0.00484642
-43.09999939	0.00493141
-43.06666606	0.00487974
-43.03333272	0.00494313
-42.99999939	0.00495007
-42.96666606	0.00503996
-42.93333273	0.00517494
-42.89999939	0.00539483
-42.86666606	0.00560150
-42.83333273	0.00595715
-42.79999939	0.00636168
-42.76666606	0.00669804
-42.73333273	0.00722210
-42.69999939	0.00766112
-42.66666606	0.00828601
-42.63333273	0.00896768
-42.59999940	0.00968329
-42.56666606	0.01047294
-42.53333273	0.01135982
-42.49999940	0.01212580
-42.46666606	0.01324928
-42.43333273	0.01422399
-42.39999940	0.01539409
-42.36666606	0.01661759
-42.33333273	0.01772551
-42.29999940	0.01914652
-42.26666607	0.02048232
-42.23333273	0.02190562
-42.19999940	0.02342106
-42.16666607	0.02503722
-42.13333273	0.02677002
-42.09999940	0.02856184
-42.06666607	0.03036291
-42.03333273	0.03216387
-41.99999940	0.03424244
-41.96666607	0.03628112
-41.93333274	0.03844992
-41.89999940	0.04066345
-41.86666607	0.04305587
-41.83333274	0.04531707
-41.79999940	0.04779015
-41.76666607	0.05034564
-41.73333274	0.05298575
-41.69999940	0.05577316
-41.66666607	0.05860528
-41.63333274	0.06142493
-41.59999941	0.06444448
-41.56666607	0.06761172
-41.53333274	0.07065720
-41.49999941	0.07391146
-41.46666607	0.07720853
-41.43333274	0.08043585
-41.39999941	0.08383755
-41.36666608	0.08694927
-41.33333274	0.09010916
-41.29999941	0.09322905
-41.26666608	0.09619161
-41.23333274	0.09898769
-41.19999941	0.10153902
-41.16666608	0.10373805
-41.13333274	0.10557508
-41.09999941	0.10708284
-41.06666608	0.10809764
-41.03333275	0.10843488
-40.99999941	0.10816191
-40.96666608	0.10722002
-40.93333275	0.10534078
-40.89999941	0.10259110
-40.86666608	0.09882566
-40.83333275	0.09401139
-40.79999941	0.08788574
-40.76666608	0.08046878
-40.73333275	0.07184460
-40.69999942	0.06167991
-40.66666608	0.05019644
-40.63333275	0.03713799
-40.59999942	0.02260568
-40.56666608	0.00656354
-40.53333275	-0.01089234
-40.49999942	-0.02986902
-40.46666608	-0.05031815
-40.43333275	-0.07211929
-40.39999942	-0.09502932
-40.36666609	-0.11900945
-40.33333275	-0.14408274
-40.29999942	-0.16986501
-40.26666609	-0.19617193
-40.23333275	-0.22274707
-40.19999942	-0.24957502
-40.16666609	-0.27625040
-40.13333275	-0.30254917
-40.09999942	-0.32816945
-40.06666609	-0.35285835
-40.03333276	-0.37624389
-39.99999942	-0.39821833
-39.96666609	-0.41849106
-39.93333276	-0.43674973
-39.89999942	-0.45252243
-39.86666609	-0.46599171
-39.83333276	-0.47678907
-39.79999942	-0.48476812
-39.76666609	-0.48962720
-39.73333276	-0.49135728
-39.69999943	-0.48997972
-39.66666609	-0.48536257
-39.63333276	-0.47746750
-39.59999943	-0.46638361
-39.56666609	-0.45213881
-39.53333276	-0.43487198
-39.49999943	-0.41495556
-39.46666609	-0.39216003
-39.43333276	-0.36686815
-39.39999943	-0.33945978
-39.36666610	-0.30995975
-39.33333276	-0.27885165
-39.29999943	-0.24622422
-39.26666610	-0.21261053
-39.23333276	-0.17821600
-39.19999943	-0.14332044
-39.16666610	-0.10812839
-39.13333277	-0.07325005
-39.09999943	-0.03870598
-39.06666610	-0.00507828
-39.03333277	0.02779244
-38.99999943	0.05944279
-38.96666610	0.08956333
-38.93333277	0.11829513
-38.89999943	0.14487724
-38.86666610	0.16981903
-38.83333277	0.19260169
-38.79999944	0.21338017
-38.76666610	0.23195586
-38.73333277	0.24819170
-38.69999944	0.26239435
-38.66666610	0.27427369
-38.63333277	0.28416767
-38.59999944	0.29198136
-38.56666610	0.29778888
-38.53333277	0.30159972
-38.49999944	0.30384787
-38.46666611	0.30428844
-38.43333277	0.30347889
-38.39999944	0.30107325
-38.36666611	0.29754772
-38.33333277	0.29286487
-38.29999944	0.28732011
-38.26666611	0.28096104
-38.23333277	0.27384449
-38.19999944	0.26626691
-38.16666611	0.25820773
-38.13333278	0.24980075
-38.09999944	0.24117329
-38.06666611	0.23241205
-38.03333278	0.22365759
-37.99999944	0.21497058
-37.96666611	0.20628091
-37.93333278	0.19771757
-37.89999944	0.18930616
-37.86666611	0.18094639
-37.83333278	0.17301731
-37.79999945	0.16521305
-37.76666611	0.15758783
-37.73333278	0.15042303
-37.69999945	0.14334410
-37.66666611	0.13647304
-37.63333278	0.12988613
-37.59999945	0.12349074
-37.56666611	0.11738189
-37.53333278	0.11134653
-37.49999945	0.10535249
-37.46666612	0.09974655
-37.43333278	0.09422187
-37.39999945	0.08877755
-37.36666612	0.08351939
-37.33333278	0.07835559
-37.29999945	0.07310590
-37.26666612	0.06814645
-37.23333279	0.06327558
-37.19999945	0.05848074
-37.16666612	0.05370973
-37.13333279	0.04912680
-37.09999945	0.04460745
-37.06666612	0.04028513
-37.03333279	0.03596412
-36.99999945	0.03183481
-36.96666612	0.02778597
-36.93333279	0.02401328
-36.89999946	0.02031667
-36.86666612	0.01678972
-36.83333279	0.01364645
-36.79999946	0.01056532
-36.76666612	0.00766646
-36.73333279	0.00500750
-36.69999946	0.00247787
-36.66666612	0.00020666
-36.63333279	-0.00178833
-36.59999946	-0.00367870
-36.56666613	-0.00524774
-36.53333279	-0.00674920
-36.49999946	-0.00791673
-36.46666613	-0.00898990
-36.43333279	-0.00973083
-36.39999946	-0.01063843
-36.36666613	-0.01120079
-36.33333279	-0.01167405
-36.29999946	-0.01201554
-36.26666613	-0.01230346
-36.23333280	-0.01246047
-36.19999946	-0.01265776
-36.16666613	-0.01285178
-36.13333280	-0.01293257
-36.09999946	-0.01308302
-36.06666613	-0.01322740
-36.03333280	-0.01333407
-35.99999946	-0.01354010
-35.96666613	-0.01377966
-35.93333280	-0.01415614
-35.89999947	-0.01439580
-35.86666613	-0.01499781
-35.83333280	-0.01568247
-35.79999947	-0.01621564
-35.76666613	-0.01687207
-35.73333280	-0.01771678
-35.69999947	-0.01846246
-35.66666613	-0.01941300
-35.63333280	-0.02025727
-35.59999947	-0.02134585
-35.56666614	-0.02209392
-35.53333280	-0.02319565
-35.49999947	-0.02420521
-35.46666614	-0.02518573
-35.43333280	-0.02604565
-35.39999947	-0.02689572
-35.36666614	-0.02775364
-35.33333280	-0.02856688
-35.29999947	-0.02920049
-35.26666614	-0.02984323
-35.23333281	-0.03041569
-35.19999947	-0.03079819
-35.16666614	-0.03099515
-35.13333281	-0.03114412
-35.09999947	-0.03142726
-35.06666614	-0.03139746
-35.03333281	-0.03123830
-34.99999948	-0.03102231
-34.96666614	-0.03062007
-34.93333281	-0.03026256
-34.89999948	-0.02956799
-34.86666614	-0.02900607
-34.83333281	-0.02823996
-34.79999948	-0.02751255
-34.76666614	-0.02662090
-34.73333281	-0.02565496
-34.69999948	-0.02469635
-34.66666615	-0.02365296
-34.63333281	-0.02267401
-34.59999948	-0.02169886
-34.56666615	-0.02073506
-34.53333281	-0.01982162
-34.49999948	-0.01883827
-34.46666615	-0.01775826
-34.43333281	-0.01703311
-34.39999948	-0.01627986
-34.36666615	-0.01567281
-34.33333282	-0.01494374
-34.29999948	-0.01443077
-34.26666615	-0.01391408
-34.23333282	-0.01347237
-34.19999948	-0.01318871
-34.16666615	-0.01278877
-34.13333282	-0.01261117
-34.09999948	-0.01235000
-34.06666615	-0.01229108
-34.03333282	-0.01226901
-33.99999949	-0.01236739
-33.96666615	-0.01236632
-33.93333282	-0.01238677
-33.89999949	-0.01258445
-33.86666615	-0.01269160
-33.83333282	-0.01288123
-33.79999949	-0.01306226
-33.76666615	-0.01331900
-33.73333282	-0.01354827
-33.69999949	-0.01358627
-33.66666616	-0.01372779
-33.63333282	-0.01396408
-33.59999949	-0.01400835
-33.56666616	-0.01397506
-33.53333282	-0.01414262
-33.49999949	-0.01405860
-33.46666616	-0.01405833
-33.43333282	-0.01394585
-33.39999949	-0.01375450
-33.36666616	-0.01359670
-33.33333283	-0.01334111
-33.29999949	-0.01309824
-33.26666616	-0.01274332
-33.23333283	-0.01248070
-33.19999949	-0.01203815
-33.16666616	-0.01169908
-33.13333283	-0.01123139
-33.09999950	-0.01082204
-33.06666616	-0.01042551
