# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-13T14:50:07
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-33.62580344
0.00732601	-21.22700652
0.01465201	-18.00087184
0.02197802	-21.31725844
0.02930403	-33.57932495
0.03663004	-27.62346324
0.04395604	-17.54983419
0.05128205	-12.67416995
0.05860806	-13.92297562
0.06593407	-13.74312124
0.07326007	-9.04861513
0.08058608	-11.02613975
0.08791209	-17.04425281
0.09523810	-7.04424782
0.10256410	-6.83335466
0.10989011	-15.01410413
0.11721612	-5.15530047
0.12454213	-2.56081595
0.13186813	-6.12175212
0.13919414	-8.29773330
0.14652015	-4.29611857
0.15384616	-5.11449992
0.16117216	-3.81241827
0.16849817	-0.95914245
0.17582418	-2.04480937
0.18315019	-6.06755257
0.19047619	-3.38122317
0.19780220	-1.01061111
0.20512821	-1.40539100
0.21245421	-2.06469792
0.21978022	-1.46294158
0.22710623	-1.59084854
0.23443224	-2.26281468
0.24175824	-1.14617993
0.24908425	0.00000000
0.25641026	-0.68182773
0.26373627	-2.10984545
0.27106227	-1.84535877
0.27838828	-1.35634960
0.28571429	-1.44003816
0.29304030	-0.97955045
0.30036630	-0.67888560
0.30769231	-1.66930593
0.31501832	-2.59782466
0.32234433	-1.55610703
0.32967033	-0.96598711
0.33699634	-1.66857585
0.34432235	-2.12723121
0.35164836	-2.04573052
0.35897436	-2.35055513
0.36630037	-2.35544102
0.37362638	-2.16227247
0.38095238	-2.43039316
0.38827839	-2.71652344
0.39560440	-3.04157106
0.40293041	-3.45801468
0.41025641	-3.48387855
0.41758242	-3.68336071
0.42490843	-4.29474612
0.43223444	-4.77394149
0.43956044	-5.15442922
0.44688645	-5.35762985
0.45421246	-5.43178851
0.46153847	-5.93200051
0.46886447	-6.66236274
0.47619048	-7.04414798
0.48351649	-7.18707755
0.49084250	-7.48381486
0.49816850	-7.93665400
0.50549451	-8.21792804
0.51282052	-8.56247644
0.52014653	-9.21478311
0.52747253	-9.66940935
0.53479854	-9.79352132
0.54212455	-10.07238215
0.54945056	-11.16461770
0.55677656	-12.81107637
0.56410257	-12.44999713
0.57142858	-11.54005029
0.57875458	-11.99352378
0.58608059	-12.34857172
0.59340660	-12.25876987
0.60073261	-12.82073028
0.60805861	-13.14226036
0.61538462	-13.25365998
0.62271063	-13.87991639
0.63003664	-14.11727006
0.63736264	-14.32625064
0.64468865	-15.08717922
0.65201466	-15.52847668
0.65934067	-15.92908238
0.66666667	-16.64783952
0.67399268	-17.13951981
0.68131869	-17.72998187
0.68864470	-18.40772025
0.69597070	-18.97902933
0.70329671	-19.83516141
0.71062272	-20.49761740
0.71794873	-20.99250512
0.72527473	-21.92574545
0.73260074	-22.60848156
0.73992675	-23.31207353
0.74725276	-24.95014703
0.75457876	-26.12430881
0.76190477	-26.11525705
0.76923078	-26.56225579
0.77655678	-27.40611892
0.78388279	-28.17874352
0.79120880	-28.99321079
0.79853481	-29.80011861
0.80586081	-30.69566271
0.81318682	-31.58172478
0.82051283	-32.27906424
0.82783884	-32.94003553
0.83516484	-33.52965757
0.84249085	-34.33247112
0.84981686	-35.43486847
0.85714287	-36.18498622
0.86446887	-36.71465077
0.87179488	-37.37631893
0.87912089	-37.96407653
0.88644690	-38.70045869
0.89377290	-39.86366249
0.90109891	-41.24310321
0.90842492	-42.13467061
0.91575093	-42.21204904
0.92307693	-42.41061186
0.93040294	-43.30203194
0.93772895	-44.23087191
0.94505495	-44.43210244
0.95238096	-44.85056249
0.95970697	-46.38978905
0.96703298	-48.26501641
0.97435898	-48.79019944
0.98168499	-48.54342292
0.98901100	-49.19603773
0.99633701	-51.85114128
1.00366301	-54.67936482
1.01098902	-52.68334992
1.01831503	-51.93504252
1.02564104	-54.16836090
1.03296704	-57.02397790
1.04029305	-57.56891988
1.04761906	-58.63727499
1.05494507	-58.75751043
1.06227107	-58.54259880
1.06959708	-62.04860988
1.07692309	-67.67621640
1.08424910	-62.52355791
1.09157510	-63.12393494
1.09890111	-72.51662855
1.10622712	-62.53501723
1.11355313	-63.02052458
1.12087913	-90.20169609
