# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-13T14:54:40
# Time [ps]	THz Signal [a.u.]
-65.06666591	0.00000000
-65.03333257	0.00000000
-64.99999924	-0.00000001
-64.96666591	0.00000001
-64.93333257	0.00000006
-64.89999924	0.00000007
-64.86666591	0.00000009
-64.83333257	-0.00000001
-64.79999924	-0.00000020
-64.76666591	-0.00000042
-64.73333258	0.00000019
-64.69999924	0.00000019
-64.66666591	0.00000044
-64.63333258	-0.00000004
-64.59999924	0.00000058
-64.56666591	-0.00000017
-64.53333258	-0.00000059
-64.49999924	-0.00000020
-64.46666591	-0.00000058
-64.43333258	0.00000145
-64.39999924	0.00000024
-64.36666591	0.00000099
-64.33333258	0.00000103
-64.29999925	0.00000158
-64.26666591	-0.00000243
-64.23333258	-0.00000147
-64.19999925	-0.00000302
-64.16666591	-0.00000316
-64.13333258	-0.00000459
-64.09999925	-0.00000150
-64.06666591	-0.00000155
-64.03333258	-0.00000253
-63.99999925	-0.00000465
-63.96666592	0.00000075
-63.93333258	-0.00000423
-63.89999925	-0.00000301
-63.86666592	-0.00000440
-63.83333258	-0.00000793
-63.79999925	-0.00000258
-63.76666592	-0.00000536
-63.73333258	-0.00000253
-63.69999925	0.00000002
-63.66666592	-0.00000375
-63.63333259	0.00000033
-63.59999925	-0.00000128
-63.56666592	0.00000989
-63.53333259	0.00000922
-63.49999925	0.00000722
-63.46666592	0.00001230
-63.43333259	0.00001055
-63.39999925	0.00000692
-63.36666592	0.00000077
-63.33333259	0.00001079
-63.29999926	-0.00000256
-63.26666592	0.00000407
-63.23333259	0.00000143
-63.19999926	0.00001983
-63.16666592	0.00001494
-63.13333259	0.00002662
-63.09999926	0.00002304
-63.06666592	0.00002372
-63.03333259	0.00002573
-62.99999926	0.00002938
-62.96666593	0.00004051
-62.93333259	0.00004954
-62.89999926	0.00003936
-62.86666593	0.00003404
-62.83333259	0.00006247
-62.79999926	0.00005198
-62.76666593	0.00007489
