# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-13T09:55:56
# Time [ps]	THz Signal [a.u.]
-65.06666597	0.00000000
-65.03333264	0.00000001
-64.99999931	0.00000006
-64.96666597	0.00000013
-64.93333264	0.00000029
-64.89999931	0.00000037
-64.86666598	0.00000040
-64.83333264	0.00000050
-64.79999931	0.00000061
-64.76666598	0.00000062
-64.73333264	0.00000087
-64.69999931	0.00000035
-64.66666598	0.00000041
-64.63333264	0.00000040
-64.59999931	-0.00000006
-64.56666598	-0.00000048
-64.53333264	0.00000002
-64.49999931	-0.00000206
-64.46666598	-0.00000271
-64.43333265	-0.00000216
-64.39999931	-0.00000266
-64.36666598	-0.00000299
-64.33333265	-0.00000577
-64.29999931	-0.00000544
-64.26666598	-0.00000618
-64.23333265	-0.00000689
-64.19999931	-0.00000834
-64.16666598	-0.00000813
-64.13333265	-0.00001241
-64.09999932	-0.00001860
-64.06666598	-0.00001609
-64.03333265	-0.00001757
-63.99999932	-0.00002295
-63.96666598	-0.00002109
-63.93333265	-0.00002430
-63.89999932	-0.00002898
-63.86666598	-0.00003187
-63.83333265	-0.00003393
-63.79999932	-0.00003587
-63.76666598	-0.00004522
-63.73333265	-0.00004221
-63.69999932	-0.00005414
-63.66666599	-0.00005918
-63.63333265	-0.00006383
-63.59999932	-0.00005888
-63.56666599	-0.00006342
-63.53333265	-0.00007265
-63.49999932	-0.00008243
-63.46666599	-0.00008217
-63.43333265	-0.00008393
-63.39999932	-0.00010211
-63.36666599	-0.00009742
-63.33333265	-0.00009782
-63.29999932	-0.00011483
-63.26666599	-0.00011604
-63.23333266	-0.00012536
-63.19999932	-0.00013093
-63.16666599	-0.00013099
-63.13333266	-0.00013254
-63.09999932	-0.00013709
-63.06666599	-0.00015894
-63.03333266	-0.00016111
-62.99999932	-0.00014911
-62.96666599	-0.00014782
-62.93333266	-0.00014787
-62.89999933	-0.00014368
-62.86666599	-0.00014845
-62.83333266	-0.00014366
-62.79999933	-0.00014803
-62.76666599	-0.00012617
-62.73333266	-0.00014203
-62.69999933	-0.00012520
-62.66666599	-0.00010432
-62.63333266	-0.00009348
-62.59999933	-0.00006959
-62.56666599	-0.00008317
-62.53333266	-0.00005357
-62.49999933	-0.00002993
-62.46666600	-0.00001039
-62.43333266	-0.00001671
-62.39999933	-0.00001827
-62.36666600	0.00004394
-62.33333266	0.00007276
-62.29999933	0.00009816
-62.26666600	0.00010819
-62.23333266	0.00013137
-62.19999933	0.00015488
-62.16666600	0.00016318
-62.13333267	0.00023285
-62.09999933	0.00026247
-62.06666600	0.00026734
-62.03333267	0.00030570
-61.99999933	0.00035601
-61.96666600	0.00036459
-61.93333267	0.00041848
-61.89999933	0.00046945
-61.86666600	0.00049838
-61.83333267	0.00051778
-61.79999933	0.00056994
-61.76666600	0.00062889
-61.73333267	0.00066790
-61.69999934	0.00070680
-61.66666600	0.00075761
-61.63333267	0.00076346
-61.59999934	0.00076953
-61.56666600	0.00080612
-61.53333267	0.00086251
-61.49999934	0.00090246
-61.46666600	0.00096670
-61.43333267	0.00097611
-61.39999934	0.00102415
-61.36666601	0.00103205
-61.33333267	0.00112457
-61.29999934	0.00118418
-61.26666601	0.00118991
-61.23333267	0.00121515
-61.19999934	0.00124703
-61.16666601	0.00128277
-61.13333267	0.00133183
-61.09999934	0.00137551
-61.06666601	0.00138826
-61.03333267	0.00137481
-60.99999934	0.00143936
-60.96666601	0.00142674
-60.93333268	0.00151732
-60.89999934	0.00149345
-60.86666601	0.00150862
-60.83333268	0.00150880
-60.79999934	0.00148419
-60.76666601	0.00154111
-60.73333268	0.00146504
-60.69999934	0.00147296
-60.66666601	0.00144855
-60.63333268	0.00137395
-60.59999935	0.00136132
-60.56666601	0.00132160
-60.53333268	0.00127768
-60.49999935	0.00129865
-60.46666601	0.00116487
-60.43333268	0.00111374
-60.39999935	0.00109937
-60.36666601	0.00104784
-60.33333268	0.00097855
-60.29999935	0.00087736
-60.26666601	0.00078484
-60.23333268	0.00069810
-60.19999935	0.00064378
-60.16666602	0.00053845
-60.13333268	0.00035490
-60.09999935	0.00026318
-60.06666602	0.00014371
-60.03333268	0.00010555
-59.99999935	0.00001791
-59.96666602	-0.00019310
-59.93333268	-0.00030823
-59.89999935	-0.00042137
-59.86666602	-0.00050755
-59.83333269	-0.00069341
-59.79999935	-0.00079754
-59.76666602	-0.00092320
