# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-13T09:58:25
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-89.73053463
0.00732601	-22.29367645
0.01465201	-18.05073710
0.02197802	-20.11834354
0.02930403	-29.94155722
0.03663004	-25.09835135
0.04395604	-18.04660203
0.05128205	-13.07338266
0.05860806	-14.32583915
0.06593407	-14.41311971
0.07326007	-9.62757136
0.08058608	-12.86355156
0.08791209	-16.82355306
0.09523810	-6.23039782
0.10256410	-5.66581926
0.10989011	-12.36988400
0.11721612	-7.77716942
0.12454213	-4.84867309
0.13186813	-8.59805452
0.13919414	-7.22598692
0.14652015	-3.12647801
0.15384616	-3.95069308
0.16117216	-5.27660461
0.16849817	-2.69918282
0.17582418	-3.07456837
0.18315018	-5.91916831
0.19047619	-2.59370708
0.19780220	-0.43780588
0.20512821	-1.40915012
0.21245421	-2.62150622
0.21978022	-1.62174484
0.22710623	-1.49843637
0.23443224	-2.17819402
0.24175824	-1.24710861
0.24908425	0.00000000
0.25641026	-0.14236835
0.26373627	-1.15106535
0.27106227	-1.29909020
0.27838828	-1.29336970
0.28571429	-2.02499743
0.29304030	-1.47049372
0.30036630	-0.31130236
0.30769231	-0.63367213
0.31501832	-1.64787443
0.32234433	-1.47358146
0.32967033	-1.49639984
0.33699634	-2.37431703
0.34432235	-2.09200885
0.35164835	-1.32747785
0.35897436	-1.52518448
0.36630037	-1.97375861
0.37362638	-2.32827344
0.38095238	-2.72998879
0.38827839	-2.63651324
0.39560440	-2.56701419
0.40293041	-2.78866250
0.41025641	-2.88633428
0.41758242	-3.24179287
0.42490843	-3.82481561
0.43223444	-4.15862744
0.43956044	-4.42364964
0.44688645	-4.45285963
0.45421246	-4.36279995
0.46153847	-4.68519752
0.46886447	-5.22099487
0.47619048	-5.58778298
0.48351649	-5.76530693
0.49084249	-6.00126014
0.49816850	-6.31495096
0.50549451	-6.29082792
0.51282052	-6.40406867
0.52014652	-7.08688970
0.52747253	-7.68561275
0.53479854	-7.90902402
0.54212455	-8.10219820
0.54945055	-8.97232677
0.55677656	-10.50710374
0.56410257	-10.02662402
0.57142858	-9.07747085
0.57875458	-9.70578972
0.58608059	-10.10838470
0.59340660	-9.87254840
0.60073261	-10.34973612
0.60805861	-10.56294146
0.61538462	-10.69885810
0.62271063	-11.44402769
0.63003664	-11.69246590
0.63736264	-11.88676961
0.64468865	-12.59108518
0.65201466	-12.90815721
0.65934066	-13.28833228
