# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-13T10:17:09
# Time [ps]	THz Signal [a.u.]
-65.06666606	0.00000000
-65.03333273	0.00000002
-64.99999939	0.00000007
-64.96666606	0.00000014
-64.93333273	0.00000026
-64.89999939	0.00000029
-64.86666606	0.00000054
-64.83333273	0.00000063
-64.79999939	0.00000093
-64.76666606	0.00000129
-64.73333273	0.00000084
-64.69999939	0.00000081
-64.66666606	0.00000102
-64.63333273	-0.00000016
-64.59999940	-0.00000054
-64.56666606	-0.00000064
-64.53333273	-0.00000116
-64.49999940	-0.00000132
-64.46666606	-0.00000084
-64.43333273	-0.00000086
-64.39999940	-0.00000299
-64.36666606	-0.00000309
-64.33333273	-0.00000746
-64.29999940	-0.00000569
-64.26666606	-0.00000949
-64.23333273	-0.00001237
-64.19999940	-0.00000991
-64.16666607	-0.00001286
-64.13333273	-0.00001535
-64.09999940	-0.00001940
-64.06666607	-0.00002294
-64.03333273	-0.00002373
-63.99999940	-0.00003107
-63.96666607	-0.00003180
-63.93333273	-0.00003863
-63.89999940	-0.00004587
-63.86666607	-0.00004937
-63.83333273	-0.00005433
-63.79999940	-0.00005362
-63.76666607	-0.00006112
-63.73333274	-0.00006840
-63.69999940	-0.00008399
-63.66666607	-0.00007734
-63.63333274	-0.00008472
-63.59999940	-0.00009280
-63.56666607	-0.00009935
-63.53333274	-0.00011404
-63.49999940	-0.00011903
-63.46666607	-0.00012474
-63.43333274	-0.00012745
-63.39999940	-0.00013409
-63.36666607	-0.00014968
-63.33333274	-0.00015314
-63.29999941	-0.00015424
-63.26666607	-0.00016539
-63.23333274	-0.00017007
-63.19999941	-0.00017652
-63.16666607	-0.00018882
-63.13333274	-0.00019084
-63.09999941	-0.00019965
-63.06666607	-0.00019230
-63.03333274	-0.00020139
-62.99999941	-0.00020874
-62.96666607	-0.00021136
-62.93333274	-0.00020805
-62.89999941	-0.00021864
-62.86666608	-0.00021590
-62.83333274	-0.00019493
-62.79999941	-0.00018673
-62.76666608	-0.00019925
-62.73333274	-0.00020787
-62.69999941	-0.00018818
-62.66666608	-0.00019979
-62.63333274	-0.00018318
-62.59999941	-0.00016071
-62.56666608	-0.00015390
-62.53333274	-0.00016221
-62.49999941	-0.00014919
-62.46666608	-0.00011252
-62.43333275	-0.00010514
-62.39999941	-0.00008238
-62.36666608	-0.00007676
-62.33333275	-0.00003003
-62.29999941	-0.00000514
-62.26666608	-0.00000710
-62.23333275	0.00002668
-62.19999941	0.00005846
-62.16666608	0.00006477
-62.13333275	0.00008487
-62.09999941	0.00009591
-62.06666608	0.00013243
-62.03333275	0.00016098
-61.99999941	0.00021284
-61.96666608	0.00022349
-61.93333275	0.00023458
-61.89999942	0.00024641
-61.86666608	0.00028470
-61.83333275	0.00030258
-61.79999942	0.00032445
-61.76666608	0.00034821
-61.73333275	0.00038508
-61.69999942	0.00036390
-61.66666608	0.00044581
-61.63333275	0.00043799
-61.59999942	0.00050104
-61.56666608	0.00054062
-61.53333275	0.00057498
-61.49999942	0.00053855
-61.46666609	0.00056515
-61.43333275	0.00064265
-61.39999942	0.00064551
-61.36666609	0.00066989
-61.33333275	0.00066409
-61.29999942	0.00070726
-61.26666609	0.00070871
-61.23333275	0.00077148
-61.19999942	0.00078772
-61.16666609	0.00081302
-61.13333275	0.00081604
-61.09999942	0.00087343
-61.06666609	0.00081662
-61.03333276	0.00085410
-60.99999942	0.00090638
-60.96666609	0.00087115
-60.93333276	0.00086052
-60.89999942	0.00087290
-60.86666609	0.00092941
-60.83333276	0.00090721
-60.79999942	0.00085375
-60.76666609	0.00089668
-60.73333276	0.00089569
-60.69999942	0.00085289
-60.66666609	0.00078745
-60.63333276	0.00076572
-60.59999943	0.00077194
-60.56666609	0.00072424
-60.53333276	0.00068784
-60.49999943	0.00066547
-60.46666609	0.00053731
-60.43333276	0.00059355
-60.39999943	0.00053452
-60.36666609	0.00041841
-60.33333276	0.00040845
-60.29999943	0.00028771
-60.26666609	0.00025374
-60.23333276	0.00013998
-60.19999943	0.00004733
-60.16666610	0.00004651
-60.13333276	-0.00009523
-60.09999943	-0.00017828
-60.06666610	-0.00027617
-60.03333276	-0.00040562
-59.99999943	-0.00047805
-59.96666610	-0.00051140
-59.93333276	-0.00066637
-59.89999943	-0.00072635
-59.86666610	-0.00082164
-59.83333276	-0.00090611
-59.79999943	-0.00098204
-59.76666610	-0.00099260
-59.73333277	-0.00117081
-59.69999943	-0.00115181
-59.66666610	-0.00125761
-59.63333277	-0.00126566
-59.59999943	-0.00132528
-59.56666610	-0.00138213
-59.53333277	-0.00152789
-59.49999943	-0.00144976
-59.46666610	-0.00154999
-59.43333277	-0.00154999
-59.39999943	-0.00158378
-59.36666610	-0.00165090
-59.33333277	-0.00168777
-59.29999944	-0.00166194
-59.26666610	-0.00169410
-59.23333277	-0.00171406
-59.19999944	-0.00169262
-59.16666610	-0.00173214
-59.13333277	-0.00164579
-59.09999944	-0.00180878
-59.06666610	-0.00174714
-59.03333277	-0.00169533
-58.99999944	-0.00168448
-58.96666610	-0.00164230
-58.93333277	-0.00164008
-58.89999944	-0.00159343
-58.86666611	-0.00162586
-58.83333277	-0.00153267
-58.79999944	-0.00149649
-58.76666611	-0.00151582
-58.73333277	-0.00148036
-58.69999944	-0.00146021
-58.66666611	-0.00146163
-58.63333277	-0.00139802
-58.59999944	-0.00130224
-58.56666611	-0.00134925
-58.53333277	-0.00132332
-58.49999944	-0.00128497
-58.46666611	-0.00124479
-58.43333278	-0.00119827
-58.39999944	-0.00125481
-58.36666611	-0.00126920
-58.33333278	-0.00130469
-58.29999944	-0.00130012
-58.26666611	-0.00123900
-58.23333278	-0.00122646
-58.19999944	-0.00131244
-58.16666611	-0.00131059
-58.13333278	-0.00126160
-58.09999944	-0.00119984
-58.06666611	-0.00120344
-58.03333278	-0.00121129
-57.99999945	-0.00123484
-57.96666611	-0.00119334
-57.93333278	-0.00124479
-57.89999945	-0.00129914
-57.86666611	-0.00126037
-57.83333278	-0.00130547
-57.79999945	-0.00120684
-57.76666611	-0.00132042
-57.73333278	-0.00123627
-57.69999945	-0.00121758
-57.66666611	-0.00136872
-57.63333278	-0.00122335
-57.59999945	-0.00120934
-57.56666612	-0.00121672
-57.53333278	-0.00115493
-57.49999945	-0.00114282
-57.46666612	-0.00101415
-57.43333278	-0.00115995
-57.39999945	-0.00103771
-57.36666612	-0.00100102
-57.33333278	-0.00096167
-57.29999945	-0.00094402
-57.26666612	-0.00093398
-57.23333278	-0.00082320
-57.19999945	-0.00072339
-57.16666612	-0.00076342
-57.13333279	-0.00079593
-57.09999945	-0.00067865
-57.06666612	-0.00052692
-57.03333279	-0.00043600
-56.99999945	-0.00043031
-56.96666612	-0.00041465
-56.93333279	-0.00026390
-56.89999945	-0.00013398
-56.86666612	-0.00020323
-56.83333279	-0.00014275
-56.79999945	-0.00003610
-56.76666612	-0.00009780
-56.73333279	0.00000020
-56.69999945	-0.00001191
-56.66666612	0.00009772
-56.63333279	0.00003986
-56.59999946	0.00011975
-56.56666612	0.00015045
-56.53333279	0.00004054
-56.49999946	0.00009605
-56.46666612	0.00017869
-56.43333279	0.00015124
-56.39999946	0.00016943
-56.36666612	0.00020255
-56.33333279	0.00026692
-56.29999946	0.00014869
-56.26666612	0.00028533
-56.23333279	0.00030583
-56.19999946	0.00033095
-56.16666613	0.00027779
-56.13333279	0.00029360
-56.09999946	0.00039220
-56.06666613	0.00036934
-56.03333279	0.00043130
-55.99999946	0.00037706
-55.96666613	0.00039322
-55.93333279	0.00036975
-55.89999946	0.00030915
-55.86666613	0.00042894
-55.83333279	0.00034831
-55.79999946	0.00036241
-55.76666613	0.00040844
-55.73333280	0.00034389
-55.69999946	0.00040500
-55.66666613	0.00040539
-55.63333280	0.00040472
-55.59999946	0.00035876
-55.56666613	0.00042837
-55.53333280	0.00045891
-55.49999946	0.00030910
-55.46666613	0.00037152
-55.43333280	0.00042251
-55.39999946	0.00043839
-55.36666613	0.00042936
-55.33333280	0.00039252
-55.29999947	0.00043769
-55.26666613	0.00045371
-55.23333280	0.00030492
-55.19999947	0.00034983
-55.16666613	0.00032754
-55.13333280	0.00038432
-55.09999947	0.00032741
-55.06666613	0.00029484
-55.03333280	0.00027367
-54.99999947	0.00026348
-54.96666613	0.00032498
-54.93333280	0.00025302
-54.89999947	0.00029552
-54.86666614	0.00032455
-54.83333280	0.00031960
-54.79999947	0.00027978
-54.76666614	0.00039016
-54.73333280	0.00025601
-54.69999947	0.00039398
-54.66666614	0.00031355
-54.63333280	0.00030132
-54.59999947	0.00038339
-54.56666614	0.00040293
-54.53333280	0.00031956
-54.49999947	0.00031161
-54.46666614	0.00027414
-54.43333281	0.00037679
-54.39999947	0.00036971
-54.36666614	0.00038080
-54.33333281	0.00043044
-54.29999947	0.00043484
-54.26666614	0.00049866
-54.23333281	0.00053287
-54.19999947	0.00048802
-54.16666614	0.00054894
-54.13333281	0.00049925
-54.09999947	0.00062063
-54.06666614	0.00064870
-54.03333281	0.00052432
-53.99999948	0.00061821
-53.96666614	0.00059457
-53.93333281	0.00046346
-53.89999948	0.00043135
-53.86666614	0.00050387
-53.83333281	0.00039043
-53.79999948	0.00051142
-53.76666614	0.00038510
-53.73333281	0.00038164
-53.69999948	0.00051058
-53.66666614	0.00042846
-53.63333281	0.00053882
-53.59999948	0.00044743
-53.56666615	0.00041657
-53.53333281	0.00033269
-53.49999948	0.00025854
-53.46666615	0.00025825
-53.43333281	0.00030235
-53.39999948	0.00027014
-53.36666615	0.00021693
-53.33333281	0.00007658
-53.29999948	0.00012603
-53.26666615	0.00005725
-53.23333281	0.00004013
-53.19999948	0.00011804
-53.16666615	-0.00002724
-53.13333282	0.00000677
-53.09999948	-0.00009042
-53.06666615	-0.00005526
-53.03333282	0.00004931
-52.99999948	0.00001030
-52.96666615	-0.00011614
-52.93333282	-0.00007935
-52.89999948	-0.00002269
-52.86666615	-0.00008543
-52.83333282	-0.00011600
-52.79999948	0.00001760
-52.76666615	-0.00000359
-52.73333282	-0.00007224
-52.69999949	-0.00009957
-52.66666615	-0.00006309
-52.63333282	-0.00008498
-52.59999949	0.00006629
-52.56666615	-0.00005488
-52.53333282	-0.00011134
-52.49999949	-0.00007329
-52.46666615	-0.00015443
-52.43333282	0.00003468
-52.39999949	0.00000608
-52.36666615	0.00000592
-52.33333282	0.00003051
-52.29999949	-0.00005894
-52.26666616	-0.00005318
-52.23333282	0.00001053
-52.19999949	0.00004236
-52.16666616	0.00004586
-52.13333282	-0.00001869
-52.09999949	0.00008331
-52.06666616	0.00005845
-52.03333282	0.00007157
-51.99999949	0.00012088
-51.96666616	0.00010410
-51.93333282	0.00027278
-51.89999949	0.00015297
-51.86666616	0.00023394
-51.83333283	0.00030900
-51.79999949	0.00025323
-51.76666616	0.00032366
-51.73333283	0.00038913
-51.69999949	0.00045775
-51.66666616	0.00051473
-51.63333283	0.00058268
-51.59999949	0.00059533
-51.56666616	0.00068482
-51.53333283	0.00067409
-51.49999949	0.00087121
-51.46666616	0.00084903
-51.43333283	0.00088075
-51.39999949	0.00095579
-51.36666616	0.00099144
-51.33333283	0.00106248
-51.29999950	0.00106977
-51.26666616	0.00114698
-51.23333283	0.00123006
-51.19999950	0.00126641
-51.16666616	0.00119432
-51.13333283	0.00143007
-51.09999950	0.00142186
-51.06666616	0.00146194
-51.03333283	0.00158381
-50.99999950	0.00167010
-50.96666616	0.00171326
-50.93333283	0.00177556
-50.89999950	0.00184820
-50.86666617	0.00195480
-50.83333283	0.00193070
-50.79999950	0.00209046
-50.76666617	0.00201113
-50.73333283	0.00202836
-50.69999950	0.00215448
-50.66666617	0.00220087
-50.63333283	0.00234677
-50.59999950	0.00229063
-50.56666617	0.00249380
-50.53333283	0.00243506
-50.49999950	0.00254755
-50.46666617	0.00263338
-50.43333284	0.00271649
-50.39999950	0.00273578
-50.36666617	0.00281932
-50.33333284	0.00286929
-50.29999950	0.00292162
-50.26666617	0.00299828
-50.23333284	0.00297729
-50.19999950	0.00316591
-50.16666617	0.00322674
-50.13333284	0.00316534
-50.09999950	0.00314468
-50.06666617	0.00319681
-50.03333284	0.00329137
-49.99999951	0.00334221
-49.96666617	0.00333967
-49.93333284	0.00329403
-49.89999951	0.00332774
-49.86666617	0.00326695
-49.83333284	0.00315915
-49.79999951	0.00316298
-49.76666617	0.00303624
-49.73333284	0.00306350
-49.69999951	0.00295148
-49.66666617	0.00281722
-49.63333284	0.00259846
-49.59999951	0.00251609
-49.56666618	0.00241766
-49.53333284	0.00217106
-49.49999951	0.00199645
-49.46666618	0.00177521
-49.43333284	0.00149510
-49.39999951	0.00129880
-49.36666618	0.00102383
-49.33333284	0.00067693
-49.29999951	0.00043390
-49.26666618	0.00016307
-49.23333284	-0.00020203
-49.19999951	-0.00066056
-49.16666618	-0.00081068
-49.13333285	-0.00122104
-49.09999951	-0.00150340
-49.06666618	-0.00191735
-49.03333285	-0.00232523
-48.99999951	-0.00263930
-48.96666618	-0.00298460
-48.93333285	-0.00331166
-48.89999951	-0.00365772
-48.86666618	-0.00391897
-48.83333285	-0.00420766
-48.79999951	-0.00440107
-48.76666618	-0.00468555
-48.73333285	-0.00480495
-48.69999952	-0.00494931
-48.66666618	-0.00520012
-48.63333285	-0.00522019
-48.59999952	-0.00532641
-48.56666618	-0.00518591
-48.53333285	-0.00518630
-48.49999952	-0.00515392
-48.46666618	-0.00513311
-48.43333285	-0.00503535
-48.39999952	-0.00481611
-48.36666618	-0.00468893
-48.33333285	-0.00452015
-48.29999952	-0.00431750
-48.26666619	-0.00388400
-48.23333285	-0.00363450
-48.19999952	-0.00339475
-48.16666619	-0.00301543
-48.13333285	-0.00273238
-48.09999952	-0.00235335
-48.06666619	-0.00201766
-48.03333285	-0.00172191
-47.99999952	-0.00130912
-47.96666619	-0.00092351
-47.93333285	-0.00051948
-47.89999952	-0.00014416
-47.86666619	0.00025033
-47.83333286	0.00053624
-47.79999952	0.00077730
-47.76666619	0.00111904
-47.73333286	0.00153287
-47.69999952	0.00164409
-47.66666619	0.00198833
-47.63333286	0.00226579
-47.59999952	0.00249682
-47.56666619	0.00283039
-47.53333286	0.00296335
-47.49999952	0.00321926
-47.46666619	0.00334016
-47.43333286	0.00354894
-47.39999953	0.00378663
-47.36666619	0.00384058
-47.33333286	0.00398162
-47.29999953	0.00410837
-47.26666619	0.00426139
-47.23333286	0.00437769
-47.19999953	0.00450650
-47.16666619	0.00450778
-47.13333286	0.00455161
-47.09999953	0.00474630
-47.06666619	0.00474369
-47.03333286	0.00473181
-46.99999953	0.00489562
-46.96666620	0.00488914
-46.93333286	0.00484741
-46.89999953	0.00481289
-46.86666620	0.00479433
-46.83333286	0.00476246
-46.79999953	0.00481860
-46.76666620	0.00494770
-46.73333286	0.00495264
-46.69999953	0.00491824
-46.66666620	0.00486172
-46.63333286	0.00495857
-46.59999953	0.00497110
-46.56666620	0.00494139
-46.53333287	0.00497622
-46.49999953	0.00499314
-46.46666620	0.00499022
-46.43333287	0.00499300
-46.39999953	0.00494366
-46.36666620	0.00508013
-46.33333287	0.00497065
-46.29999953	0.00502676
-46.26666620	0.00509847
-46.23333287	0.00507365
-46.19999953	0.00504518
-46.16666620	0.00513961
-46.13333287	0.00517078
-46.09999953	0.00510227
-46.06666620	0.00514063
-46.03333287	0.00516207
-45.99999954	0.00521441
-45.96666620	0.00521472
-45.93333287	0.00509578
-45.89999954	0.00507828
-45.86666620	0.00509967
-45.83333287	0.00517321
-45.79999954	0.00521274
-45.76666620	0.00522938
-45.73333287	0.00517061
-45.69999954	0.00528787
-45.66666620	0.00531860
-45.63333287	0.00538611
-45.59999954	0.00558997
-45.56666621	0.00553755
-45.53333287	0.00557069
-45.49999954	0.00563826
-45.46666621	0.00564558
-45.43333287	0.00571941
-45.39999954	0.00581993
-45.36666621	0.00588604
-45.33333287	0.00591278
-45.29999954	0.00601202
-45.26666621	0.00602713
-45.23333287	0.00607743
-45.19999954	0.00620622
-45.16666621	0.00621319
-45.13333288	0.00633745
-45.09999954	0.00633276
-45.06666621	0.00636020
-45.03333288	0.00643053
-44.99999954	0.00630253
-44.96666621	0.00629731
-44.93333288	0.00618420
-44.89999954	0.00620523
-44.86666621	0.00610260
-44.83333288	0.00599588
-44.79999954	0.00581303
-44.76666621	0.00572803
-44.73333288	0.00562103
-44.69999955	0.00547101
-44.66666621	0.00537196
-44.63333288	0.00523221
-44.59999955	0.00501241
-44.56666621	0.00481626
-44.53333288	0.00460240
-44.49999955	0.00428608
-44.46666621	0.00416476
-44.43333288	0.00406376
-44.39999955	0.00392516
-44.36666621	0.00380885
-44.33333288	0.00368337
-44.29999955	0.00375845
-44.26666622	0.00360752
-44.23333288	0.00366005
-44.19999955	0.00375071
-44.16666622	0.00375676
-44.13333288	0.00396143
-44.09999955	0.00424217
-44.06666622	0.00436785
-44.03333288	0.00473554
-43.99999955	0.00513038
-43.96666622	0.00555155
-43.93333288	0.00608779
-43.89999955	0.00669798
-43.86666622	0.00728628
-43.83333289	0.00797706
-43.79999955	0.00883838
-43.76666622	0.00967761
-43.73333289	0.01069221
-43.69999955	0.01161088
-43.66666622	0.01276221
-43.63333289	0.01385476
-43.59999955	0.01505014
-43.56666622	0.01637831
-43.53333289	0.01768372
-43.49999955	0.01912921
-43.46666622	0.02054968
-43.43333289	0.02203885
-43.39999956	0.02371867
-43.36666622	0.02546146
-43.33333289	0.02716033
-43.29999956	0.02902869
-43.26666622	0.03100321
-43.23333289	0.03303773
-43.19999956	0.03509084
-43.16666622	0.03726282
-43.13333289	0.03956820
-43.09999956	0.04183614
-43.06666622	0.04422375
-43.03333289	0.04680909
-42.99999956	0.04937793
-42.96666623	0.05211453
-42.93333289	0.05502992
-42.89999956	0.05790400
-42.86666623	0.06102693
-42.83333289	0.06414663
-42.79999956	0.06751258
-42.76666623	0.07081471
-42.73333289	0.07434491
-42.69999956	0.07794360
-42.66666623	0.08165873
-42.63333289	0.08553305
-42.59999956	0.08946269
-42.56666623	0.09332107
-42.53333290	0.09727586
-42.49999956	0.10104364
-42.46666623	0.10479158
-42.43333290	0.10837816
-42.39999956	0.11191191
-42.36666623	0.11512019
-42.33333290	0.11799880
-42.29999956	0.12045683
-42.26666623	0.12244525
-42.23333290	0.12372484
-42.19999956	0.12438997
-42.16666623	0.12413375
-42.13333290	0.12299826
-42.09999957	0.12075754
-42.06666623	0.11740848
-42.03333290	0.11265872
-41.99999957	0.10631740
-41.96666623	0.09860374
-41.93333290	0.08912412
-41.89999957	0.07789096
-41.86666623	0.06468657
-41.83333290	0.04966167
-41.79999957	0.03272012
-41.76666623	0.01363683
-41.73333290	-0.00728024
-41.69999957	-0.03015279
-41.66666624	-0.05512496
-41.63333290	-0.08170566
-41.59999957	-0.10984824
-41.56666624	-0.13958090
-41.53333290	-0.17046918
-41.49999957	-0.20239247
-41.46666624	-0.23503250
-41.43333290	-0.26806378
-41.39999957	-0.30128034
-41.36666624	-0.33401015
-41.33333290	-0.36626734
-41.29999957	-0.39753360
-41.26666624	-0.42733037
-41.23333291	-0.45535968
-41.19999957	-0.48110284
-41.16666624	-0.50434493
-41.13333291	-0.52476834
-41.09999957	-0.54191411
-41.06666624	-0.55553966
-41.03333291	-0.56538143
-40.99999957	-0.57139356
-40.96666624	-0.57327381
-40.93333291	-0.57103807
-40.89999957	-0.56463289
-40.86666624	-0.55395498
-40.83333291	-0.53919691
-40.79999957	-0.52034070
-40.76666624	-0.49766222
-40.73333291	-0.47138391
-40.69999958	-0.44189656
-40.66666624	-0.40934756
-40.63333291	-0.37402859
-40.59999958	-0.33661610
-40.56666624	-0.29720260
-40.53333291	-0.25635534
-40.49999958	-0.21439418
-40.46666624	-0.17200818
-40.43333291	-0.12927643
-40.39999958	-0.08681405
-40.36666624	-0.04505175
-40.33333291	-0.00426001
-40.29999958	0.03521066
-40.26666625	0.07294884
-40.23333291	0.10872579
-40.19999958	0.14233165
-40.16666625	0.17356912
-40.13333291	0.20226219
-40.09999958	0.22822183
-40.06666625	0.25150485
-40.03333291	0.27185532
-39.99999958	0.28947481
-39.96666625	0.30429926
-39.93333291	0.31649793
-39.89999958	0.32586397
-39.86666625	0.33290750
-39.83333292	0.33755254
-39.79999958	0.33994145
-39.76666625	0.34026210
-39.73333292	0.33869739
-39.69999958	0.33553652
-39.66666625	0.33092702
-39.63333292	0.32500647
-39.59999958	0.31786178
-39.56666625	0.30998844
-39.53333292	0.30125627
-39.49999958	0.29195135
-39.46666625	0.28217046
-39.43333292	0.27212490
-39.39999959	0.26193002
-39.36666625	0.25168194
-39.33333292	0.24147884
-39.29999959	0.23139388
-39.26666625	0.22147205
-39.23333292	0.21190430
-39.19999959	0.20252365
-39.16666625	0.19339545
-39.13333292	0.18472538
-39.09999959	0.17638537
-39.06666625	0.16843110
-39.03333292	0.16075252
-38.99999959	0.15343790
-38.96666626	0.14638631
-38.93333292	0.13979955
-38.89999959	0.13313571
-38.86666626	0.12694603
-38.83333292	0.12097806
-38.79999959	0.11505657
-38.76666626	0.10937072
-38.73333292	0.10376608
-38.69999959	0.09831902
-38.66666626	0.09289624
-38.63333292	0.08757361
-38.59999959	0.08236170
-38.56666626	0.07724872
-38.53333293	0.07202232
-38.49999959	0.06701206
-38.46666626	0.06198545
-38.43333293	0.05707054
-38.39999959	0.05213601
-38.36666626	0.04715197
-38.33333293	0.04241968
-38.29999959	0.03780237
-38.26666626	0.03321495
-38.23333293	0.02895509
-38.19999959	0.02464874
-38.16666626	0.02047922
-38.13333293	0.01657100
-38.09999960	0.01282306
-38.06666626	0.00941130
-38.03333293	0.00610457
-37.99999960	0.00312969
-37.96666626	0.00033531
-37.93333293	-0.00204640
-37.89999960	-0.00442578
-37.86666626	-0.00637017
-37.83333293	-0.00808784
-37.79999960	-0.00947530
-37.76666626	-0.01075121
-37.73333293	-0.01177588
-37.69999960	-0.01259181
-37.66666627	-0.01313898
-37.63333293	-0.01363201
-37.59999960	-0.01390936
-37.56666627	-0.01411535
-37.53333293	-0.01433634
-37.49999960	-0.01422679
-37.46666627	-0.01416934
-37.43333293	-0.01409277
-37.39999960	-0.01389241
-37.36666627	-0.01385421
-37.33333293	-0.01391573
-37.29999960	-0.01387107
-37.26666627	-0.01395789
-37.23333294	-0.01406577
-37.19999960	-0.01438648
-37.16666627	-0.01484713
-37.13333294	-0.01527210
-37.09999960	-0.01582722
-37.06666627	-0.01657335
-37.03333294	-0.01738444
-36.99999960	-0.01821845
-36.96666627	-0.01914130
-36.93333294	-0.02038537
-36.89999960	-0.02145067
-36.86666627	-0.02263057
-36.83333294	-0.02391889
-36.79999961	-0.02507422
-36.76666627	-0.02635690
-36.73333294	-0.02768693
-36.69999961	-0.02881758
-36.66666627	-0.02998142
-36.63333294	-0.03112468
-36.59999961	-0.03217747
-36.56666627	-0.03307990
-36.53333294	-0.03389117
-36.49999961	-0.03458787
-36.46666627	-0.03509747
-36.43333294	-0.03551412
-36.39999961	-0.03574722
-36.36666628	-0.03589619
-36.33333294	-0.03586050
-36.29999961	-0.03563933
-36.26666628	-0.03526014
-36.23333294	-0.03483000
-36.19999961	-0.03406053
-36.16666628	-0.03326457
-36.13333294	-0.03225864
-36.09999961	-0.03119564
-36.06666628	-0.03012783
-36.03333294	-0.02897033
-35.99999961	-0.02755927
-35.96666628	-0.02621817
-35.93333295	-0.02488737
-35.89999961	-0.02348043
-35.86666628	-0.02210431
-35.83333295	-0.02079066
-35.79999961	-0.01931553
-35.76666628	-0.01804566
-35.73333295	-0.01686839
-35.69999961	-0.01561610
-35.66666628	-0.01464784
-35.63333295	-0.01358445
-35.59999961	-0.01273267
-35.56666628	-0.01196479
-35.53333295	-0.01126055
-35.49999961	-0.01075316
-35.46666628	-0.01028651
-35.43333295	-0.01000003
-35.39999962	-0.00980683
-35.36666628	-0.00969697
-35.33333295	-0.00954741
-35.29999962	-0.00969296
-35.26666628	-0.00983573
-35.23333295	-0.01010767
-35.19999962	-0.01036990
-35.16666628	-0.01075271
-35.13333295	-0.01101104
-35.09999962	-0.01130833
-35.06666628	-0.01180806
-35.03333295	-0.01226247
-34.99999962	-0.01267187
-34.96666629	-0.01288388
-34.93333295	-0.01335196
-34.89999962	-0.01358845
-34.86666629	-0.01377672
-34.83333295	-0.01410587
-34.79999962	-0.01419249
-34.76666629	-0.01443859
-34.73333295	-0.01427535
-34.69999962	-0.01425314
-34.66666629	-0.01405897
-34.63333295	-0.01388702
-34.59999962	-0.01357632
-34.56666629	-0.01330047
-34.53333296	-0.01300142
-34.49999962	-0.01260429
-34.46666629	-0.01209190
-34.43333296	-0.01165290
-34.39999962	-0.01102498
-34.36666629	-0.01030568
-34.33333296	-0.00984475
-34.29999962	-0.00908549
