# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2019-11-13T10:27:21
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-60.15541562
0.00732601	-22.80123370
0.01465201	-18.39681108
0.02197802	-20.28364025
0.02930403	-30.70890441
0.03663004	-25.38231722
0.04395604	-17.91827499
0.05128205	-13.54437913
0.05860806	-14.98922631
0.06593407	-14.83037772
0.07326007	-9.85590268
0.08058608	-13.04596070
0.08791209	-16.26074296
0.09523810	-6.10025069
0.10256410	-5.66911407
0.10989011	-12.31942224
0.11721612	-7.92530051
0.12454213	-5.01885245
0.13186813	-8.58351173
0.13919414	-7.05136763
0.14652015	-3.07063732
0.15384616	-3.93233402
0.16117216	-5.27322065
0.16849817	-2.74730016
0.17582418	-3.12564163
0.18315018	-6.04599037
0.19047619	-2.67662126
0.19780220	-0.42545944
0.20512821	-1.35978237
0.21245421	-2.56788936
0.21978022	-1.58601302
0.22710623	-1.50041798
0.23443224	-2.23002551
0.24175824	-1.28032626
0.24908425	0.00000000
0.25641026	-0.13181850
0.26373627	-1.10886587
0.27106227	-1.25412659
0.27838828	-1.31824041
0.28571429	-2.12064525
0.29304030	-1.57200258
0.30036630	-0.36846037
0.30769231	-0.61776772
0.31501832	-1.55983949
0.32234432	-1.43201305
0.32967033	-1.51293877
0.33699634	-2.42558089
0.34432235	-2.16151216
0.35164835	-1.34402926
0.35897436	-1.44696766
0.36630037	-1.83670820
0.37362638	-2.21011403
0.38095238	-2.66041807
0.38827839	-2.61053501
0.39560440	-2.54462114
0.40293041	-2.73318737
0.41025641	-2.78114804
0.41758242	-3.09834071
0.42490843	-3.67907987
0.43223444	-4.04167483
0.43956044	-4.33154997
0.44688645	-4.35685898
0.45421246	-4.23373857
0.46153847	-4.52885795
0.46886447	-5.06159323
0.47619048	-5.45456820
0.48351649	-5.66396668
0.49084249	-5.90921198
0.49816850	-6.23166471
0.50549451	-6.21029958
0.51282052	-6.30856050
0.52014652	-6.99421113
0.52747253	-7.61053316
0.53479854	-7.83786744
0.54212455	-8.04458241
0.54945055	-8.94160495
0.55677656	-10.48772905
0.56410257	-9.98986415
0.57142858	-9.03541836
0.57875458	-9.66694600
0.58608059	-10.09685751
0.59340660	-9.88152543
0.60073261	-10.34184845
0.60805861	-10.54615728
0.61538462	-10.69578363
0.62271063	-11.44612223
0.63003663	-11.70298718
0.63736264	-11.90471058
0.64468865	-12.60000496
0.65201466	-12.89515604
0.65934066	-13.25319374
0.66666667	-13.94293398
0.67399268	-14.37485034
0.68131869	-14.92145629
0.68864469	-15.46469602
0.69597070	-15.87640707
0.70329671	-16.62389023
0.71062272	-17.13689642
0.71794872	-17.50906451
0.72527473	-18.33613120
0.73260074	-18.81352756
0.73992675	-19.33351646
0.74725275	-20.89904723
0.75457876	-21.95385927
0.76190477	-21.62051225
0.76923078	-21.82665830
0.77655678	-22.55718221
0.78388279	-23.16432197
0.79120880	-23.83159682
0.79853480	-24.55246256
0.80586081	-25.26445623
0.81318682	-25.98265910
0.82051283	-26.65777032
0.82783883	-27.34713327
0.83516484	-27.88262132
0.84249085	-28.39302379
0.84981686	-29.05407576
0.85714286	-29.73831803
0.86446887	-30.48508634
0.87179488	-31.11972991
0.87912089	-31.84989007
0.88644689	-32.76300483
0.89377290	-33.16493500
0.90109891	-33.48887803
0.90842492	-34.11675060
