# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1 waveforms. Timestamp: 2019-11-05T10:54:03
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666660	0.00000000
-65.03333327	-0.00000003
-64.99999993	-0.00000011
-64.96666660	-0.00000023
-64.93333327	0.00000143
-64.89999993	0.00000195
-64.86666660	-0.00000025
-64.83333327	0.00000140
-64.79999993	-0.00000674
-64.76666660	-0.00000624
-64.73333327	0.00000426
-64.69999993	0.00000233
-64.66666660	0.00000348
-64.63333327	0.00000755
-64.59999993	0.00000518
-64.56666660	-0.00000079
-64.53333327	0.00000950
-64.49999993	-0.00001302
-64.46666660	0.00000471
-64.43333327	0.00000529
-64.39999993	-0.00004700
-64.36666660	-0.00001832
-64.33333327	-0.00000590
-64.29999993	0.00001804
-64.26666660	-0.00003345
-64.23333327	0.00005826
-64.19999993	0.00000307
-64.16666660	-0.00004914
-64.13333327	-0.00000122
-64.09999993	0.00000209
-64.06666660	-0.00010668
-64.03333327	-0.00009129
-63.99999993	0.00009709
-63.96666660	-0.00003012
-63.93333327	-0.00004493
-63.89999993	-0.00016324
-63.86666660	-0.00005468
-63.83333327	-0.00014312
-63.79999993	-0.00001447
-63.76666660	-0.00002306
-63.73333327	0.00001858
-63.69999993	0.00012219
-63.66666660	0.00013357
-63.63333327	-0.00018561
-63.59999993	0.00004109
-63.56666660	-0.00027892
-63.53333327	-0.00013416
-63.49999993	-0.00007732
-63.46666660	-0.00021649
-63.43333327	-0.00037178
-63.39999993	-0.00023648
-63.36666660	-0.00028011
-63.33333327	0.00036258
-63.29999993	0.00021289
-63.26666660	0.00052055
-63.23333327	0.00022292
-63.19999993	-0.00005347
-63.16666660	0.00014929
-63.13333327	-0.00017188
-63.09999993	0.00005369
-63.06666660	0.00047220
-63.03333327	0.00030729
-62.99999993	0.00014777
-62.96666660	-0.00011930
-62.93333327	0.00022843
-62.89999993	-0.00005244
-62.86666660	-0.00013262
-62.83333327	-0.00022551
-62.79999993	-0.00030164
-62.76666660	-0.00071478
-62.73333327	-0.00051820
-62.69999993	-0.00039635
-62.66666660	-0.00051163
-62.63333327	-0.00021339
-62.59999993	-0.00082845
-62.56666660	-0.00121610
-62.53333327	-0.00069753
-62.49999993	-0.00076982
-62.46666660	-0.00003922
-62.43333327	-0.00071700
-62.39999993	-0.00084015
-62.36666660	-0.00018440
-62.33333327	-0.00067911
-62.29999993	-0.00041528
-62.26666660	-0.00074701
-62.23333327	-0.00072568
-62.19999993	-0.00073496
-62.16666660	0.00023099
-62.13333327	-0.00025395
-62.09999993	-0.00107926
-62.06666660	-0.00033153
-62.03333327	-0.00068175
-61.99999993	0.00000674
-61.96666660	0.00005087
-61.93333327	-0.00045354
-61.89999993	0.00074276
-61.86666660	-0.00003584
-61.83333327	-0.00022665
-61.79999993	0.00037259
-61.76666660	0.00039284
-61.73333327	0.00096452
-61.69999993	0.00025632
-61.66666660	0.00104419
-61.63333327	0.00003992
-61.59999994	-0.00009351
-61.56666660	-0.00080423
-61.53333327	-0.00065958
-61.49999994	0.00011616
-61.46666660	0.00020877
-61.43333327	-0.00044827
-61.39999994	0.00075767
-61.36666660	0.00056373
-61.33333327	-0.00019653
-61.29999994	0.00025877
-61.26666660	0.00160411
-61.23333327	-0.00060105
-61.19999994	0.00118325
-61.16666660	0.00021799
-61.13333327	-0.00020751
-61.09999994	0.00065341
-61.06666660	-0.00035081
-61.03333327	-0.00003422
-60.99999994	0.00027225
-60.96666660	-0.00015110
-60.93333327	0.00035323
-60.89999994	0.00075472
-60.86666660	0.00009962
-60.83333327	-0.00000144
-60.79999994	0.00148375
-60.76666660	0.00207896
-60.73333327	0.00039632
-60.69999994	0.00072004
-60.66666660	0.00204578
-60.63333327	0.00182840
-60.59999994	0.00091474
-60.56666660	0.00014924
-60.53333327	-0.00008481
-60.49999994	0.00080813
-60.46666660	0.00185471
-60.43333327	0.00167385
-60.39999994	0.00169421
-60.36666660	0.00070349
-60.33333327	0.00058115
-60.29999994	0.00074320
-60.26666660	-0.00049913
-60.23333327	0.00104342
-60.19999994	0.00129252
-60.16666660	0.00096371
-60.13333327	0.00186194
-60.09999994	0.00054422
-60.06666660	0.00099761
-60.03333327	0.00027604
-59.99999994	0.00026517
-59.96666660	-0.00186459
-59.93333327	0.00250523
-59.89999994	0.00133292
