# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1 waveforms. Timestamp: 2019-11-05T10:55:01
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-27.36386285
0.00732601	-19.17321721
0.01465201	-15.50188512
0.02197802	-21.31607335
0.02930403	-24.92854600
0.03663004	-24.37948963
0.04395604	-18.03452382
0.05128205	-12.52482912
0.05860806	-14.54836492
0.06593407	-12.89483090
0.07326007	-8.96550174
0.08058608	-11.23568019
0.08791209	-18.39156919
0.09523810	-7.05510472
0.10256410	-6.54460477
0.10989011	-13.25622022
0.11721612	-4.89363971
0.12454212	-2.49808646
0.13186813	-6.20739185
0.13919414	-8.33380136
0.14652015	-4.07980765
0.15384615	-4.68193336
0.16117216	-3.63527002
0.16849817	-1.00665085
0.17582418	-2.13578811
0.18315018	-6.37899132
0.19047619	-3.44198896
0.19780220	-0.83722694
0.20512821	-1.30547817
0.21245421	-2.23387717
0.21978022	-1.59398934
0.22710623	-1.64867524
0.23443223	-2.23107008
0.24175824	-1.05641937
0.24908425	0.00000000
0.25641026	-0.80530323
0.26373626	-2.37149159
0.27106227	-2.01953886
0.27838828	-1.36608660
0.28571429	-1.42737210
0.29304029	-0.91881381
0.30036630	-0.53114474
0.30769231	-1.57980545
0.31501832	-2.57110458
0.32234432	-1.40922062
0.32967033	-0.79267961
0.33699634	-1.45309634
0.34432234	-1.76533599
0.35164835	-1.63012133
0.35897436	-1.98700713
0.36630037	-2.09459479
0.37362637	-1.92513168
0.38095238	-2.13536340
0.38827839	-2.36152154
0.39560440	-2.57948719
0.40293040	-2.99656306
0.41025641	-3.27634522
0.41758242	-3.57134883
0.42490843	-4.11900866
0.43223443	-4.70190481
0.43956044	-5.08101292
0.44688645	-5.13137222
0.45421245	-5.31057959
0.46153846	-5.96111983
0.46886447	-6.66557130
0.47619048	-7.09494973
0.48351648	-7.27071886
0.49084249	-7.47771184
0.49816850	-8.07821662
0.50549451	-8.71838358
0.51282051	-9.13086304
0.52014652	-9.62407381
0.52747253	-10.00589311
0.53479854	-10.09523710
0.54212454	-10.39701331
0.54945055	-11.98391248
0.55677656	-14.87795547
0.56410256	-14.05363240
0.57142857	-12.13736283
0.57875458	-12.19128384
0.58608059	-12.39523504
0.59340659	-12.31733292
0.60073260	-12.93620130
0.60805861	-13.27713578
0.61538462	-13.65748211
0.62271062	-14.44952798
0.63003663	-14.37432272
0.63736264	-14.58715271
0.64468865	-15.53602951
0.65201465	-15.60870550
0.65934066	-15.84676407
0.66666667	-16.58416428
0.67399267	-16.80039643
0.68131868	-17.48008343
0.68864469	-18.41296498
0.69597070	-18.81095174
0.70329670	-19.92058159
0.71062271	-21.20983581
0.71794872	-21.36316238
0.72527473	-21.48278713
0.73260073	-21.90431472
0.73992674	-23.14098475
0.74725275	-25.72094786
0.75457876	-26.33326444
0.76190476	-26.11597778
0.76923077	-27.55391027
0.77655678	-28.25415689
0.78388278	-28.22064267
0.79120879	-30.04252142
0.79853480	-30.34817069
0.80586081	-29.44059959
0.81318681	-31.48365775
0.82051282	-33.87079247
0.82783883	-33.19785011
0.83516484	-32.81448953
0.84249084	-34.30448324
0.84981685	-40.25679904
0.85714286	-46.99791352
0.86446887	-39.65345793
0.87179487	-35.48671713
0.87912088	-34.00667083
0.88644689	-35.53743285
0.89377289	-41.34080756
0.90109890	-49.66359858
0.90842491	-55.99740530
0.91575092	-42.17281670
0.92307692	-38.33090862
0.93040293	-38.80489897
0.93772894	-39.74199446
0.94505495	-35.94191108
0.95238095	-40.03066589
0.95970696	-45.15022703
0.96703297	-38.99162376
0.97435898	-42.02584548
0.98168498	-45.07765772
0.98901099	-53.80469552
0.99633700	-47.70330302
1.00366300	-42.42224173
1.01098901	-43.81945698
1.01831502	-42.90110994
1.02564103	-47.91070639
1.03296703	-46.00632700
1.04029304	-39.67813496
1.04761905	-41.74529184
1.05494506	-48.85186363
1.06227106	-52.54012151
1.06959707	-60.97435432
1.07692308	-52.52174935
1.08424909	-54.04282570
1.09157509	-51.65586114
1.09890110	-45.99889523
1.10622711	-43.30583096
1.11355311	-43.06841265
1.12087912	-44.30245496
1.12820513	-41.63195643
1.13553114	-42.45092279
1.14285714	-48.98932713
1.15018315	-54.40346144
1.15750916	-45.06322589
1.16483517	-43.79015641
1.17216117	-49.08550719
1.17948718	-47.21655797
1.18681319	-46.90294518
1.19413920	-51.19759947
1.20146520	-51.07854461
1.20879121	-48.45490168
1.21611722	-46.78254053
1.22344322	-49.55015357
1.23076923	-49.82908448
1.23809524	-43.73680409
1.24542125	-56.81772785
1.25274725	-45.80970758
1.26007326	-48.20944661
1.26739927	-52.23033756
1.27472528	-51.44299198
1.28205128	-51.11677754
1.28937729	-47.63693703
1.29670330	-47.24697736
1.30402931	-45.10804699
1.31135531	-48.37223154
1.31868132	-49.85633529
1.32600733	-50.01937520
1.33333333	-52.96538719
1.34065934	-48.41187851
1.34798535	-44.37011228
1.35531136	-45.55929665
1.36263736	-46.68330473
1.36996337	-55.15931278
1.37728938	-56.22041476
1.38461539	-59.62939448
1.39194139	-47.56434272
1.39926740	-48.17362070
1.40659341	-59.37494500
1.41391942	-43.96538277
1.42124542	-42.78471038
1.42857143	-44.66330183
1.43589744	-45.21012690
1.44322344	-55.21185156
1.45054945	-52.37085151
1.45787546	-51.84080748
1.46520147	-46.73445331
1.47252747	-43.90206954
1.47985348	-43.20554220
1.48717949	-41.84323511
1.49450550	-42.52122047
1.50183150	-47.56317281
1.50915751	-48.10922458
1.51648352	-47.56235175
1.52380953	-49.66986181
1.53113553	-51.71665553
1.53846154	-58.14926868
1.54578755	-49.64791514
1.55311355	-52.08509840
1.56043956	-52.31791292
1.56776557	-44.65409374
1.57509158	-45.98383152
1.58241758	-49.87803596
1.58974359	-51.07821677
1.59706960	-48.42383161
1.60439561	-46.00996390
1.61172161	-50.83416436
1.61904762	-65.82292889
1.62637363	-49.28419012
1.63369964	-43.31190150
1.64102564	-47.70097847
1.64835165	-49.87904741
1.65567766	-55.30016200
1.66300366	-45.59985937
1.67032967	-42.61280259
1.67765568	-49.63417289
1.68498169	-56.02696088
1.69230769	-52.14515299
1.69963370	-44.86776109
1.70695971	-38.42099807
1.71428572	-41.55867570
1.72161172	-50.28824743
1.72893773	-41.27932953
1.73626374	-40.55469541
1.74358975	-38.61508040
1.75091575	-42.54237781
1.75824176	-57.89231481
1.76556777	-54.88437308
1.77289377	-58.72530916
1.78021978	-51.64306271
1.78754579	-48.58413239
1.79487180	-55.55519793
1.80219780	-48.24062852
1.80952381	-52.28414854
1.81684982	-48.05511702
1.82417583	-44.25241046
