# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1 waveforms. Timestamp: 2019-11-06T07:27:29
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-14.56641378
0.00732601	-15.52727259
0.01465201	-19.26744616
0.02197802	-27.85625401
0.02930403	-28.71326724
0.03663004	-27.64142431
0.04395604	-19.08183920
0.05128205	-13.79642933
0.05860806	-14.98547295
0.06593407	-13.60953210
0.07326007	-9.13589156
0.08058608	-12.96153384
0.08791209	-14.27497907
0.09523810	-5.62593974
0.10256410	-5.82463451
0.10989011	-14.67149548
0.11721612	-6.76139331
0.12454212	-3.98987080
0.13186813	-6.75805276
0.13919414	-5.53839220
0.14652015	-2.82734115
0.15384615	-4.72028877
0.16117216	-6.09300821
0.16849817	-2.13650424
0.17582418	-1.91584452
0.18315018	-3.44447811
0.19047619	-1.39372523
0.19780220	-0.59025263
0.20512821	-2.69229767
0.21245421	-3.51887888
0.21978022	-1.13440356
0.22710623	0.00000000
0.23443223	-0.09733015
0.24175824	-0.40234282
0.24908425	-0.66717572
0.25641026	-1.57667761
0.26373626	-2.15464895
0.27106227	-0.86335417
0.27838828	-0.07227471
0.28571429	-0.61976173
0.29304029	-1.13844918
0.30036630	-1.17047469
0.30769231	-1.84176388
0.31501832	-2.15761424
0.32234432	-0.89524600
0.32967033	-0.34716467
0.33699634	-1.21392023
0.34432234	-1.90927478
0.35164835	-1.88320354
0.35897436	-2.13057961
0.36630037	-2.01974954
0.37362637	-1.68565978
0.38095238	-1.79338237
0.38827839	-2.04531471
0.39560440	-2.57697713
0.40293040	-3.16751027
0.41025641	-3.13269144
0.41758242	-3.06154456
0.42490843	-3.21908036
0.43223443	-3.49614839
0.43956044	-4.07436286
0.44688645	-4.42789071
0.45421245	-4.37079510
0.46153846	-4.57075947
0.46886447	-4.94991621
0.47619048	-5.11792370
0.48351648	-5.35740151
0.49084249	-6.00005726
