# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1 waveforms. Timestamp: 2019-11-06T07:28:20
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666660	0.00000000
-65.03333326	0.00000005
-64.99999993	-0.00000003
-64.96666660	0.00000043
-64.93333326	-0.00000042
-64.89999993	-0.00000187
-64.86666660	-0.00000231
-64.83333326	0.00000383
-64.79999993	-0.00000337
-64.76666660	0.00000253
-64.73333326	-0.00000823
-64.69999993	-0.00000822
-64.66666660	-0.00000906
-64.63333326	-0.00001438
-64.59999993	0.00002429
-64.56666660	-0.00001241
-64.53333327	-0.00001803
-64.49999993	-0.00001757
-64.46666660	0.00000287
-64.43333327	0.00000047
-64.39999993	0.00003299
-64.36666660	0.00002250
-64.33333327	0.00002102
-64.29999993	0.00004923
-64.26666660	0.00003116
-64.23333327	0.00004804
-64.19999993	0.00006545
-64.16666660	-0.00006556
-64.13333327	-0.00001225
-64.09999993	-0.00008174
-64.06666660	0.00002000
-64.03333327	0.00007915
-63.99999993	0.00004023
-63.96666660	-0.00003238
-63.93333327	0.00003489
-63.89999993	0.00002244
-63.86666660	0.00015922
-63.83333327	-0.00002596
-63.79999993	0.00005153
-63.76666660	0.00011893
-63.73333327	-0.00024037
-63.69999993	-0.00007232
-63.66666660	-0.00010595
-63.63333327	0.00000191
-63.59999993	-0.00019507
-63.56666660	0.00001551
-63.53333327	-0.00012277
-63.49999993	-0.00007653
-63.46666660	-0.00000258
-63.43333327	-0.00021944
-63.39999993	-0.00039562
-63.36666660	-0.00007173
-63.33333327	-0.00023903
-63.29999993	-0.00031289
-63.26666660	-0.00025648
-63.23333327	-0.00031279
-63.19999993	-0.00022539
-63.16666660	-0.00064972
-63.13333327	-0.00024900
-63.09999993	0.00010620
-63.06666660	-0.00006005
-63.03333327	-0.00032398
-62.99999993	0.00027531
-62.96666660	0.00019016
-62.93333327	0.00027223
-62.89999993	0.00003037
-62.86666660	-0.00081389
-62.83333327	-0.00053940
-62.79999993	-0.00007493
-62.76666660	-0.00038615
-62.73333327	-0.00039159
-62.69999993	0.00050252
-62.66666660	-0.00065491
-62.63333327	0.00036121
-62.59999993	-0.00027010
-62.56666660	-0.00027866
-62.53333327	-0.00020636
-62.49999993	-0.00053874
-62.46666660	-0.00086280
-62.43333327	0.00009066
-62.39999993	-0.00043229
-62.36666660	-0.00084414
-62.33333327	-0.00062894
-62.29999993	0.00066497
-62.26666660	0.00011858
-62.23333327	-0.00063297
-62.19999993	-0.00052626
-62.16666660	-0.00041585
-62.13333327	-0.00029498
-62.09999993	-0.00057757
-62.06666660	0.00016561
-62.03333327	0.00031623
-61.99999993	-0.00040636
-61.96666660	-0.00032010
-61.93333327	0.00045896
-61.89999993	-0.00054238
-61.86666660	-0.00009336
-61.83333327	0.00105970
-61.79999993	-0.00101853
-61.76666660	-0.00057951
-61.73333327	-0.00022198
-61.69999993	0.00021597
-61.66666660	-0.00072686
-61.63333327	0.00043408
-61.59999993	0.00036823
-61.56666660	0.00187195
-61.53333327	0.00142924
-61.49999993	0.00080297
-61.46666660	0.00025479
-61.43333327	0.00141111
-61.39999993	0.00047342
-61.36666660	-0.00010984
-61.33333327	0.00075904
-61.29999993	0.00072110
-61.26666660	0.00048070
-61.23333327	0.00060476
