# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1 waveforms. Timestamp: 2019-11-06T08:14:11
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-23.49211451
0.00732601	-29.95766343
0.01465201	-19.29012199
0.02197802	-18.63540440
0.02930403	-24.23298005
0.03663004	-25.75312760
0.04395604	-20.48705026
0.05128205	-15.81856862
0.05860806	-16.42771297
0.06593407	-15.28146175
0.07326007	-10.96700800
0.08058608	-14.25350561
0.08791209	-13.85328392
0.09523810	-5.89928290
0.10256410	-6.30439494
0.10989011	-14.40003762
0.11721612	-7.03072508
0.12454212	-4.41644502
0.13186813	-7.04386138
0.13919414	-5.92409430
0.14652015	-3.05876955
0.15384615	-4.62087045
0.16117216	-6.41634619
0.16849817	-2.84526222
0.17582418	-2.50730933
0.18315018	-3.77458692
0.19047619	-1.47053093
0.19780220	-0.47929286
0.20512821	-2.43862770
0.21245421	-3.73263613
0.21978022	-1.56083718
0.22710623	-0.39237285
0.23443223	-0.54670179
0.24175824	-0.66364804
0.24908425	-0.55280074
0.25641026	-1.52066896
0.26373626	-2.46594985
0.27106227	-0.95624239
0.27838828	0.00000000
0.28571429	-0.58206058
0.29304029	-0.98439680
0.30036630	-0.86520138
0.30769231	-1.65465236
0.31501831	-2.05167587
0.32234432	-0.76993295
0.32967033	-0.36944725
0.33699634	-1.25732988
0.34432234	-1.71877812
0.35164835	-1.76022943
0.35897436	-2.11113716
0.36630037	-1.91024119
0.37362637	-1.68081357
0.38095238	-1.86234697
0.38827839	-2.02540610
0.39560440	-2.64838528
0.40293040	-3.47311355
0.41025641	-3.43702577
0.41758242	-3.24307922
0.42490842	-3.35060130
0.43223443	-3.61282466
0.43956044	-4.15879043
0.44688645	-4.64152706
0.45421245	-4.82993012
0.46153846	-4.98840859
0.46886447	-5.17779788
0.47619048	-5.44427756
0.48351648	-5.72266407
0.49084249	-6.11072566
0.49816850	-6.61766882
0.50549451	-6.69658374
0.51282051	-6.62651689
0.52014652	-6.94066725
0.52747253	-7.47373812
0.53479853	-7.89495357
0.54212454	-8.09962510
0.54945055	-9.37038314
0.55677656	-12.13624949
0.56410256	-10.92699795
0.57142857	-9.06347109
0.57875458	-9.67337897
0.58608059	-10.28588050
0.59340659	-10.09702454
0.60073260	-10.72742892
0.60805861	-11.09499306
0.61538462	-11.18093707
0.62271062	-11.86824519
0.63003663	-12.17713204
0.63736264	-12.40160901
0.64468864	-13.06763779
0.65201465	-13.36873797
0.65934066	-13.79788716
0.66666667	-14.62648966
0.67399267	-14.98250362
0.68131868	-15.48697728
0.68864469	-16.48670571
0.69597070	-17.12828818
0.70329670	-17.74675374
0.71062271	-18.25868732
0.71794872	-18.21146606
0.72527473	-18.67163637
0.73260073	-19.63329274
0.73992674	-20.64874267
0.74725275	-22.58008305
0.75457875	-23.71561259
0.76190476	-22.67553974
0.76923077	-22.55809949
0.77655678	-23.52205361
0.78388278	-24.90186992
0.79120879	-26.05095318
0.79853480	-26.07736719
0.80586081	-26.77569893
0.81318681	-28.72681777
0.82051282	-28.02338809
0.82783883	-26.70625514
0.83516483	-27.68616828
0.84249084	-29.68587562
0.84981685	-31.27494665
0.85714286	-32.44819665
0.86446886	-32.35668398
0.87179487	-30.76285430
0.87912088	-29.96235673
0.88644689	-32.26555443
0.89377289	-37.02560646
0.90109890	-35.72704882
0.90842491	-35.52419190
0.91575092	-37.31604180
0.92307692	-38.36910162
0.93040293	-37.10843607
0.93772894	-34.99112938
0.94505494	-36.14184519
0.95238095	-44.12850138
0.95970696	-44.54463116
0.96703297	-41.66390599
0.97435897	-46.86913978
0.98168498	-48.98759988
0.98901099	-41.38408987
0.99633700	-40.20776098
1.00366300	-43.09318153
1.01098901	-45.25605194
1.01831502	-45.05168275
1.02564103	-55.79434871
1.03296703	-48.48662929
1.04029304	-44.53790232
1.04761905	-43.14191680
1.05494505	-42.46000965
1.06227106	-40.08812247
1.06959707	-40.65211112
1.07692308	-46.78030982
1.08424908	-44.20606993
1.09157509	-46.06339342
1.09890110	-60.06269752
1.10622711	-49.27980762
1.11355311	-48.67502825
1.12087912	-50.59044128
1.12820513	-47.86216431
1.13553114	-45.62893787
1.14285714	-51.44080700
1.15018315	-47.59151931
1.15750916	-43.83956987
1.16483516	-42.68988166
1.17216117	-46.34106471
1.17948718	-47.63742512
1.18681319	-50.73916633
1.19413919	-40.66638678
1.20146520	-42.53990938
1.20879121	-51.12769009
1.21611722	-45.12696273
1.22344322	-52.96756337
1.23076923	-54.19690243
1.23809524	-47.15777261
1.24542125	-44.27338967
1.25274725	-50.71449257
1.26007326	-47.54469675
1.26739927	-44.77112335
1.27472527	-48.04363971
1.28205128	-50.13916655
1.28937729	-49.27092379
1.29670330	-47.50109816
1.30402930	-45.09978548
1.31135531	-51.99589947
1.31868132	-49.84085123
1.32600733	-47.16850099
1.33333333	-42.14070569
1.34065934	-45.54264072
1.34798535	-60.60589079
1.35531136	-50.27827669
1.36263736	-47.30213842
1.36996337	-47.12599253
1.37728938	-58.06269824
1.38461538	-49.15181451
1.39194139	-47.72726784
1.39926740	-52.32494663
1.40659341	-38.93203168
1.41391941	-38.85352961
1.42124542	-49.46590036
1.42857143	-50.11322195
1.43589744	-47.29462169
1.44322344	-43.59879442
1.45054945	-53.60437112
1.45787546	-48.71167621
1.46520146	-53.11618997
1.47252747	-57.37306785
1.47985348	-48.26322724
1.48717949	-42.91999896
1.49450549	-46.77209319
1.50183150	-58.38934701
1.50915751	-51.32709729
1.51648352	-49.92592898
1.52380952	-46.24918786
1.53113553	-51.43638771
1.53846154	-45.93310552
1.54578755	-47.94368602
1.55311355	-46.66764502
1.56043956	-45.93714295
1.56776557	-42.32469272
1.57509157	-43.57345825
1.58241758	-50.42497215
1.58974359	-42.56087336
1.59706960	-46.91403646
1.60439560	-50.15483114
1.61172161	-45.90735727
1.61904762	-48.78905398
1.62637363	-44.24817404
1.63369963	-56.37470003
1.64102564	-46.46250018
1.64835165	-50.45658455
1.65567766	-49.58070295
1.66300366	-48.94029730
1.67032967	-51.54524746
1.67765568	-52.06714016
1.68498168	-43.75694063
1.69230769	-46.43273600
1.69963370	-53.10698032
1.70695971	-60.46651766
