# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1 waveforms. Timestamp: 2019-11-06T08:12:34
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666669	0.00000000
-65.03333335	0.00000002
-65.00000002	-0.00000013
-64.96666669	-0.00000079
-64.93333335	0.00000092
-64.90000002	-0.00000104
-64.86666669	-0.00000026
-64.83333335	-0.00000384
-64.80000002	0.00000597
-64.76666669	0.00000268
-64.73333335	0.00001225
-64.70000002	-0.00000528
-64.66666669	0.00001641
-64.63333335	0.00001152
-64.60000002	-0.00000502
-64.56666669	0.00001052
-64.53333335	0.00001056
-64.50000002	0.00002161
-64.46666669	0.00001924
-64.43333335	0.00002271
-64.40000002	-0.00003123
-64.36666669	-0.00001542
-64.33333335	-0.00003439
-64.30000002	-0.00006830
-64.26666669	0.00003215
-64.23333335	-0.00001011
-64.20000002	0.00000784
-64.16666669	-0.00008208
-64.13333335	-0.00006734
-64.10000002	-0.00002602
-64.06666669	-0.00001019
-64.03333335	-0.00004345
-64.00000002	-0.00000500
-63.96666669	-0.00008891
-63.93333335	0.00003346
-63.90000002	-0.00003374
-63.86666669	-0.00001611
-63.83333335	0.00009937
-63.80000002	-0.00008035
-63.76666669	-0.00019989
-63.73333335	-0.00001947
-63.70000002	-0.00011476
-63.66666669	-0.00003867
-63.63333335	-0.00002134
-63.60000002	-0.00023682
-63.56666669	-0.00025809
-63.53333335	-0.00016516
-63.50000002	0.00011299
-63.46666669	0.00022083
-63.43333335	-0.00010596
-63.40000002	0.00010741
-63.36666669	-0.00002533
-63.33333335	0.00023671
-63.30000002	0.00020245
-63.26666669	0.00017902
-63.23333335	-0.00006652
-63.20000002	0.00021327
-63.16666669	-0.00047747
-63.13333335	-0.00048971
-63.10000002	-0.00073874
-63.06666669	-0.00042796
-63.03333335	-0.00063563
-63.00000002	-0.00030555
-62.96666669	-0.00040489
-62.93333335	-0.00056122
-62.90000002	-0.00083446
-62.86666669	-0.00046709
-62.83333335	-0.00050561
-62.80000002	-0.00012866
-62.76666669	-0.00062211
-62.73333335	0.00046770
-62.70000002	-0.00026466
-62.66666669	-0.00035405
-62.63333335	0.00010460
-62.60000002	-0.00002679
-62.56666669	-0.00018015
-62.53333335	-0.00091527
-62.50000002	-0.00064533
-62.46666669	-0.00021619
-62.43333335	0.00018337
-62.40000002	-0.00000130
-62.36666669	-0.00025665
-62.33333335	0.00019200
-62.30000002	0.00009741
-62.26666669	0.00044840
-62.23333335	0.00013537
-62.20000002	-0.00061866
-62.16666669	-0.00015405
-62.13333335	0.00110246
-62.10000002	0.00017039
-62.06666669	0.00014895
-62.03333335	0.00109655
-62.00000002	-0.00079457
