# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1 waveforms. Timestamp: 2019-11-05T11:01:05
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666660	0.00000000
-65.03333327	0.00000003
-64.99999993	0.00000014
-64.96666660	-0.00000009
-64.93333327	0.00000106
-64.89999993	-0.00000285
-64.86666660	-0.00000246
-64.83333327	-0.00000211
-64.79999993	-0.00000126
-64.76666660	-0.00000116
-64.73333327	-0.00000264
-64.69999993	0.00000141
-64.66666660	0.00000028
-64.63333327	-0.00001600
-64.59999993	0.00001930
-64.56666660	0.00000309
-64.53333327	-0.00001862
-64.49999993	0.00004897
-64.46666660	0.00000252
-64.43333327	0.00002998
-64.39999993	0.00000793
-64.36666660	0.00001514
-64.33333327	0.00002820
-64.29999993	-0.00001544
-64.26666660	0.00003231
-64.23333327	-0.00001159
-64.19999993	-0.00000286
-64.16666660	-0.00005883
-64.13333327	-0.00004151
-64.09999993	-0.00004182
-64.06666660	0.00002840
-64.03333327	0.00009662
-63.99999993	-0.00008307
-63.96666660	-0.00000977
-63.93333327	0.00003294
-63.89999993	-0.00003182
-63.86666660	0.00002694
-63.83333327	-0.00002630
-63.79999993	-0.00022893
-63.76666660	-0.00023834
-63.73333327	-0.00029073
-63.69999993	-0.00020054
-63.66666660	-0.00010404
-63.63333327	-0.00017436
-63.59999993	-0.00020762
-63.56666660	-0.00022214
-63.53333327	-0.00030735
-63.49999993	-0.00019922
-63.46666660	-0.00014239
-63.43333327	-0.00007085
-63.39999993	-0.00006708
-63.36666660	-0.00015475
-63.33333327	-0.00034549
-63.29999993	-0.00007178
-63.26666660	-0.00024707
-63.23333327	-0.00013518
-63.19999993	-0.00002455
-63.16666660	0.00001572
-63.13333327	-0.00015567
-63.09999993	-0.00002167
-63.06666660	-0.00001241
-63.03333327	0.00006346
-62.99999993	0.00012038
-62.96666660	0.00025731
-62.93333327	-0.00006048
-62.89999993	0.00002565
-62.86666660	0.00007506
-62.83333327	-0.00014679
-62.79999993	-0.00013572
-62.76666660	-0.00028446
-62.73333327	-0.00040088
-62.69999993	-0.00062473
-62.66666660	0.00013304
-62.63333327	0.00017759
-62.59999993	-0.00079858
-62.56666660	0.00028689
-62.53333327	-0.00081822
-62.49999993	-0.00063951
-62.46666660	0.00017948
-62.43333327	0.00029411
-62.39999993	0.00025684
-62.36666660	0.00019217
-62.33333327	-0.00000955
-62.29999993	-0.00071990
-62.26666660	-0.00041463
-62.23333327	0.00015781
-62.19999993	0.00021100
-62.16666660	-0.00009618
-62.13333327	-0.00069883
-62.09999993	-0.00009670
-62.06666660	-0.00047367
-62.03333327	0.00011984
-61.99999993	-0.00009126
-61.96666660	-0.00007346
-61.93333327	-0.00011677
-61.89999993	0.00088679
-61.86666660	0.00003936
-61.83333327	-0.00026224
-61.79999993	0.00028029
-61.76666660	-0.00083831
-61.73333327	-0.00046092
-61.69999993	-0.00015136
-61.66666660	0.00031514
-61.63333327	-0.00049086
-61.59999994	0.00071012
-61.56666660	-0.00072704
-61.53333327	-0.00080093
-61.49999994	-0.00050945
-61.46666660	0.00049905
-61.43333327	0.00100800
-61.39999994	0.00082483
-61.36666660	-0.00006251
-61.33333327	-0.00071775
-61.29999994	0.00182063
-61.26666660	0.00184392
-61.23333327	0.00044676
-61.19999994	0.00092849
-61.16666660	0.00075377
-61.13333327	-0.00020020
-61.09999994	0.00093724
-61.06666660	0.00159978
-61.03333327	0.00003732
-60.99999994	0.00005565
-60.96666660	0.00034527
-60.93333327	0.00106171
-60.89999994	0.00037187
-60.86666660	0.00259606
-60.83333327	0.00152345
-60.79999994	0.00113991
-60.76666660	0.00173874
-60.73333327	-0.00023830
-60.69999994	0.00230026
-60.66666660	0.00198461
-60.63333327	0.00068744
-60.59999994	0.00210310
-60.56666660	0.00102362
-60.53333327	0.00276001
-60.49999994	0.00220468
-60.46666660	0.00186942
-60.43333327	0.00183678
-60.39999994	0.00091657
-60.36666660	-0.00087137
-60.33333327	-0.00098076
-60.29999994	0.00093038
-60.26666660	-0.00217247
-60.23333327	0.00025597
-60.19999994	-0.00136684
-60.16666660	0.00041450
-60.13333327	0.00022684
-60.09999994	-0.00227806
-60.06666660	-0.00103681
-60.03333327	-0.00106979
-59.99999994	0.00129939
-59.96666660	-0.00157084
-59.93333327	-0.00077149
-59.89999994	0.00177729
