# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1 waveforms. Timestamp: 2019-11-05T11:01:14
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-26.06414129
0.00732601	-20.75984179
0.01465201	-19.01004602
0.02197802	-22.64717394
0.02930403	-31.24577595
0.03663004	-22.84451083
0.04395604	-19.50918881
0.05128205	-14.50248045
0.05860806	-15.37972621
0.06593407	-15.17116919
0.07326007	-9.52090375
0.08058608	-12.39227019
0.08791209	-19.33357773
0.09523810	-7.69171436
0.10256410	-7.42962872
0.10989011	-12.36943561
0.11721612	-6.05277166
0.12454212	-3.73857636
0.13186813	-7.33861837
0.13919414	-8.77130041
0.14652015	-4.91533207
0.15384615	-6.61989461
0.16117216	-5.69167056
0.16849817	-1.40772980
0.17582418	-1.30354262
0.18315018	-4.04287176
0.19047619	-3.14652953
0.19780220	-1.95126917
0.20512821	-3.52342648
0.21245421	-3.59978291
0.21978022	-1.11260536
0.22710623	0.00000000
0.23443223	-0.14469573
0.24175824	-0.50812368
0.24908425	-0.77070765
0.25641026	-1.57801488
0.26373626	-2.26493567
0.27106227	-1.32906437
0.27838828	-0.56257712
0.28571429	-0.70374058
0.29304029	-0.49659461
0.30036630	-0.23123675
0.30769231	-1.10670630
0.31501832	-2.18337416
0.32234432	-1.64685496
0.32967033	-1.32310964
0.33699634	-1.83246485
0.34432234	-1.48038876
0.35164835	-0.95098117
0.35897436	-1.39799278
0.36630037	-2.03146305
0.37362637	-2.39515609
0.38095238	-2.71915628
0.38827839	-2.55970678
0.39560440	-2.37726118
0.40293040	-2.47965878
0.41025641	-2.47600592
0.41758242	-2.75532444
0.42490843	-3.38282637
0.43223443	-3.81399334
0.43956044	-4.13412305
0.44688645	-4.23702142
0.45421245	-4.08296266
0.46153846	-4.09066967
0.46886447	-4.31328913
0.47619048	-4.69228718
0.48351648	-5.01036011
0.49084249	-5.37708469
0.49816850	-5.90612616
0.50549451	-5.87056565
0.51282051	-5.68317998
0.52014652	-5.97326561
0.52747253	-6.36707403
0.53479854	-6.71743178
0.54212454	-7.01382001
0.54945055	-8.24824109
0.55677656	-10.80769749
0.56410256	-9.66967463
0.57142857	-7.87414309
0.57875458	-8.30529361
0.58608059	-8.68267761
0.59340659	-8.47423785
0.60073260	-9.11816902
0.60805861	-9.48041878
0.61538462	-9.53722332
0.62271062	-10.10380884
0.63003663	-10.10240779
0.63736264	-10.18722444
0.64468865	-11.02316847
0.65201465	-11.41630189
0.65934066	-11.72155846
0.66666667	-12.47283227
0.67399267	-12.72446701
0.68131868	-12.99978580
0.68864469	-13.77269328
0.69597070	-14.38582572
0.70329670	-15.02747016
0.71062271	-15.67765280
0.71794872	-16.08304389
0.72527473	-16.68334443
0.73260073	-17.05359246
0.73992674	-17.53423356
0.74725275	-19.48507112
0.75457876	-20.67536655
0.76190476	-19.29254512
0.76923077	-19.48852953
0.77655678	-20.62788242
0.78388278	-20.87550941
0.79120879	-21.80972155
0.79853480	-22.72149965
0.80586081	-22.30771968
0.81318681	-22.64313643
0.82051282	-23.93790993
0.82783883	-24.97056119
0.83516484	-25.57672072
0.84249084	-25.91396894
0.84981685	-26.22642687
0.85714286	-26.66606515
0.86446887	-27.43391092
0.87179487	-28.82557157
0.87912088	-29.78110183
0.88644689	-29.68074198
0.89377289	-30.13737549
0.90109890	-31.42695176
0.90842491	-32.30030759
0.91575092	-32.40719300
0.92307692	-32.84437709
0.93040293	-32.84462497
0.93772894	-31.85556915
0.94505495	-32.65441204
0.95238095	-34.33874730
0.95970696	-32.99247459
0.96703297	-33.50300920
0.97435898	-37.34739809
0.98168498	-41.05067957
0.98901099	-40.50926978
0.99633700	-40.35543964
1.00366300	-40.47720060
1.01098901	-40.05638394
1.01831502	-40.14462260
1.02564103	-41.78461289
1.03296703	-46.75098252
1.04029304	-42.82700844
1.04761905	-37.14239209
1.05494506	-37.26981775
1.06227106	-45.26373208
1.06959707	-42.31708478
1.07692308	-41.52096338
1.08424909	-48.85130579
1.09157509	-60.35883012
1.09890110	-48.86294578
1.10622711	-49.68126133
1.11355311	-58.16970523
1.12087912	-54.54180501
1.12820513	-49.97096152
1.13553114	-44.14036201
1.14285714	-44.10988233
1.15018315	-54.00789378
1.15750916	-48.81982062
1.16483517	-49.10236977
1.17216117	-56.72029206
1.17948718	-45.03564154
1.18681319	-44.88476494
1.19413920	-45.01929673
1.20146520	-45.67509121
1.20879121	-48.38316193
1.21611722	-42.62818484
1.22344322	-44.11562824
1.23076923	-46.00489894
1.23809524	-41.11587173
1.24542125	-46.51421637
1.25274725	-51.08403276
1.26007326	-53.02415967
1.26739927	-54.14987325
1.27472528	-50.41881025
1.28205128	-51.75011943
1.28937729	-50.53581466
1.29670330	-54.74097758
1.30402931	-58.94154451
1.31135531	-65.87349940
1.31868132	-52.04780022
1.32600733	-47.12847905
1.33333333	-52.91677978
1.34065934	-54.69732158
1.34798535	-45.92860624
1.35531136	-44.11819505
1.36263736	-54.88740980
1.36996337	-44.89134661
1.37728938	-45.23978872
1.38461539	-53.27541238
1.39194139	-51.08509581
1.39926740	-48.10815582
1.40659341	-59.53824686
1.41391942	-48.29070009
1.42124542	-59.20898370
1.42857143	-45.84562684
1.43589744	-52.78708770
1.44322344	-49.80987190
1.45054945	-54.99404407
1.45787546	-42.38458238
1.46520147	-44.13155199
1.47252747	-55.63546556
1.47985348	-57.34137738
1.48717949	-58.02956960
1.49450550	-48.90781029
1.50183150	-47.01616205
1.50915751	-50.50196644
1.51648352	-40.26637856
1.52380953	-43.55678095
1.53113553	-52.61705786
1.53846154	-46.36292264
1.54578755	-49.25457904
1.55311355	-51.03620073
1.56043956	-49.24734192
1.56776557	-48.09147946
1.57509158	-47.93078514
1.58241758	-49.64393360
1.58974359	-50.06578305
1.59706960	-56.85957114
1.60439561	-44.52783365
1.61172161	-46.66965221
1.61904762	-54.14809102
1.62637363	-47.14027431
