# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1 waveforms. Timestamp: 2019-11-05T11:53:03
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666660	0.00000000
-65.03333327	-0.00000008
-64.99999993	-0.00000038
-64.96666660	-0.00000017
-64.93333327	0.00000201
-64.89999993	0.00000185
-64.86666660	0.00000125
-64.83333327	0.00000662
-64.79999993	0.00000224
-64.76666660	0.00000248
-64.73333327	-0.00000635
-64.69999993	0.00002375
-64.66666660	-0.00000093
-64.63333327	0.00000632
-64.59999993	0.00001494
-64.56666660	0.00000846
-64.53333327	-0.00000366
-64.49999993	-0.00002963
-64.46666660	0.00000068
-64.43333327	-0.00006321
-64.39999993	-0.00004882
-64.36666660	-0.00001363
-64.33333327	-0.00003637
-64.29999993	-0.00000492
-64.26666660	0.00003106
-64.23333327	0.00000015
-64.19999993	-0.00001273
-64.16666660	-0.00006654
-64.13333327	0.00001235
-64.09999993	-0.00002838
-64.06666660	0.00005617
-64.03333327	-0.00005973
-63.99999993	0.00004880
-63.96666660	0.00007158
-63.93333327	0.00002015
-63.89999993	-0.00000553
-63.86666660	0.00018672
-63.83333327	-0.00000449
-63.79999993	0.00005756
-63.76666660	-0.00002328
-63.73333327	0.00008863
-63.69999993	-0.00014181
-63.66666660	-0.00020499
-63.63333327	0.00011940
-63.59999993	0.00019596
-63.56666660	-0.00000472
-63.53333327	0.00001342
-63.49999993	0.00004902
-63.46666660	-0.00001832
-63.43333327	0.00014949
-63.39999993	0.00007280
-63.36666660	0.00006598
-63.33333327	0.00015111
-63.29999993	-0.00010323
-63.26666660	-0.00009255
-63.23333327	-0.00009773
-63.19999993	0.00008209
-63.16666660	-0.00040051
-63.13333327	0.00013643
-63.09999993	-0.00036009
-63.06666660	0.00019505
-63.03333327	0.00012505
-62.99999993	0.00014184
-62.96666660	-0.00024512
-62.93333327	-0.00058535
-62.89999993	-0.00022251
-62.86666660	0.00019450
-62.83333327	-0.00000371
-62.79999993	0.00022776
-62.76666660	0.00029690
-62.73333327	0.00046955
-62.69999993	0.00052652
-62.66666660	-0.00011683
-62.63333327	0.00005630
-62.59999993	-0.00010051
-62.56666660	-0.00038385
-62.53333327	-0.00028702
-62.49999993	-0.00015099
-62.46666660	-0.00028187
-62.43333327	-0.00075976
-62.39999993	-0.00043269
-62.36666660	-0.00034361
-62.33333327	-0.00057688
-62.29999993	-0.00010774
-62.26666660	0.00000939
-62.23333327	-0.00001849
-62.19999993	-0.00045990
-62.16666660	-0.00015499
-62.13333327	-0.00036826
-62.09999993	0.00029789
-62.06666660	0.00025443
-62.03333327	-0.00005790
-61.99999993	-0.00004083
-61.96666660	-0.00032462
-61.93333327	-0.00053523
-61.89999993	-0.00027749
-61.86666660	0.00034361
-61.83333327	-0.00093135
-61.79999993	-0.00033886
-61.76666660	-0.00041812
-61.73333327	-0.00042628
-61.69999993	0.00004783
-61.66666660	-0.00141396
-61.63333327	-0.00038503
-61.59999994	-0.00046786
-61.56666660	-0.00103509
-61.53333327	-0.00009175
-61.49999994	0.00014471
-61.46666660	0.00095584
-61.43333327	0.00022496
-61.39999994	-0.00124259
-61.36666660	-0.00081657
-61.33333327	-0.00135590
-61.29999994	-0.00111235
-61.26666660	0.00002579
-61.23333327	-0.00028954
-61.19999994	-0.00184390
-61.16666660	-0.00032705
-61.13333327	-0.00100047
-61.09999994	0.00007170
-61.06666660	0.00037614
-61.03333327	-0.00027285
-60.99999994	-0.00222552
-60.96666660	0.00056726
-60.93333327	0.00004843
-60.89999994	-0.00089076
-60.86666660	-0.00062064
-60.83333327	0.00040982
-60.79999994	-0.00038940
-60.76666660	-0.00048018
-60.73333327	-0.00048579
-60.69999994	-0.00044332
-60.66666660	-0.00077707
-60.63333327	-0.00048689
-60.59999994	-0.00254936
-60.56666660	-0.00104761
-60.53333327	-0.00066177
-60.49999994	-0.00049838
-60.46666660	-0.00101501
-60.43333327	-0.00078346
-60.39999994	-0.00006643
-60.36666660	-0.00189473
-60.33333327	-0.00178433
-60.29999994	-0.00216644
-60.26666660	-0.00047752
-60.23333327	-0.00064902
-60.19999994	-0.00144698
-60.16666660	-0.00057557
-60.13333327	0.00020228
-60.09999994	-0.00267387
-60.06666660	-0.00264792
-60.03333327	-0.00244641
-59.99999994	-0.00087364
-59.96666660	-0.00225119
-59.93333327	-0.00025412
-59.89999994	-0.00129669
-59.86666660	-0.00178501
-59.83333327	-0.00023579
-59.79999994	-0.00078422
-59.76666660	-0.00195249
-59.73333327	-0.00122930
-59.69999994	-0.00085443
-59.66666660	-0.00082987
-59.63333327	-0.00196347
-59.59999994	-0.00219058
-59.56666660	0.00013949
-59.53333327	-0.00277590
-59.49999994	-0.00278646
-59.46666660	-0.00450327
-59.43333327	-0.00068870
-59.39999994	-0.00234216
-59.36666660	-0.00149881
-59.33333327	-0.00067412
-59.29999994	-0.00253202
-59.26666660	-0.00234290
-59.23333327	-0.00203078
-59.19999994	-0.00315728
-59.16666660	-0.00093794
-59.13333327	-0.00113999
-59.09999994	-0.00153264
-59.06666660	-0.00229615
-59.03333327	-0.00255003
-58.99999994	-0.00131428
-58.96666660	-0.00194897
-58.93333327	-0.00313339
-58.89999994	-0.00162828
-58.86666660	-0.00470495
-58.83333327	-0.00358912
-58.79999994	-0.00374597
-58.76666660	-0.00342292
-58.73333327	-0.00469350
-58.69999994	-0.00375244
-58.66666660	-0.00239182
-58.63333327	-0.00282392
-58.59999994	-0.00329152
-58.56666660	-0.00620610
-58.53333327	-0.00699901
-58.49999994	-0.00566645
-58.46666660	-0.00629895
-58.43333327	-0.00083768
-58.39999994	0.00074750
-58.36666660	-0.00243341
-58.33333327	-0.00402431
-58.29999994	-0.00306266
-58.26666660	-0.00407506
-58.23333327	-0.00397496
-58.19999994	-0.00200682
-58.16666660	-0.00466230
-58.13333327	-0.00118453
-58.09999994	0.00122192
-58.06666660	-0.00027632
-58.03333327	-0.00246521
-57.99999994	-0.00142425
-57.96666660	0.00150521
-57.93333327	-0.00144516
-57.89999994	-0.00272167
-57.86666660	0.00138237
-57.83333327	-0.00042576
-57.79999994	0.00044471
-57.76666660	-0.00065803
-57.73333327	-0.00113515
-57.69999994	-0.00285835
-57.66666660	-0.00248478
-57.63333327	-0.00182114
-57.59999994	-0.00316202
-57.56666660	-0.00405615
-57.53333327	-0.00269491
-57.49999994	-0.00189750
-57.46666661	-0.00308482
-57.43333327	-0.00103203
-57.39999994	-0.00172626
-57.36666661	-0.00252605
-57.33333327	-0.00097041
-57.29999994	-0.00252046
-57.26666661	-0.00179718
-57.23333327	-0.00405381
-57.19999994	-0.00187201
-57.16666661	-0.00321616
-57.13333327	-0.00122618
-57.09999994	-0.00291496
-57.06666661	-0.00339972
-57.03333327	-0.00324431
-56.99999994	-0.00389611
-56.96666661	-0.00105902
-56.93333327	-0.00042946
-56.89999994	-0.00169708
-56.86666661	-0.00200502
-56.83333327	-0.00051429
-56.79999994	0.00059352
-56.76666661	-0.00072012
-56.73333327	-0.00038780
-56.69999994	0.00003660
-56.66666661	0.00020215
-56.63333327	-0.00146740
-56.59999994	0.00121183
-56.56666661	-0.00016689
-56.53333327	-0.00052664
-56.49999994	-0.00126287
-56.46666661	-0.00029778
-56.43333327	0.00212882
-56.39999994	-0.00166667
-56.36666661	0.00076233
-56.33333327	-0.00285775
-56.29999994	-0.00080885
-56.26666661	0.00091204
-56.23333327	-0.00137820
-56.19999994	-0.00053721
-56.16666661	-0.00108074
-56.13333327	-0.00273430
-56.09999994	-0.00227360
-56.06666661	-0.00053196
-56.03333327	-0.00157578
-55.99999994	-0.00102027
-55.96666661	-0.00198451
-55.93333327	-0.00147331
-55.89999994	-0.00493801
-55.86666661	-0.00147770
-55.83333327	-0.00365692
-55.79999994	-0.00272399
-55.76666661	-0.00204104
-55.73333327	-0.00011696
-55.69999994	-0.00193958
-55.66666661	0.00082732
