# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1 waveforms. Timestamp: 2019-11-05T11:53:41
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-41.06729486
0.00732601	-22.54388351
0.01465201	-18.78764847
0.02197802	-22.15857901
0.02930403	-29.10809233
0.03663004	-27.37117575
0.04395604	-19.43540777
0.05128205	-13.03229438
0.05860806	-13.94096157
0.06593407	-15.01199833
0.07326007	-8.79860715
0.08058608	-10.07036640
0.08791209	-16.87122953
0.09523810	-6.89523533
0.10256410	-6.59764467
0.10989011	-14.91952792
0.11721612	-5.21126998
0.12454212	-2.50910958
0.13186813	-5.93884175
0.13919414	-8.27881768
0.14652015	-4.26134965
0.15384615	-5.08222428
0.16117216	-3.85676743
0.16849817	-0.89689552
0.17582418	-1.92761514
0.18315018	-5.92993682
0.19047619	-3.26836576
0.19780220	-1.03558552
0.20512821	-1.53020873
0.21245421	-2.09891549
0.21978022	-1.46360095
0.22710623	-1.53262971
0.23443223	-2.14806592
0.24175824	-1.19864923
0.24908425	0.00000000
0.25641026	-0.53359319
0.26373626	-2.03774735
0.27106227	-1.94039595
0.27838828	-1.42404890
0.28571429	-1.46563314
0.29304029	-0.97922985
0.30036630	-0.74925658
0.30769231	-1.85812963
0.31501832	-2.80583585
0.32234432	-1.77891657
0.32967033	-1.15252795
0.33699634	-1.68603492
0.34432234	-2.11075819
0.35164835	-2.21687156
0.35897436	-2.59549405
0.36630037	-2.47936574
0.37362637	-2.19772184
0.38095238	-2.38536504
0.38827839	-2.49300308
0.39560440	-2.78416920
0.40293040	-3.41353410
0.41025641	-3.50711902
0.41758242	-3.55389536
0.42490843	-3.98374040
0.43223443	-4.33486957
0.43956044	-4.77008211
0.44688645	-5.06133204
0.45421245	-5.01107093
0.46153846	-5.43874690
0.46886447	-6.23674484
0.47619048	-6.48484707
0.48351648	-6.50089969
0.49084249	-7.00726394
0.49816850	-7.59438270
0.50549451	-7.67226367
0.51282051	-8.02223176
0.52014652	-8.92171358
0.52747253	-9.35516775
0.53479854	-9.34285746
0.54212454	-9.86844311
0.54945055	-11.68457179
0.55677656	-14.11024915
0.56410256	-12.80118298
0.57142857	-11.39917378
0.57875458	-12.01118649
0.58608059	-12.37938630
0.59340659	-12.25054284
0.60073260	-13.15575424
0.60805861	-13.49227617
0.61538462	-13.55471041
0.62271062	-14.52931516
0.63003663	-14.61054073
0.63736264	-14.65453553
0.64468865	-15.69518279
0.65201465	-15.80848744
0.65934066	-15.87710317
0.66666667	-16.86179821
0.67399267	-17.37060012
0.68131868	-17.94760496
0.68864469	-18.74137885
0.69597070	-19.01206668
0.70329670	-19.70888133
0.71062271	-20.33798942
0.71794872	-20.45931301
0.72527473	-21.26706320
0.73260073	-22.30433824
0.73992674	-23.14392974
0.74725275	-24.77360335
0.75457876	-26.19770622
0.76190476	-25.88473513
0.76923077	-26.02736102
0.77655678	-27.80589678
0.78388278	-29.43869892
0.79120879	-29.33104473
0.79853480	-30.60549555
0.80586081	-32.25499491
0.81318681	-30.93820407
0.82051282	-30.95063508
0.82783883	-32.43729793
0.83516484	-32.57520808
0.84249084	-32.37789951
0.84981685	-31.96504812
0.85714286	-32.66478121
0.86446887	-35.34168589
0.87179487	-34.70661961
0.87912088	-34.48441614
0.88644689	-38.59305155
0.89377289	-46.82646497
0.90109890	-40.78597559
0.90842491	-43.57864977
0.91575092	-41.44985357
0.92307692	-41.83792559
0.93040293	-43.97636566
0.93772894	-43.34643531
0.94505495	-45.38169038
0.95238095	-58.35725545
0.95970696	-46.87170962
0.96703297	-44.24240836
0.97435898	-45.40749617
0.98168498	-65.27230769
0.98901099	-50.20849902
