# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-06T13:47:25
# Time [ps]	THz Signal [a.u.]
-65.06666597	0.00000000
-65.03333264	0.00000002
-64.99999931	0.00000005
-64.96666597	0.00000012
-64.93333264	0.00000019
-64.89999931	0.00000030
-64.86666598	0.00000032
-64.83333264	0.00000050
-64.79999931	0.00000044
-64.76666598	0.00000060
-64.73333264	0.00000007
-64.69999931	0.00000102
-64.66666598	0.00000014
-64.63333264	-0.00000017
-64.59999931	0.00000005
-64.56666598	-0.00000062
-64.53333265	-0.00000074
-64.49999931	0.00000010
-64.46666598	-0.00000043
-64.43333265	-0.00000180
-64.39999931	-0.00000350
-64.36666598	-0.00000191
-64.33333265	-0.00000426
-64.29999931	-0.00000402
-64.26666598	-0.00000784
-64.23333265	-0.00000790
-64.19999931	-0.00000724
-64.16666598	-0.00001169
-64.13333265	-0.00001372
-64.09999932	-0.00001611
-64.06666598	-0.00001520
-64.03333265	-0.00002023
-63.99999932	-0.00002220
-63.96666598	-0.00002433
-63.93333265	-0.00002931
-63.89999932	-0.00003502
-63.86666598	-0.00003401
-63.83333265	-0.00004455
-63.79999932	-0.00004281
-63.76666599	-0.00004633
-63.73333265	-0.00005330
-63.69999932	-0.00005614
-63.66666599	-0.00006201
-63.63333265	-0.00006579
-63.59999932	-0.00007411
-63.56666599	-0.00007882
-63.53333265	-0.00008081
-63.49999932	-0.00008400
-63.46666599	-0.00009344
-63.43333265	-0.00010121
-63.39999932	-0.00010974
-63.36666599	-0.00010533
-63.33333266	-0.00012153
-63.29999932	-0.00012788
-63.26666599	-0.00013698
-63.23333266	-0.00014363
-63.19999932	-0.00014503
-63.16666599	-0.00015499
-63.13333266	-0.00014480
-63.09999932	-0.00017192
-63.06666599	-0.00016814
-63.03333266	-0.00018169
-62.99999932	-0.00017018
-62.96666599	-0.00016292
-62.93333266	-0.00017981
-62.89999933	-0.00016117
-62.86666599	-0.00016085
-62.83333266	-0.00016980
-62.79999933	-0.00014718
-62.76666599	-0.00017255
-62.73333266	-0.00016616
-62.69999933	-0.00014711
-62.66666599	-0.00016071
-62.63333266	-0.00014632
-62.59999933	-0.00015122
-62.56666600	-0.00012904
-62.53333266	-0.00014470
-62.49999933	-0.00010220
-62.46666600	-0.00011248
-62.43333266	-0.00009533
-62.39999933	-0.00007966
-62.36666600	-0.00006763
-62.33333266	-0.00006029
-62.29999933	-0.00001328
-62.26666600	0.00000315
-62.23333266	0.00003424
-62.19999933	0.00004810
-62.16666600	0.00002776
-62.13333267	0.00006788
-62.09999933	0.00008504
-62.06666600	0.00012136
-62.03333267	0.00014772
-61.99999933	0.00016678
-61.96666600	0.00015734
-61.93333267	0.00021059
-61.89999933	0.00024720
-61.86666600	0.00030161
-61.83333267	0.00027040
-61.79999934	0.00033723
-61.76666600	0.00039124
-61.73333267	0.00040882
-61.69999934	0.00045503
-61.66666600	0.00049497
-61.63333267	0.00056147
-61.59999934	0.00051326
-61.56666600	0.00059875
-61.53333267	0.00063684
-61.49999934	0.00066740
-61.46666600	0.00072834
-61.43333267	0.00073339
-61.39999934	0.00073566
-61.36666601	0.00083091
-61.33333267	0.00083233
-61.29999934	0.00091678
-61.26666601	0.00091504
-61.23333267	0.00096403
-61.19999934	0.00094680
-61.16666601	0.00105332
-61.13333267	0.00109158
-61.09999934	0.00102633
-61.06666601	0.00108907
-61.03333268	0.00113540
-60.99999934	0.00112114
-60.96666601	0.00121321
-60.93333268	0.00115225
-60.89999934	0.00121878
-60.86666601	0.00123628
-60.83333268	0.00127107
-60.79999934	0.00128579
-60.76666601	0.00135021
-60.73333268	0.00132215
-60.69999934	0.00126090
-60.66666601	0.00132778
-60.63333268	0.00123875
-60.59999935	0.00130586
-60.56666601	0.00135801
-60.53333268	0.00119718
-60.49999935	0.00127618
-60.46666601	0.00125591
-60.43333268	0.00117808
-60.39999935	0.00113475
-60.36666601	0.00110858
-60.33333268	0.00109041
-60.29999935	0.00106098
-60.26666602	0.00098378
-60.23333268	0.00091294
-60.19999935	0.00086638
-60.16666602	0.00077543
-60.13333268	0.00074153
-60.09999935	0.00062974
-60.06666602	0.00054542
-60.03333268	0.00054584
-59.99999935	0.00035605
-59.96666602	0.00035320
-59.93333268	0.00025708
-59.89999935	0.00010826
-59.86666602	0.00002396
-59.83333269	-0.00018905
-59.79999935	-0.00028192
-59.76666602	-0.00036407
-59.73333269	-0.00044954
-59.69999935	-0.00062823
-59.66666602	-0.00069372
-59.63333269	-0.00087292
-59.59999935	-0.00095082
-59.56666602	-0.00108977
-59.53333269	-0.00116552
-59.49999936	-0.00126006
-59.46666602	-0.00129548
-59.43333269	-0.00150442
-59.39999936	-0.00148998
-59.36666602	-0.00154135
-59.33333269	-0.00167166
-59.29999936	-0.00173995
-59.26666602	-0.00166882
-59.23333269	-0.00168355
-59.19999936	-0.00186936
-59.16666602	-0.00189867
-59.13333269	-0.00193702
-59.09999936	-0.00187058
-59.06666603	-0.00184171
-59.03333269	-0.00176487
-58.99999936	-0.00188569
-58.96666603	-0.00186112
-58.93333269	-0.00178725
-58.89999936	-0.00187592
-58.86666603	-0.00183891
-58.83333269	-0.00180148
-58.79999936	-0.00181202
-58.76666603	-0.00179257
-58.73333270	-0.00168584
-58.69999936	-0.00166969
-58.66666603	-0.00162853
-58.63333270	-0.00154227
-58.59999936	-0.00146323
-58.56666603	-0.00145121
-58.53333270	-0.00138517
-58.49999936	-0.00136011
-58.46666603	-0.00139895
-58.43333270	-0.00126609
-58.39999936	-0.00115350
-58.36666603	-0.00116317
-58.33333270	-0.00109711
-58.29999937	-0.00098442
-58.26666603	-0.00097495
-58.23333270	-0.00090098
-58.19999937	-0.00091248
-58.16666603	-0.00086810
-58.13333270	-0.00095933
-58.09999937	-0.00092040
-58.06666603	-0.00088542
-58.03333270	-0.00088112
-57.99999937	-0.00082135
-57.96666604	-0.00092748
-57.93333270	-0.00086010
-57.89999937	-0.00074999
-57.86666604	-0.00089763
-57.83333270	-0.00087745
-57.79999937	-0.00082696
-57.76666604	-0.00096673
-57.73333270	-0.00082322
-57.69999937	-0.00084705
-57.66666604	-0.00089627
-57.63333270	-0.00084416
-57.59999937	-0.00085640
-57.56666604	-0.00092770
-57.53333271	-0.00093941
-57.49999937	-0.00089480
-57.46666604	-0.00090644
-57.43333271	-0.00067376
-57.39999937	-0.00090223
-57.36666604	-0.00088424
-57.33333271	-0.00094248
-57.29999937	-0.00084206
-57.26666604	-0.00083325
-57.23333271	-0.00087611
-57.19999938	-0.00093170
-57.16666604	-0.00075130
-57.13333271	-0.00072144
-57.09999938	-0.00069874
-57.06666604	-0.00061659
-57.03333271	-0.00059820
-56.99999938	-0.00052991
-56.96666604	-0.00045235
-56.93333271	-0.00039169
-56.89999938	-0.00022322
-56.86666604	-0.00014459
-56.83333271	-0.00012488
-56.79999938	-0.00006020
-56.76666605	-0.00001189
-56.73333271	0.00014317
-56.69999938	0.00015906
-56.66666605	0.00023935
-56.63333271	0.00030193
-56.59999938	0.00037140
-56.56666605	0.00030588
-56.53333271	0.00046993
-56.49999938	0.00034792
-56.46666605	0.00048180
-56.43333271	0.00058965
-56.39999938	0.00046060
-56.36666605	0.00041145
-56.33333272	0.00042919
-56.29999938	0.00054184
-56.26666605	0.00056357
-56.23333272	0.00062662
-56.19999938	0.00068417
-56.16666605	0.00077843
-56.13333272	0.00072129
-56.09999938	0.00091314
-56.06666605	0.00087727
-56.03333272	0.00087375
-55.99999939	0.00076343
-55.96666605	0.00084133
-55.93333272	0.00086940
-55.89999939	0.00090617
-55.86666605	0.00094179
-55.83333272	0.00099212
-55.79999939	0.00104319
-55.76666605	0.00095212
-55.73333272	0.00108680
-55.69999939	0.00117708
-55.66666605	0.00112336
-55.63333272	0.00124560
-55.59999939	0.00118641
-55.56666606	0.00125945
-55.53333272	0.00118154
-55.49999939	0.00121330
-55.46666606	0.00121961
-55.43333272	0.00130449
-55.39999939	0.00125047
-55.36666606	0.00131326
-55.33333272	0.00132485
-55.29999939	0.00144586
-55.26666606	0.00142705
-55.23333273	0.00141013
-55.19999939	0.00141057
-55.16666606	0.00149392
-55.13333273	0.00159393
-55.09999939	0.00145051
-55.06666606	0.00151742
-55.03333273	0.00145803
-54.99999939	0.00146059
-54.96666606	0.00133867
-54.93333273	0.00147651
-54.89999939	0.00140621
-54.86666606	0.00133478
-54.83333273	0.00144732
-54.79999940	0.00143657
-54.76666606	0.00136364
-54.73333273	0.00135299
-54.69999940	0.00126277
-54.66666606	0.00127147
-54.63333273	0.00130201
-54.59999940	0.00111072
-54.56666606	0.00119813
-54.53333273	0.00125553
-54.49999940	0.00123573
-54.46666607	0.00124664
-54.43333273	0.00115353
-54.39999940	0.00126527
-54.36666607	0.00122953
-54.33333273	0.00123582
-54.29999940	0.00123622
-54.26666607	0.00121454
-54.23333273	0.00125442
-54.19999940	0.00122485
-54.16666607	0.00121051
-54.13333273	0.00124474
-54.09999940	0.00127975
-54.06666607	0.00123465
-54.03333274	0.00123907
-53.99999940	0.00122353
-53.96666607	0.00119583
-53.93333274	0.00108255
-53.89999940	0.00108678
-53.86666607	0.00115829
-53.83333274	0.00109981
-53.79999940	0.00109496
-53.76666607	0.00113339
-53.73333274	0.00089871
-53.69999941	0.00095999
-53.66666607	0.00083957
-53.63333274	0.00085105
-53.59999941	0.00094040
-53.56666607	0.00079934
-53.53333274	0.00082557
-53.49999941	0.00064790
-53.46666607	0.00059486
-53.43333274	0.00063298
-53.39999941	0.00062096
-53.36666607	0.00060232
-53.33333274	0.00051746
-53.29999941	0.00042957
-53.26666608	0.00052332
-53.23333274	0.00033773
-53.19999941	0.00023448
-53.16666608	0.00022869
-53.13333274	0.00028151
-53.09999941	0.00020443
-53.06666608	-0.00000319
-53.03333274	-0.00018822
-52.99999941	-0.00012466
-52.96666608	-0.00015961
-52.93333275	-0.00028581
-52.89999941	-0.00026420
-52.86666608	-0.00035836
-52.83333275	-0.00037817
-52.79999941	-0.00040175
-52.76666608	-0.00041353
-52.73333275	-0.00055075
-52.69999941	-0.00055551
-52.66666608	-0.00054806
-52.63333275	-0.00046841
-52.59999941	-0.00060270
-52.56666608	-0.00068711
-52.53333275	-0.00062653
-52.49999942	-0.00064109
-52.46666608	-0.00064563
-52.43333275	-0.00063577
-52.39999942	-0.00062626
-52.36666608	-0.00065598
-52.33333275	-0.00069039
-52.29999942	-0.00058788
-52.26666608	-0.00058725
-52.23333275	-0.00061871
-52.19999942	-0.00056385
-52.16666609	-0.00053662
-52.13333275	-0.00058301
-52.09999942	-0.00047482
-52.06666609	-0.00051473
-52.03333275	-0.00055586
-51.99999942	-0.00057439
-51.96666609	-0.00053098
-51.93333275	-0.00042615
-51.89999942	-0.00049594
-51.86666609	-0.00044065
-51.83333275	-0.00052307
-51.79999942	-0.00048420
-51.76666609	-0.00042964
-51.73333276	-0.00041383
-51.69999942	-0.00032132
-51.66666609	-0.00026559
-51.63333276	-0.00024795
-51.59999942	-0.00030656
-51.56666609	-0.00020536
-51.53333276	-0.00005897
-51.49999942	-0.00007161
-51.46666609	0.00004703
-51.43333276	0.00006816
-51.39999943	0.00010913
-51.36666609	0.00012249
-51.33333276	0.00023105
-51.29999943	0.00030891
-51.26666609	0.00031992
-51.23333276	0.00048059
-51.19999943	0.00054443
-51.16666609	0.00061751
-51.13333276	0.00082348
-51.09999943	0.00083576
-51.06666609	0.00092169
-51.03333276	0.00082167
-50.99999943	0.00107924
-50.96666610	0.00115523
-50.93333276	0.00129593
-50.89999943	0.00135903
-50.86666610	0.00132461
-50.83333276	0.00155880
-50.79999943	0.00154322
-50.76666610	0.00163147
-50.73333276	0.00172589
-50.69999943	0.00184239
-50.66666610	0.00203165
-50.63333276	0.00199080
-50.59999943	0.00215338
-50.56666610	0.00223462
-50.53333277	0.00236570
-50.49999943	0.00241927
-50.46666610	0.00257250
-50.43333277	0.00262290
-50.39999943	0.00279328
-50.36666610	0.00288534
-50.33333277	0.00298789
-50.29999943	0.00309753
-50.26666610	0.00318821
-50.23333277	0.00326572
-50.19999944	0.00337528
-50.16666610	0.00340695
-50.13333277	0.00342131
-50.09999944	0.00352269
-50.06666610	0.00352380
-50.03333277	0.00365599
-49.99999944	0.00366240
-49.96666610	0.00379998
-49.93333277	0.00381325
-49.89999944	0.00376031
-49.86666610	0.00376870
-49.83333277	0.00377262
-49.79999944	0.00389404
-49.76666611	0.00386554
-49.73333277	0.00378005
-49.69999944	0.00377093
-49.66666611	0.00375148
-49.63333277	0.00377318
-49.59999944	0.00365276
-49.56666611	0.00352576
-49.53333277	0.00343696
-49.49999944	0.00320051
-49.46666611	0.00307614
-49.43333278	0.00300897
-49.39999944	0.00273299
-49.36666611	0.00247622
-49.33333278	0.00230467
-49.29999944	0.00190358
-49.26666611	0.00160726
-49.23333278	0.00132767
-49.19999944	0.00109077
-49.16666611	0.00071121
-49.13333278	0.00038108
-49.09999944	-0.00005798
-49.06666611	-0.00030461
-49.03333278	-0.00078766
-48.99999945	-0.00115943
-48.96666611	-0.00159323
-48.93333278	-0.00196792
-48.89999945	-0.00227854
-48.86666611	-0.00282094
-48.83333278	-0.00311880
-48.79999945	-0.00343598
-48.76666611	-0.00375247
-48.73333278	-0.00400664
-48.69999945	-0.00432631
-48.66666612	-0.00439845
-48.63333278	-0.00468735
-48.59999945	-0.00484511
-48.56666612	-0.00484730
-48.53333278	-0.00504686
-48.49999945	-0.00500931
-48.46666612	-0.00498907
-48.43333278	-0.00494420
-48.39999945	-0.00488047
-48.36666612	-0.00476014
-48.33333278	-0.00447860
-48.29999945	-0.00442650
-48.26666612	-0.00409106
-48.23333279	-0.00390654
-48.19999945	-0.00348642
-48.16666612	-0.00330658
-48.13333279	-0.00281850
-48.09999945	-0.00262026
-48.06666612	-0.00230826
-48.03333279	-0.00185390
-47.99999945	-0.00147124
-47.96666612	-0.00115584
-47.93333279	-0.00078667
-47.89999946	-0.00035352
-47.86666612	0.00009837
-47.83333279	0.00046664
-47.79999946	0.00094489
-47.76666612	0.00116037
-47.73333279	0.00159566
-47.69999946	0.00188104
-47.66666612	0.00226572
-47.63333279	0.00253296
-47.59999946	0.00283608
-47.56666612	0.00314143
-47.53333279	0.00344813
-47.49999946	0.00371079
-47.46666613	0.00388220
-47.43333279	0.00412235
-47.39999946	0.00437267
-47.36666613	0.00450286
-47.33333279	0.00453799
-47.29999946	0.00478646
-47.26666613	0.00493198
-47.23333279	0.00507853
-47.19999946	0.00530898
-47.16666613	0.00523745
-47.13333280	0.00532372
-47.09999946	0.00539087
-47.06666613	0.00548794
-47.03333280	0.00544424
-46.99999946	0.00547761
-46.96666613	0.00552830
-46.93333280	0.00555076
-46.89999946	0.00551146
-46.86666613	0.00563031
-46.83333280	0.00565656
-46.79999946	0.00564666
-46.76666613	0.00570590
-46.73333280	0.00566505
-46.69999947	0.00571372
-46.66666613	0.00567267
-46.63333280	0.00566911
-46.59999947	0.00575919
-46.56666613	0.00567534
-46.53333280	0.00572728
-46.49999947	0.00578888
-46.46666613	0.00561274
-46.43333280	0.00571356
-46.39999947	0.00563002
-46.36666614	0.00570687
-46.33333280	0.00579024
-46.29999947	0.00573843
-46.26666614	0.00564218
-46.23333280	0.00575022
-46.19999947	0.00566775
-46.16666614	0.00568874
-46.13333280	0.00565432
-46.09999947	0.00571257
-46.06666614	0.00573487
-46.03333280	0.00572381
-45.99999947	0.00579828
-45.96666614	0.00565912
-45.93333281	0.00579667
-45.89999947	0.00577734
-45.86666614	0.00573131
-45.83333281	0.00570065
