# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-06T13:49:47
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-29.60282920
0.00732601	-20.61709291
0.01465201	-17.92416697
0.02197802	-20.59233186
0.02930403	-29.24839927
0.03663004	-24.97530230
0.04395604	-17.33996978
0.05128205	-13.34673145
0.05860806	-14.99448581
0.06593407	-14.20235375
0.07326007	-9.40302719
0.08058608	-12.41589734
0.08791209	-17.21353945
0.09523810	-6.03500687
0.10256410	-5.49474739
0.10989011	-12.14187564
0.11721612	-7.12879454
0.12454213	-4.44892324
0.13186813	-8.60359563
0.13919414	-7.30071874
0.14652015	-3.12330331
0.15384616	-4.06671476
0.16117216	-4.54228745
0.16849817	-1.91405502
0.17582418	-2.60464613
0.18315018	-5.89764049
0.19047619	-2.73503450
0.19780220	-0.45611440
0.20512821	-1.20566955
0.21245421	-1.97402538
0.21978022	-0.77391453
0.22710623	-0.84378970
0.23443224	-2.15377941
0.24175824	-1.35551781
0.24908425	0.00000000
0.25641026	-0.07195767
0.26373627	-0.55600586
0.27106227	-0.44865629
0.27838828	-0.85054249
0.28571429	-1.95978192
0.29304030	-1.58721664
0.30036630	-0.44797531
0.30769231	-0.48552623
0.31501832	-0.94601037
0.32234432	-0.75355703
0.32967033	-1.10915596
0.33699634	-2.31151043
0.34432235	-2.34809683
0.35164835	-1.57522669
0.35897436	-1.43820323
0.36630037	-1.52227825
0.37362638	-1.80059117
0.38095238	-2.40417288
0.38827839	-2.68226871
0.39560440	-2.86487785
0.40293041	-3.06198824
0.41025641	-2.81393539
0.41758242	-2.79702566
0.42490843	-3.22231258
0.43223444	-3.66438709
0.43956044	-4.19702693
0.44688645	-4.44271363
0.45421246	-4.28412248
0.46153847	-4.37799405
0.46886447	-4.64179723
0.47619048	-4.84291708
0.48351649	-5.11688328
0.49084249	-5.59567066
0.49816850	-6.06142083
0.50549451	-5.97869942
0.51282052	-5.93599044
0.52014652	-6.43248610
0.52747253	-6.90135264
0.53479854	-7.20682212
0.54212455	-7.56152079
0.54945055	-8.54354931
0.55677656	-10.19040229
0.56410257	-9.59233230
0.57142858	-8.54545059
0.57875458	-9.20738274
0.58608059	-9.68619904
0.59340660	-9.57568521
0.60073261	-10.18500382
0.60805861	-10.38698887
0.61538462	-10.52263744
0.62271063	-11.28708302
0.63003664	-11.51146069
0.63736264	-11.80303161
0.64468865	-12.60887714
0.65201466	-12.95690897
0.65934066	-13.39861428
0.66666667	-14.08283588
0.67399268	-14.49863222
0.68131869	-15.13464812
0.68864469	-15.76948183
0.69597070	-16.29541268
0.70329671	-17.10420637
0.71062272	-17.61409988
0.71794872	-18.07134501
0.72527473	-18.90793150
0.73260074	-19.31602010
0.73992675	-19.88783117
0.74725275	-21.50636972
0.75457876	-22.55664689
0.76190477	-22.24569044
0.76923078	-22.43721138
0.77655678	-23.14823858
0.78388279	-23.76515766
0.79120880	-24.38834853
0.79853480	-25.04879229
0.80586081	-25.77373869
0.81318682	-26.48069253
0.82051283	-27.04991317
0.82783883	-27.69632028
0.83516484	-28.30611889
0.84249085	-28.86145655
0.84981686	-29.50698782
0.85714286	-30.16214547
0.86446887	-30.92179870
0.87179488	-31.59526040
0.87912089	-32.19135796
0.88644689	-32.97064138
0.89377290	-33.59736291
0.90109891	-34.12224833
0.90842492	-34.80710399
0.91575092	-35.67148831
0.92307693	-36.46352058
0.93040294	-36.88015975
0.93772895	-37.77116744
0.94505495	-39.01206599
0.95238096	-39.53705176
0.95970697	-40.20527842
0.96703297	-41.19712576
0.97435898	-42.13346656
0.98168499	-43.45863848
0.98901100	-44.44377122
0.99633700	-44.76828332
1.00366301	-45.33678790
1.01098902	-46.05890687
1.01831503	-46.68803179
1.02564103	-47.42112451
1.03296704	-48.12373276
1.04029305	-48.61220296
1.04761906	-49.83626237
1.05494506	-51.15299788
1.06227107	-51.22212476
1.06959708	-52.48165851
1.07692309	-54.37981169
1.08424909	-53.85775044
1.09157510	-56.36754498
1.09890111	-63.25749745
1.10622712	-57.02764857
1.11355312	-57.58592197
1.12087913	-61.65905053
1.12820514	-59.18760832
1.13553114	-59.23801846
1.14285715	-62.88716265
1.15018316	-63.10771760
1.15750917	-64.78249975
1.16483517	-70.38637518
1.17216118	-65.16025698
1.17948719	-64.17071956
1.18681320	-65.86379229
1.19413920	-64.26613982
1.20146521	-65.29808281
1.20879122	-72.55457539
1.21611723	-75.00839687
1.22344323	-73.99490845
1.23076924	-74.53790643
1.23809525	-70.08077071
1.24542126	-68.39427224
1.25274726	-69.20065184
1.26007327	-68.10609168
1.26739928	-69.79948484
1.27472528	-74.94842276
1.28205129	-80.62213242
1.28937730	-73.62699601
1.29670331	-70.71511222
1.30402931	-75.99120418
1.31135532	-77.59562523
1.31868133	-78.61016260
1.32600734	-85.25781058
1.33333334	-85.06129757
1.34065935	-83.43863792
1.34798536	-78.95021799
1.35531137	-73.48419989
1.36263737	-74.84279099
