# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-07T10:42:58
# Time [ps]	THz Signal [a.u.]
-65.06666591	0.00000000
-65.03333257	0.00000002
-64.99999924	0.00000006
-64.96666591	0.00000013
-64.93333257	0.00000016
-64.89999924	0.00000029
-64.86666591	0.00000030
-64.83333257	0.00000023
-64.79999924	0.00000047
-64.76666591	0.00000055
-64.73333258	0.00000081
-64.69999924	0.00000079
-64.66666591	0.00000059
-64.63333258	-0.00000008
-64.59999924	0.00000073
-64.56666591	0.00000069
-64.53333258	0.00000028
-64.49999924	-0.00000037
-64.46666591	-0.00000113
-64.43333258	-0.00000303
-64.39999925	-0.00000451
-64.36666591	-0.00000411
-64.33333258	-0.00000343
-64.29999925	-0.00000549
-64.26666591	-0.00000579
-64.23333258	-0.00000580
-64.19999925	-0.00000946
-64.16666591	-0.00001161
-64.13333258	-0.00001405
-64.09999925	-0.00001836
-64.06666592	-0.00001924
-64.03333258	-0.00002171
-63.99999925	-0.00002475
-63.96666592	-0.00002793
-63.93333258	-0.00002739
-63.89999925	-0.00002794
-63.86666592	-0.00003360
-63.83333258	-0.00003933
-63.79999925	-0.00004615
-63.76666592	-0.00004418
-63.73333259	-0.00006310
-63.69999925	-0.00006552
-63.66666592	-0.00006533
-63.63333259	-0.00006705
-63.59999925	-0.00007315
-63.56666592	-0.00008059
-63.53333259	-0.00008367
-63.49999925	-0.00008847
-63.46666592	-0.00008824
-63.43333259	-0.00009988
-63.39999926	-0.00011274
-63.36666592	-0.00010616
-63.33333259	-0.00011823
-63.29999926	-0.00011688
-63.26666592	-0.00011742
-63.23333259	-0.00013336
-63.19999926	-0.00012449
-63.16666592	-0.00014722
-63.13333259	-0.00015034
-63.09999926	-0.00014858
-63.06666593	-0.00015862
-63.03333259	-0.00015211
-62.99999926	-0.00015533
-62.96666593	-0.00015341
-62.93333259	-0.00016783
-62.89999926	-0.00016060
-62.86666593	-0.00014991
-62.83333259	-0.00016238
-62.79999926	-0.00016368
-62.76666593	-0.00014612
-62.73333259	-0.00014641
-62.69999926	-0.00014014
-62.66666593	-0.00012710
-62.63333260	-0.00012725
-62.59999926	-0.00010828
-62.56666593	-0.00010964
-62.53333260	-0.00009743
-62.49999926	-0.00008274
-62.46666593	-0.00008768
-62.43333260	-0.00005882
-62.39999926	-0.00005455
-62.36666593	-0.00002876
-62.33333260	0.00000208
-62.29999927	0.00002762
-62.26666593	0.00005412
-62.23333260	0.00006381
-62.19999927	0.00009270
-62.16666593	0.00012274
-62.13333260	0.00013271
-62.09999927	0.00017587
-62.06666593	0.00022199
-62.03333260	0.00024274
-61.99999927	0.00024407
-61.96666594	0.00029719
-61.93333260	0.00035280
-61.89999927	0.00040310
-61.86666594	0.00040314
-61.83333260	0.00046963
-61.79999927	0.00049771
-61.76666594	0.00053678
-61.73333260	0.00061046
-61.69999927	0.00062170
-61.66666594	0.00065252
-61.63333261	0.00071540
-61.59999927	0.00074291
-61.56666594	0.00075459
-61.53333261	0.00078338
-61.49999927	0.00083990
-61.46666594	0.00086187
-61.43333261	0.00091804
-61.39999927	0.00097741
-61.36666594	0.00100778
-61.33333261	0.00104435
-61.29999928	0.00112304
-61.26666594	0.00114580
-61.23333261	0.00117741
-61.19999928	0.00123506
-61.16666594	0.00130321
-61.13333261	0.00120948
-61.09999928	0.00130339
-61.06666594	0.00135611
-61.03333261	0.00136682
-60.99999928	0.00136206
-60.96666595	0.00144946
-60.93333261	0.00141867
-60.89999928	0.00151472
-60.86666595	0.00151740
-60.83333261	0.00154648
-60.79999928	0.00158502
-60.76666595	0.00156715
-60.73333261	0.00163334
-60.69999928	0.00158918
-60.66666595	0.00158058
-60.63333261	0.00164740
-60.59999928	0.00168923
-60.56666595	0.00165771
-60.53333262	0.00162564
-60.49999928	0.00163559
-60.46666595	0.00154264
-60.43333262	0.00160546
-60.39999928	0.00156925
-60.36666595	0.00160938
-60.33333262	0.00152294
-60.29999928	0.00152338
-60.26666595	0.00145630
-60.23333262	0.00136170
-60.19999929	0.00127238
-60.16666595	0.00126567
-60.13333262	0.00116296
-60.09999929	0.00121623
-60.06666595	0.00108026
-60.03333262	0.00097147
-59.99999929	0.00083530
-59.96666595	0.00078453
-59.93333262	0.00066460
-59.89999929	0.00049440
-59.86666596	0.00041590
-59.83333262	0.00033081
-59.79999929	0.00019476
-59.76666596	0.00005361
-59.73333262	-0.00001815
-59.69999929	-0.00018557
-59.66666596	-0.00028983
-59.63333262	-0.00029395
-59.59999929	-0.00047646
-59.56666596	-0.00067245
-59.53333263	-0.00072396
-59.49999929	-0.00094719
-59.46666596	-0.00098617
-59.43333263	-0.00101356
-59.39999929	-0.00115937
-59.36666596	-0.00114227
-59.33333263	-0.00142025
-59.29999929	-0.00138831
-59.26666596	-0.00154495
-59.23333263	-0.00176317
-59.19999930	-0.00168246
-59.16666596	-0.00177554
-59.13333263	-0.00184844
-59.09999930	-0.00190157
-59.06666596	-0.00188849
-59.03333263	-0.00196547
-58.99999930	-0.00206456
-58.96666596	-0.00203544
-58.93333263	-0.00200290
-58.89999930	-0.00204227
-58.86666597	-0.00195164
-58.83333263	-0.00189076
-58.79999930	-0.00192730
-58.76666597	-0.00193795
-58.73333263	-0.00187062
-58.69999930	-0.00197059
-58.66666597	-0.00191351
-58.63333263	-0.00173948
-58.59999930	-0.00176984
-58.56666597	-0.00174054
-58.53333264	-0.00170148
-58.49999930	-0.00171979
-58.46666597	-0.00164382
-58.43333264	-0.00168713
-58.39999930	-0.00163125
-58.36666597	-0.00161920
-58.33333264	-0.00159887
-58.29999930	-0.00156859
-58.26666597	-0.00147974
-58.23333264	-0.00156347
-58.19999930	-0.00157857
-58.16666597	-0.00149448
-58.13333264	-0.00144510
-58.09999931	-0.00143504
-58.06666597	-0.00138557
-58.03333264	-0.00143228
-57.99999931	-0.00151278
-57.96666597	-0.00148571
-57.93333264	-0.00147377
-57.89999931	-0.00148615
-57.86666597	-0.00152467
-57.83333264	-0.00152096
-57.79999931	-0.00137313
-57.76666598	-0.00149296
-57.73333264	-0.00154018
-57.69999931	-0.00153698
-57.66666598	-0.00163091
-57.63333264	-0.00166532
-57.59999931	-0.00174312
-57.56666598	-0.00171726
-57.53333264	-0.00173900
-57.49999931	-0.00160442
-57.46666598	-0.00164181
-57.43333265	-0.00170331
-57.39999931	-0.00171727
-57.36666598	-0.00154864
-57.33333265	-0.00163333
-57.29999931	-0.00165085
-57.26666598	-0.00158632
-57.23333265	-0.00176909
-57.19999931	-0.00164831
-57.16666598	-0.00165349
-57.13333265	-0.00153491
-57.09999932	-0.00150960
-57.06666598	-0.00141338
-57.03333265	-0.00137564
-56.99999932	-0.00133260
-56.96666598	-0.00129702
-56.93333265	-0.00122090
-56.89999932	-0.00106604
-56.86666598	-0.00105284
-56.83333265	-0.00095291
-56.79999932	-0.00090359
-56.76666599	-0.00078763
-56.73333265	-0.00076398
-56.69999932	-0.00066816
-56.66666599	-0.00069160
-56.63333265	-0.00050122
-56.59999932	-0.00047648
-56.56666599	-0.00039698
-56.53333265	-0.00038843
-56.49999932	-0.00036394
-56.46666599	-0.00032614
-56.43333266	-0.00027553
-56.39999932	-0.00023856
-56.36666599	-0.00020390
-56.33333266	-0.00014673
-56.29999932	-0.00005890
-56.26666599	-0.00011463
-56.23333266	-0.00011576
-56.19999932	-0.00007508
-56.16666599	-0.00003202
-56.13333266	0.00005042
-56.09999933	0.00009334
-56.06666599	0.00015200
-56.03333266	0.00015747
-55.99999933	0.00028984
-55.96666599	0.00035174
-55.93333266	0.00025233
-55.89999933	0.00026947
-55.86666599	0.00029547
-55.83333266	0.00034696
-55.79999933	0.00046370
-55.76666599	0.00033383
-55.73333266	0.00032541
-55.69999933	0.00036429
-55.66666600	0.00050798
-55.63333266	0.00053163
-55.59999933	0.00051244
-55.56666600	0.00055867
-55.53333266	0.00055582
-55.49999933	0.00067844
-55.46666600	0.00064646
-55.43333266	0.00063964
-55.39999933	0.00078618
-55.36666600	0.00081243
-55.33333267	0.00075011
-55.29999933	0.00081730
-55.26666600	0.00082545
-55.23333267	0.00077249
-55.19999933	0.00083892
-55.16666600	0.00085372
-55.13333267	0.00088215
-55.09999933	0.00081406
-55.06666600	0.00085419
-55.03333267	0.00088371
-54.99999934	0.00096821
-54.96666600	0.00093211
-54.93333267	0.00106312
-54.89999934	0.00101301
-54.86666600	0.00103225
-54.83333267	0.00096023
-54.79999934	0.00104789
-54.76666600	0.00105307
-54.73333267	0.00102544
-54.69999934	0.00112007
-54.66666601	0.00107897
-54.63333267	0.00104159
-54.59999934	0.00106539
-54.56666601	0.00109583
-54.53333267	0.00110759
-54.49999934	0.00111072
-54.46666601	0.00117165
-54.43333267	0.00111823
-54.39999934	0.00120803
-54.36666601	0.00121471
-54.33333268	0.00118242
-54.29999934	0.00126338
-54.26666601	0.00138281
-54.23333268	0.00122398
-54.19999934	0.00123894
-54.16666601	0.00132780
-54.13333268	0.00135230
-54.09999934	0.00120614
-54.06666601	0.00129829
-54.03333268	0.00120341
-53.99999935	0.00129115
-53.96666601	0.00130856
-53.93333268	0.00138820
