# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-06T13:32:08
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-65.06666595	0.00000000
-65.03333261	0.00000002
-64.99999928	0.00000008
-64.96666595	0.00000017
-64.93333261	0.00000024
-64.89999928	0.00000046
-64.86666595	0.00000043
-64.83333261	0.00000040
-64.79999928	0.00000074
-64.76666595	0.00000081
-64.73333262	0.00000129
-64.69999928	0.00000041
-64.66666595	0.00000139
-64.63333262	0.00000160
-64.59999928	0.00000167
-64.56666595	0.00000171
-64.53333262	-0.00000009
-64.49999928	-0.00000122
-64.46666595	-0.00000276
-64.43333262	-0.00000323
-64.39999928	-0.00000362
-64.36666595	-0.00000399
-64.33333262	-0.00000806
-64.29999929	-0.00000815
-64.26666595	-0.00001147
-64.23333262	-0.00001244
-64.19999929	-0.00001350
-64.16666595	-0.00001808
-64.13333262	-0.00001714
-64.09999929	-0.00001935
-64.06666595	-0.00002155
-64.03333262	-0.00002646
-63.99999929	-0.00002821
-63.96666596	-0.00003138
-63.93333262	-0.00003682
-63.89999929	-0.00004012
-63.86666596	-0.00003887
-63.83333262	-0.00004125
-63.79999929	-0.00004119
-63.76666596	-0.00004736
-63.73333262	-0.00005259
-63.69999929	-0.00005496
-63.66666596	-0.00006962
-63.63333262	-0.00006928
-63.59999929	-0.00006581
-63.56666596	-0.00007815
-63.53333263	-0.00008451
-63.49999929	-0.00009577
-63.46666596	-0.00009031
-63.43333263	-0.00009552
-63.39999929	-0.00009950
-63.36666596	-0.00010587
-63.33333263	-0.00011955
-63.29999929	-0.00012833
-63.26666596	-0.00012455
-63.23333263	-0.00012854
-63.19999930	-0.00012985
-63.16666596	-0.00014210
-63.13333263	-0.00013742
-63.09999930	-0.00014739
-63.06666596	-0.00014337
-63.03333263	-0.00013489
-62.99999930	-0.00015714
-62.96666596	-0.00016071
-62.93333263	-0.00016813
-62.89999930	-0.00015878
-62.86666597	-0.00015561
-62.83333263	-0.00014882
-62.79999930	-0.00014975
-62.76666597	-0.00014448
-62.73333263	-0.00013727
-62.69999930	-0.00011669
-62.66666597	-0.00013059
-62.63333263	-0.00011742
-62.59999930	-0.00012416
-62.56666597	-0.00011498
-62.53333263	-0.00009419
-62.49999930	-0.00007708
-62.46666597	-0.00008639
-62.43333264	-0.00007787
-62.39999930	-0.00002174
-62.36666597	-0.00001390
-62.33333264	0.00000303
-62.29999930	0.00005224
-62.26666597	0.00009121
-62.23333264	0.00006510
-62.19999930	0.00010534
