# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -65.00000000 ps, Average over 1000 waveforms. Timestamp: 2020-01-06T13:32:08
# Window type: Tukey, parameters: alpha = 0.2
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-39.42794210
0.00732601	-21.91411688
0.01465201	-17.50161604
0.02197802	-19.17302699
0.02930403	-27.02263334
0.03663004	-24.88961891
0.04395604	-17.55970352
0.05128205	-12.99268613
0.05860806	-14.57022665
0.06593407	-14.01115414
0.07326007	-9.30090364
0.08058608	-12.79961663
0.08791209	-16.00482966
0.09523810	-5.77018244
0.10256410	-5.38432728
0.10989011	-11.43945922
0.11721612	-6.58277883
0.12454213	-4.23714582
0.13186813	-8.32970898
0.13919414	-6.98311047
0.14652015	-2.96600745
0.15384616	-3.76432327
0.16117216	-4.37098397
0.16849817	-1.81379607
0.17582418	-2.37138912
0.18315018	-5.56629703
0.19047619	-2.50037328
0.19780220	-0.31079780
0.20512821	-1.12049924
0.21245421	-1.85797354
0.21978022	-0.80189489
0.22710623	-0.92607113
0.23443224	-2.04082448
0.24175824	-1.35296580
0.24908425	-0.04761323
0.25641026	0.00000000
0.26373627	-0.57318033
0.27106227	-0.55818529
0.27838828	-0.90349206
0.28571429	-2.07883522
0.29304030	-1.70298449
0.30036630	-0.49201540
0.30769231	-0.56713047
0.31501832	-1.04209765
0.32234433	-0.77830644
0.32967033	-1.16109555
0.33699634	-2.44560035
0.34432235	-2.40251485
0.35164835	-1.62595046
0.35897436	-1.51110797
0.36630037	-1.47652280
0.37362638	-1.69725497
0.38095238	-2.32449555
0.38827839	-2.57804420
0.39560440	-2.76311947
0.40293041	-2.95272470
0.41025641	-2.67974996
0.41758242	-2.65061239
0.42490843	-3.03707155
0.43223444	-3.47974112
0.43956044	-4.02886345
0.44688645	-4.26763320
0.45421246	-4.12536424
0.46153847	-4.20062285
0.46886447	-4.44481253
0.47619048	-4.64450121
0.48351649	-4.87975599
0.49084250	-5.35468166
0.49816850	-5.83648248
0.50549451	-5.74709347
0.51282052	-5.73369857
0.52014652	-6.25357323
0.52747253	-6.73679498
0.53479854	-7.05633482
0.54212455	-7.38604625
0.54945055	-8.36547688
0.55677656	-10.03235938
0.56410257	-9.43820423
0.57142858	-8.41711720
0.57875458	-9.08225427
0.58608059	-9.55676567
0.59340660	-9.46243735
0.60073261	-10.05684688
0.60805861	-10.25257080
0.61538462	-10.42271976
0.62271063	-11.21864521
0.63003664	-11.47894414
0.63736264	-11.81159223
0.64468865	-12.64336400
0.65201466	-12.98583297
0.65934067	-13.42814662
0.66666667	-14.11611556
0.67399268	-14.52307536
0.68131869	-15.17765492
0.68864469	-15.82264200
0.69597070	-16.32928129
0.70329671	-17.14739243
0.71062272	-17.64238257
0.71794872	-18.03358697
0.72527473	-18.85229793
0.73260074	-19.31056877
0.73992675	-19.87975535
0.74725275	-21.42625473
0.75457876	-22.47027497
0.76190477	-22.17803930
0.76923078	-22.34750266
0.77655678	-23.07045696
0.78388279	-23.61750064
0.79120880	-24.17615594
0.79853481	-24.91605270
0.80586081	-25.64542702
0.81318682	-26.32984377
0.82051283	-26.91008062
0.82783884	-27.46463202
0.83516484	-28.08447793
0.84249085	-28.69967316
0.84981686	-29.27599003
0.85714286	-29.86359364
0.86446887	-30.57895060
0.87179488	-31.32115864
0.87912089	-32.02167328
0.88644689	-32.78649741
0.89377290	-33.49317870
0.90109891	-33.99694723
0.90842492	-34.42526901
0.91575092	-35.30404166
0.92307693	-36.44755836
0.93040294	-36.93647313
0.93772895	-37.58079892
0.94505495	-38.70081158
0.95238096	-39.39099700
0.95970697	-40.18471703
0.96703298	-41.20650799
0.97435898	-42.05729877
0.98168499	-43.24577569
0.98901100	-44.31239377
0.99633701	-44.70978612
1.00366301	-44.99244073
1.01098902	-45.57095711
1.01831503	-46.55248872
1.02564103	-47.64898294
1.03296704	-48.64238631
1.04029305	-49.37881458
1.04761906	-50.47693222
1.05494506	-51.79489442
1.06227107	-51.70250957
1.06959708	-52.40220970
1.07692309	-54.44172333
1.08424909	-54.10601127
1.09157510	-56.06216827
1.09890111	-64.86139030
1.10622712	-58.91485958
1.11355312	-58.20662568
1.12087913	-62.32134320
1.12820514	-59.19843788
1.13553115	-58.89203252
1.14285715	-63.45245190
1.15018316	-62.22896675
1.15750917	-63.28364324
1.16483518	-76.29961060
1.17216118	-66.64418620
1.17948719	-63.10109765
1.18681320	-65.04745744
1.19413920	-65.75519081
1.20146521	-68.61125566
1.20879122	-70.75885745
1.21611723	-65.17039342
1.22344323	-64.82516934
1.23076924	-70.18333307
1.23809525	-73.53472678
1.24542126	-65.81496765
1.25274726	-68.54302213
1.26007327	-79.88184871
1.26739928	-74.63838431
1.27472529	-74.17794224
1.28205129	-80.58390345
1.28937730	-69.93255527
1.29670331	-68.65688825
1.30402932	-75.38737461
1.31135532	-80.64349969
1.31868133	-77.29641446
1.32600734	-81.45769613
1.33333335	-89.93590126
1.34065935	-75.00452683
1.34798536	-72.83874601
1.35531137	-81.58364826
1.36263737	-73.64706206
1.36996338	-74.91483083
1.37728939	-76.49747702
1.38461540	-69.71444055
1.39194140	-74.53920884
1.39926741	-91.03281382
1.40659342	-102.02712100
1.41391943	-76.64960769
1.42124543	-73.27264220
1.42857144	-75.77083724
1.43589745	-83.07727899
1.44322346	-95.75110076
1.45054946	-81.07733093
1.45787547	-76.42131303
1.46520148	-81.77672424
1.47252749	-91.75258567
1.47985349	-86.22056737
1.48717950	-85.83251883
1.49450551	-79.60031882
1.50183152	-82.41799603
1.50915752	-76.62747127
1.51648353	-74.04219555
1.52380954	-79.63343447
1.53113554	-73.37715228
1.53846155	-74.52891154
1.54578756	-86.02393948
1.55311357	-84.64843564
1.56043957	-79.53787728
1.56776558	-78.11334284
1.57509159	-78.12227644
1.58241760	-86.04896550
1.58974360	-86.96612258
1.59706961	-83.61932730
1.60439562	-89.86606239
1.61172163	-80.29463993
1.61904763	-78.11730044
1.62637364	-83.99205356
1.63369965	-88.53578088
1.64102566	-81.14801628
1.64835166	-78.27505752
1.65567767	-76.83760142
1.66300368	-77.38021879
1.67032969	-82.69377887
1.67765569	-89.87439158
1.68498170	-83.91592952
1.69230771	-83.21214828
1.69963371	-80.98121403
1.70695972	-78.73284691
1.71428573	-79.80098110
1.72161174	-88.13878917
1.72893774	-80.48995723
1.73626375	-82.49115261
1.74358976	-86.77057847
1.75091577	-76.77777697
1.75824177	-74.85933540
1.76556778	-77.92252090
1.77289379	-84.35031443
1.78021980	-74.06210948
1.78754580	-76.68701379
1.79487181	-75.93225592
1.80219782	-82.35862903
1.80952383	-78.71196623
1.81684983	-78.69285020
1.82417584	-85.73361641
1.83150185	-84.44297121
1.83882786	-75.54031481
1.84615386	-70.65431155
1.85347987	-76.50716503
1.86080588	-98.38172528
1.86813188	-77.56785642
1.87545789	-70.80840332
1.88278390	-73.91047285
1.89010991	-79.60747407
1.89743591	-79.84380468
1.90476192	-91.61701214
1.91208793	-85.35237808
1.91941394	-89.83865066
1.92673994	-83.23048729
1.93406595	-75.61925741
1.94139196	-73.50060089
1.94871797	-74.37299532
1.95604397	-76.33048116
1.96336998	-97.50704739
1.97069599	-79.61697916
1.97802200	-83.54707155
1.98534800	-87.08579532
1.99267401	-80.94260986
2.00000002	-82.93878999
2.00732603	-76.17724587
2.01465203	-75.04904650
2.02197804	-78.77842763
2.02930405	-89.00305372
2.03663005	-89.16487499
2.04395606	-86.85417504
2.05128207	-74.86534202
2.05860808	-77.20960674
2.06593408	-82.95403239
2.07326009	-79.72963873
2.08058610	-88.00419591
2.08791211	-77.25269103
2.09523811	-77.54501325
2.10256412	-73.68316036
2.10989013	-76.60822568
2.11721614	-85.87285491
2.12454214	-79.07158278
2.13186815	-76.81973278
2.13919416	-74.29527356
2.14652017	-72.45930928
2.15384617	-77.06915693
2.16117218	-77.92084980
2.16849819	-71.29886106
2.17582420	-74.46422491
2.18315020	-82.21117904
2.19047621	-82.31096947
2.19780222	-85.10660097
2.20512822	-79.81557964
2.21245423	-75.54290198
2.21978024	-79.51322664
2.22710625	-81.01585946
2.23443225	-79.54812791
2.24175826	-82.39169244
2.24908427	-79.07329795
2.25641028	-76.55842551
2.26373628	-75.35213344
2.27106229	-75.46148960
2.27838830	-77.03633037
2.28571431	-75.31617027
2.29304031	-74.55612316
2.30036632	-76.68561254
2.30769233	-78.85138468
2.31501834	-83.58578477
2.32234434	-83.21378973
2.32967035	-78.34059231
2.33699636	-78.12219956
2.34432237	-81.20635310
2.35164837	-83.08551842
2.35897438	-84.23821093
2.36630039	-78.31832564
2.37362639	-80.13381789
2.38095240	-82.19076759
2.38827841	-82.74294988
2.39560442	-88.18887491
2.40293042	-84.86440975
2.41025643	-81.50753386
2.41758244	-80.96155379
2.42490845	-75.23102188
2.43223445	-76.80083439
2.43956046	-91.75124548
2.44688647	-76.32707591
2.45421248	-74.59342160
2.46153848	-75.70651586
2.46886449	-77.10605485
2.47619050	-80.30837590
2.48351651	-86.83230357
2.49084251	-83.82906739
2.49816852	-90.44236150
2.50549453	-78.14900565
2.51282054	-75.38968108
2.52014654	-80.65117958
2.52747255	-73.19289090
2.53479856	-75.50110955
2.54212456	-79.65230854
2.54945057	-83.30964808
2.55677658	-84.89987610
2.56410259	-83.17978994
2.57142859	-74.71093562
2.57875460	-73.89435801
2.58608061	-90.35532673
2.59340662	-76.38008344
2.60073262	-79.53796575
2.60805863	-85.15535043
2.61538464	-85.88334665
2.62271065	-82.74079201
2.63003665	-85.22021631
2.63736266	-82.98405335
2.64468867	-76.31892439
2.65201468	-78.20497421
2.65934068	-92.31546472
2.66666669	-79.54603183
2.67399270	-75.82563856
2.68131871	-78.61710212
2.68864471	-77.41302753
2.69597072	-78.76314414
2.70329673	-84.10670575
2.71062274	-78.76647683
2.71794874	-78.38013900
2.72527475	-77.27059330
2.73260076	-86.49713117
2.73992676	-76.51802552
2.74725277	-73.11463424
2.75457878	-80.70949561
2.76190479	-76.50796504
2.76923079	-77.20205888
2.77655680	-87.10598964
2.78388281	-77.02117186
2.79120882	-80.98871794
2.79853482	-104.53612332
2.80586083	-87.10582554
2.81318684	-77.05651343
2.82051285	-73.20879759
2.82783885	-76.11524099
2.83516486	-80.46553987
2.84249087	-78.94433967
2.84981688	-86.83032574
2.85714288	-93.24152777
2.86446889	-84.09708702
2.87179490	-77.90077213
2.87912091	-76.24563461
2.88644691	-78.26852241
2.89377292	-79.64297202
2.90109893	-87.85183717
2.90842493	-84.36857956
2.91575094	-80.20948262
2.92307695	-81.71653764
2.93040296	-78.46548660
2.93772896	-73.94443308
2.94505497	-76.34641279
2.95238098	-85.36999766
2.95970699	-75.21901430
2.96703299	-77.32247057
2.97435900	-78.31219083
2.98168501	-73.81378596
2.98901102	-76.55758289
2.99633702	-86.03418754
3.00366303	-80.77952449
3.01098904	-92.64655757
3.01831505	-78.70786393
3.02564105	-75.12437947
3.03296706	-76.45603803
3.04029307	-77.85383153
3.04761908	-83.33102390
3.05494508	-78.42378196
3.06227109	-76.29053976
3.06959710	-83.47509707
3.07692310	-84.63469288
3.08424911	-78.40782752
3.09157512	-79.20626604
3.09890113	-81.27503168
3.10622713	-85.80643276
3.11355314	-81.04931276
3.12087915	-77.49793734
3.12820516	-75.68269081
3.13553116	-77.35974296
3.14285717	-83.64144049
3.15018318	-73.87953772
3.15750919	-75.92398091
3.16483519	-77.56555626
3.17216120	-80.47891456
3.17948721	-88.73960554
3.18681322	-81.49785642
3.19413922	-80.62999178
3.20146523	-75.39847369
3.20879124	-74.98487362
3.21611725	-86.50498382
3.22344325	-82.12217380
3.23076926	-88.18012732
3.23809527	-91.29015068
3.24542127	-82.51804615
3.25274728	-79.05656651
3.26007329	-94.35744009
3.26739930	-78.34252908
3.27472530	-80.94786812
3.28205131	-75.62051091
3.28937732	-78.95747224
3.29670333	-83.08502430
3.30402933	-75.25617264
3.31135534	-75.94164186
3.31868135	-79.40871960
3.32600736	-80.06487914
3.33333336	-76.27983459
3.34065937	-74.79377501
3.34798538	-78.68173282
3.35531139	-86.38288098
3.36263739	-74.91070879
3.36996340	-76.45659113
3.37728941	-88.95528760
3.38461542	-83.60994178
3.39194142	-82.09125384
3.39926743	-82.60345733
3.40659344	-86.30499492
3.41391944	-81.20195155
3.42124545	-78.23892245
3.42857146	-74.11892978
3.43589747	-77.96684397
3.44322347	-76.35895140
3.45054948	-76.97091279
3.45787549	-93.93211579
3.46520150	-85.68435094
3.47252750	-80.41204059
3.47985351	-76.43367841
3.48717952	-80.37796385
3.49450553	-81.02035007
3.50183153	-74.59594393
3.50915754	-74.81354698
3.51648355	-85.44411378
3.52380956	-78.87930624
3.53113556	-73.96470757
3.53846157	-75.93440670
3.54578758	-89.64295556
3.55311359	-77.39258247
3.56043959	-79.59199671
3.56776560	-76.37011258
3.57509161	-77.57874146
3.58241761	-78.21830162
3.58974362	-73.17499006
3.59706963	-77.52409240
3.60439564	-82.93556951
3.61172164	-79.33242285
3.61904765	-79.14327061
3.62637366	-87.57976339
3.63369967	-81.56799676
3.64102567	-82.66574303
3.64835168	-88.28795959
3.65567769	-86.07933894
3.66300370	-80.71855552
3.67032970	-81.33972148
3.67765571	-78.26732584
3.68498172	-76.90762836
3.69230773	-97.16517272
3.69963373	-77.18210469
3.70695974	-76.55677240
3.71428575	-75.67319164
3.72161176	-78.50981588
3.72893776	-98.10207105
3.73626377	-87.89334307
3.74358978	-78.53209674
3.75091578	-78.53238295
3.75824179	-85.15762501
3.76556780	-84.18848093
3.77289381	-81.25122675
3.78021981	-82.58157678
3.78754582	-79.46404260
3.79487183	-84.75107708
3.80219784	-85.27654317
3.80952384	-88.20692138
3.81684985	-85.02003970
3.82417586	-80.64050410
3.83150187	-84.18090682
3.83882787	-84.10223511
3.84615388	-85.75855878
3.85347989	-83.70172081
3.86080590	-75.54541152
3.86813190	-75.06128748
3.87545791	-79.82518249
3.88278392	-83.49452146
3.89010993	-79.98172036
3.89743593	-79.42574228
3.90476194	-78.37172189
3.91208795	-79.17306250
3.91941395	-82.68671321
3.92673996	-81.50855506
3.93406597	-82.79866961
3.94139198	-85.47268338
3.94871798	-81.74772201
3.95604399	-78.71980770
3.96337000	-84.20862671
3.97069601	-86.48756285
3.97802201	-85.52930918
3.98534802	-82.59294931
3.99267403	-75.48502140
4.00000004	-75.29898492
4.00732604	-85.06761659
4.01465205	-86.39650396
4.02197806	-90.58190943
4.02930407	-82.10397423
4.03663007	-82.92748812
4.04395608	-89.84070917
4.05128209	-91.46988421
4.05860810	-85.21177261
4.06593410	-97.75879890
4.07326011	-77.55858321
4.08058612	-76.50082430
4.08791212	-102.82707820
4.09523813	-78.29423600
4.10256414	-77.30864977
4.10989015	-78.57868030
4.11721615	-84.90148329
4.12454216	-103.37530065
4.13186817	-93.70941581
4.13919418	-85.86630378
4.14652018	-79.78485864
4.15384619	-74.78650291
4.16117220	-73.56120563
4.16849821	-75.41925855
4.17582421	-72.22293471
4.18315022	-73.44136549
4.19047623	-81.81693413
4.19780224	-88.20790789
4.20512824	-81.93452326
4.21245425	-85.61336688
4.21978026	-78.14453210
4.22710627	-75.95360194
4.23443227	-78.37242734
4.24175828	-81.18554496
4.24908429	-75.83264622
4.25641029	-79.16218194
4.26373630	-98.61167699
4.27106231	-93.34711680
4.27838832	-81.64156632
4.28571432	-81.98597978
4.29304033	-78.27154326
4.30036634	-83.38583363
4.30769235	-78.02112968
4.31501835	-73.09568984
4.32234436	-76.41118497
4.32967037	-87.09361647
4.33699638	-97.10638000
4.34432238	-87.82545656
4.35164839	-92.28867685
4.35897440	-83.39884098
4.36630041	-76.73685731
4.37362641	-76.52012936
4.38095242	-80.81942451
4.38827843	-85.95418842
4.39560444	-92.77105315
4.40293044	-91.28721548
4.41025645	-87.66781527
4.41758246	-86.86645076
4.42490846	-92.52889100
4.43223447	-84.02534537
4.43956048	-79.55193468
4.44688649	-86.53648400
4.45421249	-87.05657788
4.46153850	-94.43476116
4.46886451	-81.38335454
4.47619052	-77.28460211
4.48351652	-80.08500776
4.49084253	-83.86624745
4.49816854	-83.53780523
4.50549455	-88.56473504
4.51282055	-91.39441875
4.52014656	-79.05969291
4.52747257	-74.96836308
4.53479858	-75.66012007
4.54212458	-78.84827479
4.54945059	-79.44746848
4.55677660	-83.02332777
4.56410261	-95.12984393
4.57142861	-84.81406632
4.57875462	-82.73101615
4.58608063	-80.98026075
4.59340663	-84.76503087
4.60073264	-88.30398718
4.60805865	-78.38686018
4.61538466	-77.12666746
4.62271066	-77.06259151
4.63003667	-80.59114188
4.63736268	-104.18594663
4.64468869	-82.12952691
4.65201469	-81.81827522
4.65934070	-84.12743645
4.66666671	-76.63128395
4.67399272	-76.16068994
4.68131872	-78.80180013
4.68864473	-84.96528250
4.69597074	-85.58408786
4.70329675	-77.59086164
4.71062275	-73.65698252
4.71794876	-75.83926532
4.72527477	-84.85356269
4.73260078	-86.86720218
4.73992678	-86.68055626
4.74725279	-79.25830817
4.75457880	-75.96358884
4.76190480	-73.10004088
4.76923081	-71.29276737
4.77655682	-72.39430774
4.78388283	-80.74920314
4.79120883	-79.54027822
4.79853484	-77.96687745
4.80586085	-90.30483302
4.81318686	-84.63601173
4.82051286	-84.89827411
4.82783887	-77.82621980
4.83516488	-82.41565802
4.84249089	-77.87803713
4.84981689	-76.16171839
4.85714290	-89.44997960
4.86446891	-77.62821863
4.87179492	-87.93390150
4.87912092	-84.60544324
4.88644693	-103.73300327
4.89377294	-79.70824880
4.90109895	-82.96570074
4.90842495	-85.87776301
4.91575096	-80.62213810
4.92307697	-81.67716438
4.93040297	-78.63229769
4.93772898	-79.11047816
4.94505499	-74.03841472
4.95238100	-73.71295461
4.95970700	-83.72021106
4.96703301	-80.69859289
4.97435902	-80.39128538
4.98168503	-82.37572019
4.98901103	-96.28344285
4.99633704	-84.58199713
5.00366305	-82.94316364
5.01098906	-79.46124219
5.01831506	-88.57054909
5.02564107	-81.03111074
5.03296708	-75.64502829
5.04029309	-77.76790189
5.04761909	-96.45575972
5.05494510	-81.14462940
5.06227111	-85.20133456
5.06959712	-79.99159782
5.07692312	-81.99641813
5.08424913	-78.60285556
5.09157514	-77.72947242
5.09890114	-77.01915774
5.10622715	-77.05449108
5.11355316	-89.02750790
5.12087917	-88.62834662
5.12820517	-85.23494375
5.13553118	-82.17025791
5.14285719	-90.28235171
5.15018320	-82.62896770
5.15750920	-77.64216971
