f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	2.94736	
0.0585938	2.91101	
0.117188	2.89535	
0.175781	2.92901	
0.234375	2.98175	
0.292969	2.99701	
0.351563	2.91879	
0.410157	2.72564	
0.46875	2.46292	
0.527344	2.22524	
0.585938	2.08425	
0.644532	2.03438	
0.703126	1.99602	
0.76172	1.85325	
0.820313	1.51261	
0.878907	1.00272	
0.937501	0.538401	
0.996095	0.307004	
1.05469	0.138401	
1.11328	-0.478972	
1.17188	-2.33635	
1.23047	-7.63486	
1.64063	-2.01441	
1.69922	1.38652	
1.75781	2.51724	
