f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	0.652866	
0.0585938	0.889267	
0.117188	1.03389	
0.175781	1.07902	
0.234375	1.06826	
0.292969	1.03096	
0.351563	0.982749	
0.410157	0.929871	
0.46875	0.881405	
0.527344	0.852742	
0.585938	0.851623	
0.644532	0.86445	
0.703126	0.858247	
0.76172	0.79141	
0.820313	0.626644	
0.878907	0.362784	
0.937501	0.0818613	
0.996095	-0.0730655	
1.05469	0.0235279	
1.11328	0.425007	
1.17188	0.988168	
1.23047	1.48132	
1.28906	2.27585	
1.34766	3.89842	
1.40625	4.7017	
1.46485	1.66057	
