f (THz) - Absorption	Absorption Coefficient (1/cm) - Absorption	
0	-0.844421	
0.0585938	-0.537903	
0.117188	-0.32915	
0.175781	-0.217374	
0.234375	-0.153919	
0.292969	-0.112946	
0.351563	-0.0803597	
0.410157	-0.0493438	
0.46875	-0.014943	
0.527344	0.0270123	
0.585938	0.0759601	
0.644532	0.127088	
0.703126	0.180213	
0.76172	0.244908	
0.820313	0.329229	
0.878907	0.419383	
0.937501	0.477504	
0.996095	0.468956	
1.05469	0.381907	
1.11328	0.165777	
1.17188	-0.324515	
1.23047	-1.17608	
1.28906	-2.01411	
1.34766	-1.38497	
1.40625	3.25208	
1.46485	5.61107	
